date    : 04/19/2024 19:00:47
file    : ../data/flash/SS-C.csv

#
 0,            #rand1360,  0.00,  0.00, *                   |                   ,  0.00,  1.00
#
 1,       #progressive39,  0.07,  0.03,   *                 |                   ,  0.00,  1.00
 1,    #ExpProgressive39,  0.08,  0.04,   -*                |                   ,  0.00,  1.00
 1,              #bonr39,  0.08,  0.04,   -*                |                   ,  0.00,  1.00
 1,       #progressive15,  0.08,  0.04,   -*                |                   ,  0.00,  1.00
 1,    #ExpProgressive15,  0.08,  0.04,   -*                |                   ,  0.00,  1.00
 1,              #rand39,  0.08,  0.00,    *                |                   ,  0.00,  1.00
 1,              #bonr15,  0.09,  0.04,   -*                |                   ,  0.00,  1.00
 1,      #SimAnnealing39,  0.09,  0.05,   -*                |                   ,  0.00,  1.00
 1,      #SimAnnealing15,  0.09,  0.05,   -*                |                   ,  0.00,  1.00
 1,               #bonr9,  0.09,  0.04,   -*                |                   ,  0.00,  1.00
 1,       #SimAnnealing9,  0.09,  0.05,   -*                |                   ,  0.00,  1.00
#
 2,     #ExpProgressive9,  0.09,  0.04,   -*                |                   ,  0.00,  1.00
#
 3,        #progressive9,  0.09,  0.04,   -*                |                   ,  0.00,  1.00
#
 4,              #rand15,  0.23,  0.00,          *          |                   ,  0.00,  1.00
#
 5,               #rand9,  0.24,  0.00,          *          |                   ,  0.00,  1.00
#
 6,                 base,  0.27,  0.26,      -----*----     |                   ,  0.00,  1.00
