date    : 04/19/2024 19:01:07
file    : ../data/flash/SS-D.csv

#
 0,             #rand176,  0.35,  0.00,   *                 |                   ,  0.32,  0.86
#
 1,      #SimAnnealing15,  0.40,  0.07,     --*---          |                   ,  0.32,  0.86
 1,      #SimAnnealing14,  0.40,  0.08,    ---*---          |                   ,  0.32,  0.86
#
 2,       #progressive14,  0.44,  0.05,       ---*          |                   ,  0.32,  0.86
 2,       #progressive15,  0.44,  0.05,       ---*          |                   ,  0.32,  0.86
#
 3,    #ExpProgressive14,  0.45,  0.07,     -----*          |                   ,  0.32,  0.86
 3,    #ExpProgressive15,  0.45,  0.07,     -----*          |                   ,  0.32,  0.86
 3,       #SimAnnealing9,  0.45,  0.06,        --*-         |                   ,  0.32,  0.86
 3,              #bonr15,  0.45,  0.04,         --*         |                   ,  0.32,  0.86
 3,              #bonr14,  0.45,  0.04,         --*         |                   ,  0.32,  0.86
#
 4,     #ExpProgressive9,  0.46,  0.07,         --*--       |                   ,  0.32,  0.86
 4,        #progressive9,  0.46,  0.05,          -*--       |                   ,  0.32,  0.86
 4,               #bonr9,  0.46,  0.06,          -*--       |                   ,  0.32,  0.86
#
 5,                 base,  0.53,  0.14,            ----*----|-                  ,  0.32,  0.86
#
 6,              #rand15,  0.70,  0.00,                     |       *           ,  0.32,  0.86
#
 7,              #rand14,  0.70,  0.00,                     |       *           ,  0.32,  0.86
#
 8,               #rand9,  0.70,  0.00,                     |       *           ,  0.32,  0.86
