date    : 04/19/2024 19:02:30
file    : ../data/flash/SS-F.csv

#
 0,             #rand176,  0.35,  0.00, *                   |                   ,  0.35,  0.88
#
 1,              #bonr15,  0.44,  0.06,     --*-            |                   ,  0.35,  0.88
#
 2,              #bonr14,  0.44,  0.06,     --*-            |                   ,  0.35,  0.88
 2,       #progressive14,  0.45,  0.05,     ---*            |                   ,  0.35,  0.88
 2,       #progressive15,  0.45,  0.06,     ---*            |                   ,  0.35,  0.88
 2,      #SimAnnealing15,  0.45,  0.05,     ---*            |                   ,  0.35,  0.88
 2,      #SimAnnealing14,  0.45,  0.05,     ---*            |                   ,  0.35,  0.88
 2,    #ExpProgressive14,  0.45,  0.06,     ---*            |                   ,  0.35,  0.88
 2,    #ExpProgressive15,  0.45,  0.06,     ---*            |                   ,  0.35,  0.88
 2,               #bonr9,  0.46,  0.06,     ----*           |                   ,  0.35,  0.88
 2,       #SimAnnealing9,  0.46,  0.06,     ----*           |                   ,  0.35,  0.88
 2,        #progressive9,  0.46,  0.06,     ----*           |                   ,  0.35,  0.88
 2,     #ExpProgressive9,  0.46,  0.05,      ---*           |                   ,  0.35,  0.88
#
 3,                 base,  0.53,  0.16,           ----*-----|-                  ,  0.35,  0.88
#
 4,              #rand15,  0.70,  0.00,                     |     *             ,  0.35,  0.88
#
 5,               #rand9,  0.70,  0.00,                     |     *             ,  0.35,  0.88
 5,              #rand14,  0.70,  0.00,                     |     *             ,  0.35,  0.88
