date    : 04/19/2024 19:14:49
file    : ../data/flash/SS-J.csv

#
 0,      #SimAnnealing62,  0.08,  0.20, --*------           |                   ,  0.02,  1.00
 0,            #rand3456,  0.16,  0.00,      *              |                   ,  0.02,  1.00
#
 1,              #bonr62,  0.18,  0.30,  -----*------       |                   ,  0.02,  1.00
 1,       #progressive62,  0.18,  0.25,  -----*----         |                   ,  0.02,  1.00
 1,    #ExpProgressive62,  0.18,  0.33,  -----*-------      |                   ,  0.02,  1.00
 1,      #SimAnnealing15,  0.21,  0.26,   -----*----        |                   ,  0.02,  1.00
 1,              #bonr15,  0.23,  0.25,    -----*----       |                   ,  0.02,  1.00
#
 2,       #SimAnnealing9,  0.24,  0.27,   -------*---       |                   ,  0.02,  1.00
 2,       #progressive15,  0.29,  0.28,        ----*------- |                   ,  0.02,  1.00
 2,               #bonr9,  0.30,  0.33,        ----*--------|                   ,  0.02,  1.00
 2,     #ExpProgressive9,  0.30,  0.37,        ----*--------|--                 ,  0.02,  1.00
 2,    #ExpProgressive15,  0.30,  0.37,         ---*--------|--                 ,  0.02,  1.00
 2,        #progressive9,  0.34,  0.32,        -----*-------|                   ,  0.02,  1.00
#
 3,                 base,  0.59,  0.32,              -------|--*--              ,  0.02,  1.00
#
 4,              #rand15,  0.63,  0.00,                     |   *               ,  0.02,  1.00
#
 5,              #rand62,  0.63,  0.00,                     |   *               ,  0.02,  1.00
#
 6,               #rand9,  0.64,  0.00,                     |    *              ,  0.02,  1.00
