date    : 04/19/2024 19:20:11
file    : ../data/flash/SS-K.csv

#
 0,            #rand2592,  0.02,  0.00, *                   |                   ,  0.01,  0.90
#
 1,      #SimAnnealing54,  0.13,  0.22,  ----*-----         |                   ,  0.01,  0.90
#
 2,              #bonr54,  0.19,  0.30,    -----*--------   |                   ,  0.01,  0.90
 2,      #SimAnnealing15,  0.19,  0.19,     ----*----       |                   ,  0.01,  0.90
 2,       #SimAnnealing9,  0.24,  0.26,      -----*------   |                   ,  0.01,  0.90
 2,       #progressive54,  0.24,  0.24,     ------*----     |                   ,  0.01,  0.90
#
 3,       #progressive15,  0.32,  0.11,            --*--    |                   ,  0.01,  0.90
 3,    #ExpProgressive54,  0.32,  0.16,        ------*      |                   ,  0.01,  0.90
 3,              #bonr15,  0.33,  0.24,        -------*---  |                   ,  0.01,  0.90
#
 4,    #ExpProgressive15,  0.35,  0.10,              --*-   |                   ,  0.01,  0.90
 4,     #ExpProgressive9,  0.37,  0.13,              ---*-  |                   ,  0.01,  0.90
 4,        #progressive9,  0.37,  0.17,            -----*-  |                   ,  0.01,  0.90
 4,               #bonr9,  0.40,  0.17,            ------*- |                   ,  0.01,  0.90
#
 5,                 base,  0.53,  0.25,                  ---|--*----            ,  0.01,  0.90
#
 6,              #rand54,  0.65,  0.00,                     |       *           ,  0.01,  0.90
#
 7,              #rand15,  0.66,  0.00,                     |        *          ,  0.01,  0.90
#
 8,               #rand9,  0.66,  0.00,                     |        *          ,  0.01,  0.90
