rank, treatment, median, iqr, plot, min, max
 0,      SimAnnealing,40,  0.13,  0.09,    --*-             |                   ,  0.00,  1.00
 0,               UCB,40,  0.15,  0.04,      *              |                   ,  0.00,  1.00
 0,                EI,40,  0.15,  0.04,      *              |                   ,  0.00,  1.00
 0,                PI,40,  0.15,  0.04,      *              |                   ,  0.00,  1.00
 0,    ExpProgressive,40,  0.15,  0.07,    --*              |                   ,  0.00,  1.00
 0,              bonr,40,  0.15,  0.10,   ----*             |                   ,  0.00,  1.00
 0,       progressive,40,  0.15,  0.09,    ---*             |                   ,  0.00,  1.00
 0,                b2,40,  0.16,  0.06,      -*             |                   ,  0.00,  1.00
 1,                b2,15,  0.18,  0.07,       -*-           |                   ,  0.00,  1.00
 1,                EI,15,  0.18,  0.07,       -*            |                   ,  0.00,  1.00
 1,                PI,15,  0.18,  0.07,       -*            |                   ,  0.00,  1.00
 1,               UCB,15,  0.18,  0.07,       -*            |                   ,  0.00,  1.00
 1,    ExpProgressive,15,  0.19,  0.05,       -*            |                   ,  0.00,  1.00
 1,       progressive,15,  0.19,  0.09,       -*-           |                   ,  0.00,  1.00
 1,      SimAnnealing,15,  0.19,  0.02,       -*            |                   ,  0.00,  1.00
 1,       SimAnnealing,9,  0.19,  0.04,        *            |                   ,  0.00,  1.00
 2,              bonr,15,  0.20,  0.06,       -*-           |                   ,  0.00,  1.00
 2,               bonr,9,  0.21,  0.09,        -*--         |                   ,  0.00,  1.00
 2,        progressive,9,  0.22,  0.09,        -*--         |                   ,  0.00,  1.00
 2,                 PI,9,  0.22,  0.05,        -*           |                   ,  0.00,  1.00
 2,     ExpProgressive,9,  0.22,  0.09,        -*--         |                   ,  0.00,  1.00
 2,                 EI,9,  0.22,  0.05,        -*           |                   ,  0.00,  1.00
 2,                UCB,9,  0.22,  0.05,        -*           |                   ,  0.00,  1.00
 2,                 b2,9,  0.22,  0.08,        -*--         |                   ,  0.00,  1.00
 2,              rand,40,  0.24,  0.00,          *          |                   ,  0.00,  1.00
 3,              rand,15,  0.29,  0.00,            *        |                   ,  0.00,  1.00
 4,               rand,9,  0.35,  0.00,               *     |                   ,  0.00,  1.00
 5,            base,4653,  0.45,  0.26,              ----*--|--                 ,  0.00,  1.00
