rank, treatment, median, iqr, plot, min, max
 0,                b2,40,  0.00,  0.06, *-                  |                   ,  0.00,  0.95
 1,      SimAnnealing,40,  0.09,  0.16,   -*-----           |                   ,  0.00,  0.95
 1,              bonr,40,  0.13,  0.14,    --*---           |                   ,  0.00,  0.95
 1,               UCB,40,  0.19,  0.14,    ----*-           |                   ,  0.00,  0.95
 1,                EI,40,  0.19,  0.14,    ----*-           |                   ,  0.00,  0.95
 1,                PI,40,  0.19,  0.14,    ----*-           |                   ,  0.00,  0.95
 1,    ExpProgressive,40,  0.19,  0.17,   -----*-           |                   ,  0.00,  0.95
 1,       progressive,40,  0.22,  0.17,   -------*          |                   ,  0.00,  0.95
 1,                b2,15,  0.22,  0.19,   -------*          |                   ,  0.00,  0.95
 2,              rand,40,  0.22,  0.00,          *          |                   ,  0.00,  0.95
 2,      SimAnnealing,15,  0.22,  0.25,   -------*--        |                   ,  0.00,  0.95
 3,                EI,15,  0.23,  0.15,      ----*--        |                   ,  0.00,  0.95
 3,                PI,15,  0.23,  0.15,      ----*--        |                   ,  0.00,  0.95
 3,               UCB,15,  0.23,  0.15,      ----*--        |                   ,  0.00,  0.95
 3,                 b2,9,  0.23,  0.22,    ------*--        |                   ,  0.00,  0.95
 3,              bonr,15,  0.23,  0.21,      ----*----      |                   ,  0.00,  0.95
 3,    ExpProgressive,15,  0.25,  0.17,        ---*----     |                   ,  0.00,  0.95
 3,       progressive,15,  0.25,  0.17,        ---*----     |                   ,  0.00,  0.95
 3,                 PI,9,  0.28,  0.14,        ----*-       |                   ,  0.00,  0.95
 3,                 EI,9,  0.28,  0.14,        ----*-       |                   ,  0.00,  0.95
 3,                UCB,9,  0.28,  0.14,        ----*-       |                   ,  0.00,  0.95
 3,       SimAnnealing,9,  0.31,  0.21,          ---*----   |                   ,  0.00,  0.95
 4,               bonr,9,  0.31,  0.17,          ---*---    |                   ,  0.00,  0.95
 4,        progressive,9,  0.35,  0.19,          -----*--   |                   ,  0.00,  0.95
 4,     ExpProgressive,9,  0.35,  0.19,          -----*--   |                   ,  0.00,  0.95
 5,               rand,9,  0.45,  0.00,                   * |                   ,  0.00,  0.95
 5,              rand,15,  0.45,  0.00,                   * |                   ,  0.00,  0.95
 6,             base,206,  0.56,  0.29,                  ---|--*-----           ,  0.00,  0.95
