rank, treatment, median, iqr, plot, min, max
 0,      SimAnnealing,40,  0.17,  0.11, --*---              |                   ,  0.12,  0.84
 0,               UCB,40,  0.17,  0.09, --*--               |                   ,  0.12,  0.84
 0,                EI,40,  0.17,  0.09, --*--               |                   ,  0.12,  0.84
 0,                PI,40,  0.17,  0.09, --*--               |                   ,  0.12,  0.84
 0,                b2,40,  0.18,  0.11, --*---              |                   ,  0.12,  0.84
 0,                EI,15,  0.22,  0.08,   ---*-             |                   ,  0.12,  0.84
 0,                PI,15,  0.22,  0.08,   ---*-             |                   ,  0.12,  0.84
 0,               UCB,15,  0.22,  0.08,   ---*-             |                   ,  0.12,  0.84
 1,                b2,15,  0.24,  0.12,    ---*---          |                   ,  0.12,  0.84
 1,      SimAnnealing,15,  0.24,  0.11,   ----*-            |                   ,  0.12,  0.84
 1,       SimAnnealing,9,  0.25,  0.13,    ----*---         |                   ,  0.12,  0.84
 1,    ExpProgressive,40,  0.25,  0.12,    ----*--          |                   ,  0.12,  0.84
 1,                 PI,9,  0.27,  0.10,      ---*--         |                   ,  0.12,  0.84
 1,                 EI,9,  0.27,  0.10,      ---*--         |                   ,  0.12,  0.84
 1,                UCB,9,  0.27,  0.10,      ---*--         |                   ,  0.12,  0.84
 1,    ExpProgressive,15,  0.28,  0.13,    -----*--         |                   ,  0.12,  0.84
 1,              bonr,40,  0.28,  0.13,    -----*--         |                   ,  0.12,  0.84
 1,       progressive,40,  0.28,  0.08,       --*--         |                   ,  0.12,  0.84
 1,                 b2,9,  0.29,  0.07,       ---*          |                   ,  0.12,  0.84
 1,        progressive,9,  0.29,  0.08,       ---*-         |                   ,  0.12,  0.84
 1,     ExpProgressive,9,  0.29,  0.08,       ---*-         |                   ,  0.12,  0.84
 1,               bonr,9,  0.30,  0.08,       ---*-         |                   ,  0.12,  0.84
 1,       progressive,15,  0.31,  0.08,       ----*         |                   ,  0.12,  0.84
 1,              bonr,15,  0.31,  0.08,       ----*         |                   ,  0.12,  0.84
 2,             base,756,  0.37,  0.20,           ---*------|                   ,  0.12,  0.84
 3,              rand,40,  0.69,  0.00,                     |          *        ,  0.12,  0.84
 4,               rand,9,  0.70,  0.00,                     |           *       ,  0.12,  0.84
 4,              rand,15,  0.70,  0.00,                     |           *       ,  0.12,  0.84
