rank, treatment, median, iqr, plot, min, max
 0,       progressive,40,  0.38,  0.08,  -*---              |                   ,  0.33,  0.93
 0,               UCB,40,  0.39,  0.04,  --*                |                   ,  0.33,  0.93
 1,                EI,40,  0.39,  0.04,  --*                |                   ,  0.33,  0.93
 2,                PI,40,  0.39,  0.04,  --*                |                   ,  0.33,  0.93
 2,    ExpProgressive,40,  0.39,  0.10, ---*--              |                   ,  0.33,  0.93
 2,              bonr,40,  0.39,  0.06,   -*--              |                   ,  0.33,  0.93
 2,                EI,15,  0.42,  0.07,    --*--            |                   ,  0.33,  0.93
 2,                PI,15,  0.42,  0.07,    --*--            |                   ,  0.33,  0.93
 2,               UCB,15,  0.42,  0.07,    --*--            |                   ,  0.33,  0.93
 2,                b2,40,  0.43,  0.08,  -----*             |                   ,  0.33,  0.93
 3,      SimAnnealing,40,  0.43,  0.04,    ---*             |                   ,  0.33,  0.93
 3,      SimAnnealing,15,  0.44,  0.04,      -*-            |                   ,  0.33,  0.93
 4,    ExpProgressive,15,  0.44,  0.04,      -*-            |                   ,  0.33,  0.93
 4,       progressive,15,  0.44,  0.06,    ---*-            |                   ,  0.33,  0.93
 4,                b2,15,  0.44,  0.03,       *-            |                   ,  0.33,  0.93
 4,                 PI,9,  0.44,  0.03,       -*            |                   ,  0.33,  0.93
 4,                 EI,9,  0.44,  0.03,       -*            |                   ,  0.33,  0.93
 4,                UCB,9,  0.44,  0.03,       -*            |                   ,  0.33,  0.93
 4,       SimAnnealing,9,  0.44,  0.03,       -*            |                   ,  0.33,  0.93
 5,        progressive,9,  0.45,  0.08,      --*---         |                   ,  0.33,  0.93
 5,                 b2,9,  0.45,  0.04,       -*-           |                   ,  0.33,  0.93
 5,              bonr,15,  0.45,  0.05,      --*-           |                   ,  0.33,  0.93
 5,     ExpProgressive,9,  0.45,  0.07,       -*---         |                   ,  0.33,  0.93
 6,               bonr,9,  0.47,  0.06,       --*--         |                   ,  0.33,  0.93
 7,              rand,40,  0.53,  0.00,              *      |                   ,  0.33,  0.93
 8,             base,196,  0.54,  0.17,           ---*------|-                  ,  0.33,  0.93
 9,              rand,15,  0.70,  0.00,                     |   *               ,  0.33,  0.93
10,               rand,9,  0.70,  0.00,                     |   *               ,  0.33,  0.93
