rank, treatment, median, iqr, plot, min, max
 0,               UCB,40,  0.02,  0.11, -*---               |                   ,  0.00,  0.86
 0,                EI,40,  0.02,  0.11, -*---               |                   ,  0.00,  0.86
 0,                PI,40,  0.02,  0.11, -*---               |                   ,  0.00,  0.86
 1,      SimAnnealing,40,  0.22,  0.20,   -------*-         |                   ,  0.00,  0.86
 1,                EI,15,  0.22,  0.20,  ---------*         |                   ,  0.00,  0.86
 1,                PI,15,  0.22,  0.20,  ---------*         |                   ,  0.00,  0.86
 1,               UCB,15,  0.22,  0.20,  ---------*         |                   ,  0.00,  0.86
 2,       progressive,40,  0.23,  0.20,   --------*         |                   ,  0.00,  0.86
 2,    ExpProgressive,40,  0.23,  0.20,   --------*         |                   ,  0.00,  0.86
 2,                 PI,9,  0.23,  0.24,   --------*--       |                   ,  0.00,  0.86
 2,                 EI,9,  0.23,  0.24,   --------*--       |                   ,  0.00,  0.86
 2,                UCB,9,  0.23,  0.24,   --------*--       |                   ,  0.00,  0.86
 2,              bonr,40,  0.24,  0.13,      ------*        |                   ,  0.00,  0.86
 2,                b2,40,  0.24,  0.26, -----------*        |                   ,  0.00,  0.86
 2,    ExpProgressive,15,  0.25,  0.08,          --*-       |                   ,  0.00,  0.86
 2,       progressive,15,  0.25,  0.08,          --*-       |                   ,  0.00,  0.86
 3,                b2,15,  0.26,  0.07,          --*-       |                   ,  0.00,  0.86
 3,              bonr,15,  0.26,  0.08,          --*-       |                   ,  0.00,  0.86
 3,                 b2,9,  0.26,  0.03,            -*       |                   ,  0.00,  0.86
 3,      SimAnnealing,15,  0.26,  0.06,           --*       |                   ,  0.00,  0.86
 4,       SimAnnealing,9,  0.26,  0.04,            -*       |                   ,  0.00,  0.86
 4,        progressive,9,  0.26,  0.03,            -*       |                   ,  0.00,  0.86
 4,               bonr,9,  0.26,  0.04,            -*       |                   ,  0.00,  0.86
 4,     ExpProgressive,9,  0.26,  0.04,            -*       |                   ,  0.00,  0.86
 5,              rand,40,  0.30,  0.00,              *      |                   ,  0.00,  0.86
 6,            base,1080,  0.36,  0.19,               --*---|-                  ,  0.00,  0.86
 7,               rand,9,  0.44,  0.00,                     *                   ,  0.00,  0.86
 7,              rand,15,  0.44,  0.00,                     *                   ,  0.00,  0.86
