rank, treatment, median, iqr, plot, min, max
 0,                b2,40,  0.10,  0.14,  ---*--             |                   ,  0.01,  0.90
 0,               UCB,40,  0.14,  0.07,    --*-             |                   ,  0.01,  0.90
 0,                EI,40,  0.14,  0.07,    --*-             |                   ,  0.01,  0.90
 0,                PI,40,  0.14,  0.07,    --*-             |                   ,  0.01,  0.90
 0,      SimAnnealing,40,  0.14,  0.24,  ----*------        |                   ,  0.01,  0.90
 1,                EI,15,  0.21,  0.22,     ----*-----      |                   ,  0.01,  0.90
 1,                PI,15,  0.21,  0.22,     ----*-----      |                   ,  0.01,  0.90
 1,               UCB,15,  0.21,  0.22,     ----*-----      |                   ,  0.01,  0.90
 1,      SimAnnealing,15,  0.21,  0.20,     -----*---       |                   ,  0.01,  0.90
 1,              bonr,40,  0.24,  0.30,     ------*------   |                   ,  0.01,  0.90
 1,                b2,15,  0.26,  0.20,      ------*--      |                   ,  0.01,  0.90
 2,       SimAnnealing,9,  0.27,  0.23,        ----*-----   |                   ,  0.01,  0.90
 2,                 PI,9,  0.30,  0.12,          ---*--     |                   ,  0.01,  0.90
 2,                 EI,9,  0.30,  0.12,          ---*--     |                   ,  0.01,  0.90
 2,                UCB,9,  0.30,  0.12,          ---*--     |                   ,  0.01,  0.90
 2,       progressive,40,  0.32,  0.12,           ---*-     |                   ,  0.01,  0.90
 2,                 b2,9,  0.33,  0.26,       --------*---  |                   ,  0.01,  0.90
 3,       progressive,15,  0.33,  0.14,            ---*--   |                   ,  0.01,  0.90
 3,              bonr,15,  0.33,  0.24,        -------*---  |                   ,  0.01,  0.90
 3,    ExpProgressive,40,  0.33,  0.14,          -----*     |                   ,  0.01,  0.90
 3,    ExpProgressive,15,  0.35,  0.10,              --*-   |                   ,  0.01,  0.90
 3,        progressive,9,  0.35,  0.16,            ----*--  |                   ,  0.01,  0.90
 3,     ExpProgressive,9,  0.37,  0.13,              ---*-  |                   ,  0.01,  0.90
 3,               bonr,9,  0.40,  0.17,            ------*- |                   ,  0.01,  0.90
 4,            base,2880,  0.53,  0.25,                  ---|--*----            ,  0.01,  0.90
 5,              rand,40,  0.65,  0.00,                     |       *           ,  0.01,  0.90
 6,              rand,15,  0.66,  0.00,                     |        *          ,  0.01,  0.90
 7,               rand,9,  0.66,  0.00,                     |        *          ,  0.01,  0.90
