rank, treatment, median, iqr, plot, min, max
 0,               UCB,40,  0.19,  0.03,  -*                 |                   ,  0.16,  0.88
 1,                EI,40,  0.19,  0.03,  -*                 |                   ,  0.16,  0.88
 1,                PI,40,  0.19,  0.03,  -*                 |                   ,  0.16,  0.88
 2,                EI,15,  0.21,  0.20,   *----------       |                   ,  0.16,  0.88
 2,                PI,15,  0.21,  0.20,   *----------       |                   ,  0.16,  0.88
 2,               UCB,15,  0.21,  0.20,   *----------       |                   ,  0.16,  0.88
 2,                 PI,9,  0.42,  0.32,    -----------*-----|                   ,  0.16,  0.88
 3,                 EI,9,  0.42,  0.32,    -----------*-----|                   ,  0.16,  0.88
 4,                UCB,9,  0.42,  0.32,    -----------*-----|                   ,  0.16,  0.88
 5,              rand,40,  0.59,  0.00,                     |   *               ,  0.16,  0.88
 6,               rand,9,  0.59,  0.00,                     |   *               ,  0.16,  0.88
 6,              rand,15,  0.59,  0.00,                     |   *               ,  0.16,  0.88
 7,            base,1023,  0.69,  0.21,                     |--------*---       ,  0.16,  0.88
