rank, treatment, median, iqr, plot, min, max
 0,              rand,40,  0.00,  0.00, *                   |                   ,  0.00,  0.71
 0,               rand,9,  0.00,  0.00, *                   |                   ,  0.00,  0.71
 1,              rand,15,  0.00,  0.00, *                   |                   ,  0.00,  0.71
 1,                EI,15,  0.01,  0.02, *                   |                   ,  0.00,  0.71
 1,                PI,15,  0.01,  0.02, *                   |                   ,  0.00,  0.71
 2,               UCB,15,  0.01,  0.02, *                   |                   ,  0.00,  0.71
 2,               UCB,40,  0.02,  0.02, *                   |                   ,  0.00,  0.71
 2,                EI,40,  0.02,  0.02, *                   |                   ,  0.00,  0.71
 3,                PI,40,  0.02,  0.02, *                   |                   ,  0.00,  0.71
 3,              bonr,40,  0.02,  0.03, *                   |                   ,  0.00,  0.71
 3,       progressive,40,  0.02,  0.03, *                   |                   ,  0.00,  0.71
 3,    ExpProgressive,40,  0.03,  0.04, -*                  |                   ,  0.00,  0.71
 3,      SimAnnealing,40,  0.03,  0.04, -*                  |                   ,  0.00,  0.71
 4,      SimAnnealing,15,  0.03,  0.05, -*                  |                   ,  0.00,  0.71
 4,                b2,15,  0.03,  0.04, -*                  |                   ,  0.00,  0.71
 4,               bonr,9,  0.03,  0.04, -*                  |                   ,  0.00,  0.71
 4,                b2,40,  0.03,  0.04, -*                  |                   ,  0.00,  0.71
 4,              bonr,15,  0.03,  0.03, -*                  |                   ,  0.00,  0.71
 4,                 b2,9,  0.03,  0.05, -*-                 |                   ,  0.00,  0.71
 5,                 PI,9,  0.04,  0.06,  *--                |                   ,  0.00,  0.71
 5,                 EI,9,  0.04,  0.06,  *--                |                   ,  0.00,  0.71
 5,                UCB,9,  0.04,  0.06,  *--                |                   ,  0.00,  0.71
 5,       SimAnnealing,9,  0.04,  0.03,  -*                 |                   ,  0.00,  0.71
 5,    ExpProgressive,15,  0.04,  0.04,  -*                 |                   ,  0.00,  0.71
 5,        progressive,9,  0.04,  0.03,  -*                 |                   ,  0.00,  0.71
 5,     ExpProgressive,9,  0.04,  0.03,  -*                 |                   ,  0.00,  0.71
 5,       progressive,15,  0.05,  0.05, --*                 |                   ,  0.00,  0.71
 6,            base,3840,  0.12,  0.30,      -*-------------|-                  ,  0.00,  0.71
