rank, treatment, median, iqr, plot, min, max
 0,              rand,40,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 0,               rand,9,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 1,              rand,15,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 2,       progressive,40,  0.02,  0.10, *---                |                   ,  0.00,  1.00
 3,      SimAnnealing,40,  0.02,  0.06, *--                 |                   ,  0.00,  1.00
 3,              bonr,40,  0.03,  0.08, -*--                |                   ,  0.00,  1.00
 4,    ExpProgressive,40,  0.04,  0.15, -*----              |                   ,  0.00,  1.00
 4,      SimAnnealing,15,  0.07,  0.15,  -*----             |                   ,  0.00,  1.00
 5,               UCB,40,  0.08,  0.17,  --*----            |                   ,  0.00,  1.00
 5,                EI,40,  0.08,  0.17,  --*----            |                   ,  0.00,  1.00
 5,                PI,40,  0.08,  0.17,  --*----            |                   ,  0.00,  1.00
 5,              bonr,15,  0.08,  0.15,   -*----            |                   ,  0.00,  1.00
 5,    ExpProgressive,15,  0.12,  0.17,  ---*---            |                   ,  0.00,  1.00
 5,       progressive,15,  0.12,  0.13,   --*---            |                   ,  0.00,  1.00
 5,                b2,40,  0.17,  0.14,  -----*             |                   ,  0.00,  1.00
 5,       SimAnnealing,9,  0.17,  0.17,   ----*--           |                   ,  0.00,  1.00
 6,                b2,15,  0.19,  0.16,    ----*-           |                   ,  0.00,  1.00
 6,        progressive,9,  0.20,  0.10,       --*-          |                   ,  0.00,  1.00
 7,               bonr,9,  0.20,  0.20,    -----*--         |                   ,  0.00,  1.00
 7,                 b2,9,  0.21,  0.12,       --*--         |                   ,  0.00,  1.00
 7,                EI,15,  0.22,  0.19,    -----*-          |                   ,  0.00,  1.00
 7,                PI,15,  0.22,  0.19,    -----*-          |                   ,  0.00,  1.00
 7,               UCB,15,  0.22,  0.19,    -----*-          |                   ,  0.00,  1.00
 7,     ExpProgressive,9,  0.22,  0.11,       --*--         |                   ,  0.00,  1.00
 7,                 PI,9,  0.24,  0.06,         -*          |                   ,  0.00,  1.00
 7,                 EI,9,  0.24,  0.06,         -*          |                   ,  0.00,  1.00
 7,                UCB,9,  0.24,  0.06,         -*          |                   ,  0.00,  1.00
 8,            base,6840,  0.57,  0.35,                -----|-*------           ,  0.00,  1.00
