rank, treatment, median, iqr, plot, min, max
 0,              rand,40,  0.09,  0.00, *                   |                   ,  0.09,  0.90
 0,               rand,9,  0.09,  0.00, *                   |                   ,  0.09,  0.90
 0,              rand,15,  0.09,  0.00, *                   |                   ,  0.09,  0.90
 1,    ExpProgressive,40,  0.25,  0.10,      --*--          |                   ,  0.09,  0.90
 1,       progressive,40,  0.26,  0.07,       --*-          |                   ,  0.09,  0.90
 1,                b2,40,  0.26,  0.08,      ---*           |                   ,  0.09,  0.90
 2,              bonr,40,  0.27,  0.10,      ---*-          |                   ,  0.09,  0.90
 2,      SimAnnealing,40,  0.28,  0.04,         -*          |                   ,  0.09,  0.90
 3,               UCB,40,  0.30,  0.08,         --*-        |                   ,  0.09,  0.90
 4,                EI,40,  0.30,  0.08,         --*-        |                   ,  0.09,  0.90
 4,                PI,40,  0.30,  0.08,         --*-        |                   ,  0.09,  0.90
 4,                b2,15,  0.31,  0.04,           *-        |                   ,  0.09,  0.90
 5,       progressive,15,  0.34,  0.08,            -*--     |                   ,  0.09,  0.90
 5,              bonr,15,  0.34,  0.06,           --*       |                   ,  0.09,  0.90
 5,      SimAnnealing,15,  0.34,  0.07,           --*       |                   ,  0.09,  0.90
 6,    ExpProgressive,15,  0.35,  0.08,           --*-      |                   ,  0.09,  0.90
 6,                EI,15,  0.35,  0.06,            -*-      |                   ,  0.09,  0.90
 6,                PI,15,  0.35,  0.06,            -*-      |                   ,  0.09,  0.90
 6,               UCB,15,  0.35,  0.06,            -*-      |                   ,  0.09,  0.90
 6,                 b2,9,  0.35,  0.06,            -*-      |                   ,  0.09,  0.90
 7,                 PI,9,  0.38,  0.05,              -*     |                   ,  0.09,  0.90
 7,                 EI,9,  0.38,  0.05,              -*     |                   ,  0.09,  0.90
 7,                UCB,9,  0.38,  0.05,              -*     |                   ,  0.09,  0.90
 7,       SimAnnealing,9,  0.40,  0.07,              --*    |                   ,  0.09,  0.90
 7,        progressive,9,  0.43,  0.07,              ---*   |                   ,  0.09,  0.90
 7,     ExpProgressive,9,  0.43,  0.07,              ---*   |                   ,  0.09,  0.90
 7,               bonr,9,  0.43,  0.11,             ----*-  |                   ,  0.09,  0.90
 8,           base,65536,  0.52,  0.15,                  ---*---                ,  0.09,  0.90
