rank, treatment, median, iqr, plot, min, max
 0,              rand,40,  0.18,  0.00,    *                |                   ,  0.13,  0.78
 1,      SimAnnealing,40,  0.19,  0.04,   -*-               |                   ,  0.13,  0.78
 1,       progressive,40,  0.19,  0.06,    *---             |                   ,  0.13,  0.78
 2,    ExpProgressive,40,  0.19,  0.08,    *----            |                   ,  0.13,  0.78
 2,              bonr,40,  0.21,  0.07,    -*--             |                   ,  0.13,  0.78
 2,                b2,40,  0.21,  0.08,    -*---            |                   ,  0.13,  0.78
 2,               UCB,40,  0.22,  0.06,    --*-             |                   ,  0.13,  0.78
 2,                EI,40,  0.22,  0.06,    --*-             |                   ,  0.13,  0.78
 2,                PI,40,  0.22,  0.06,    --*-             |                   ,  0.13,  0.78
 2,    ExpProgressive,15,  0.25,  0.11,    ----*--          |                   ,  0.13,  0.78
 3,       progressive,15,  0.25,  0.09,     ---*--          |                   ,  0.13,  0.78
 3,        progressive,9,  0.26,  0.14,     ---*-----       |                   ,  0.13,  0.78
 3,              bonr,15,  0.26,  0.06,       -*--          |                   ,  0.13,  0.78
 3,                EI,15,  0.26,  0.08,      --*-           |                   ,  0.13,  0.78
 3,                PI,15,  0.26,  0.08,      --*-           |                   ,  0.13,  0.78
 3,               UCB,15,  0.26,  0.08,      --*-           |                   ,  0.13,  0.78
 4,               rand,9,  0.26,  0.00,         *           |                   ,  0.13,  0.78
 4,              rand,15,  0.26,  0.00,         *           |                   ,  0.13,  0.78
 5,                b2,15,  0.27,  0.10,     ----*--         |                   ,  0.13,  0.78
 5,      SimAnnealing,15,  0.28,  0.10,       --*---        |                   ,  0.13,  0.78
 5,     ExpProgressive,9,  0.28,  0.17,     ----*------     |                   ,  0.13,  0.78
 5,       SimAnnealing,9,  0.28,  0.16,    -----*----       |                   ,  0.13,  0.78
 5,               bonr,9,  0.30,  0.09,       ----*         |                   ,  0.13,  0.78
 6,                 b2,9,  0.32,  0.04,           -*        |                   ,  0.13,  0.78
 6,                 PI,9,  0.32,  0.17,        ----*-----   |                   ,  0.13,  0.78
 6,                 EI,9,  0.32,  0.17,        ----*-----   |                   ,  0.13,  0.78
 6,                UCB,9,  0.32,  0.17,        ----*-----   |                   ,  0.13,  0.78
 7,            base,1000,  0.46,  0.15,                -----*---                ,  0.13,  0.78
