rank, treatment, median, iqr, plot, min, max
 0,               UCB,40,  0.38,  0.05,            *-       |                   ,  0.16,  0.90
 0,                EI,40,  0.38,  0.05,            *-       |                   ,  0.16,  0.90
 0,                PI,40,  0.38,  0.05,            *-       |                   ,  0.16,  0.90
 0,              bonr,40,  0.39,  0.03,            -*       |                   ,  0.16,  0.90
 0,              rand,40,  0.39,  0.00,             *       |                   ,  0.16,  0.90
 0,               rand,9,  0.39,  0.00,             *       |                   ,  0.16,  0.90
 0,      SimAnnealing,40,  0.39,  0.07,           --*       |                   ,  0.16,  0.90
 0,              rand,15,  0.39,  0.00,             *       |                   ,  0.16,  0.90
 1,    ExpProgressive,40,  0.39,  0.03,            -*       |                   ,  0.16,  0.90
 1,       progressive,40,  0.40,  0.03,            -*       |                   ,  0.16,  0.90
 1,                b2,40,  0.41,  0.05,            --*      |                   ,  0.16,  0.90
 2,                EI,15,  0.42,  0.01,              -*     |                   ,  0.16,  0.90
 2,                PI,15,  0.42,  0.01,              -*     |                   ,  0.16,  0.90
 2,               UCB,15,  0.42,  0.01,              -*     |                   ,  0.16,  0.90
 2,                b2,15,  0.43,  0.05,            ---*     |                   ,  0.16,  0.90
 3,              bonr,15,  0.43,  0.03,             --*     |                   ,  0.16,  0.90
 3,    ExpProgressive,15,  0.43,  0.02,              -*     |                   ,  0.16,  0.90
 3,       progressive,15,  0.43,  0.02,              -*     |                   ,  0.16,  0.90
 3,                 b2,9,  0.43,  0.06,            ---*     |                   ,  0.16,  0.90
 3,      SimAnnealing,15,  0.43,  0.03,              -*     |                   ,  0.16,  0.90
 3,                 PI,9,  0.43,  0.02,              -*     |                   ,  0.16,  0.90
 3,                 EI,9,  0.43,  0.02,              -*     |                   ,  0.16,  0.90
 3,                UCB,9,  0.43,  0.02,              -*     |                   ,  0.16,  0.90
 3,               bonr,9,  0.43,  0.02,              -*     |                   ,  0.16,  0.90
 4,       SimAnnealing,9,  0.43,  0.02,              -*     |                   ,  0.16,  0.90
 4,        progressive,9,  0.43,  0.02,              -*     |                   ,  0.16,  0.90
 4,     ExpProgressive,9,  0.43,  0.02,              -*     |                   ,  0.16,  0.90
 5,           base,10000,  0.57,  0.25,                -----|*------            ,  0.16,  0.90
