rank, treatment, median, iqr, plot, min, max
 0,      SimAnnealing,40,  0.07,  0.01, *                   |                   ,  0.07,  0.90
 0,              rand,40,  0.10,  0.00,  *                  |                   ,  0.07,  0.90
 0,              bonr,40,  0.10,  0.09, -*--                |                   ,  0.07,  0.90
 0,               rand,9,  0.10,  0.00,  *                  |                   ,  0.07,  0.90
 0,    ExpProgressive,40,  0.10,  0.09, -*--                |                   ,  0.07,  0.90
 0,              rand,15,  0.10,  0.00,  *                  |                   ,  0.07,  0.90
 1,      SimAnnealing,15,  0.12,  0.14, --*----             |                   ,  0.07,  0.90
 1,       progressive,40,  0.15,  0.13, ----*-              |                   ,  0.07,  0.90
 1,                b2,40,  0.15,  0.09, ----*               |                   ,  0.07,  0.90
 1,               UCB,40,  0.18,  0.13, -----*              |                   ,  0.07,  0.90
 1,                EI,40,  0.18,  0.13, -----*              |                   ,  0.07,  0.90
 1,                PI,40,  0.18,  0.13, -----*              |                   ,  0.07,  0.90
 2,    ExpProgressive,15,  0.22,  0.05,       -*            |                   ,  0.07,  0.90
 2,                b2,15,  0.23,  0.08,      --*-           |                   ,  0.07,  0.90
 2,                EI,15,  0.24,  0.07,      ---*           |                   ,  0.07,  0.90
 2,                PI,15,  0.24,  0.07,      ---*           |                   ,  0.07,  0.90
 2,               UCB,15,  0.24,  0.07,      ---*           |                   ,  0.07,  0.90
 2,       progressive,15,  0.24,  0.06,        -*           |                   ,  0.07,  0.90
 2,              bonr,15,  0.24,  0.08,       --*-          |                   ,  0.07,  0.90
 2,                 PI,9,  0.24,  0.20,   ------*---        |                   ,  0.07,  0.90
 2,                 EI,9,  0.24,  0.20,   ------*---        |                   ,  0.07,  0.90
 2,                UCB,9,  0.24,  0.20,   ------*---        |                   ,  0.07,  0.90
 3,       SimAnnealing,9,  0.24,  0.06,        -*-          |                   ,  0.07,  0.90
 3,                 b2,9,  0.24,  0.07,       --*-          |                   ,  0.07,  0.90
 3,     ExpProgressive,9,  0.24,  0.07,        -*--         |                   ,  0.07,  0.90
 3,        progressive,9,  0.25,  0.05,         *-          |                   ,  0.07,  0.90
 3,               bonr,9,  0.25,  0.10,       --*--         |                   ,  0.07,  0.90
 4,             base,500,  0.52,  0.22,                 ----|*----              ,  0.07,  0.90
