rank, treatment, median, iqr, plot, min, max
 0,               UCB,40,  0.04,  0.03,  *-                 |                   ,  0.00,  0.77
 0,                EI,40,  0.04,  0.03,  *-                 |                   ,  0.00,  0.77
 0,                PI,40,  0.04,  0.03,  *-                 |                   ,  0.00,  0.77
 0,       progressive,40,  0.05,  0.02,  -*                 |                   ,  0.00,  0.77
 0,                b2,40,  0.05,  0.03,  -*                 |                   ,  0.00,  0.77
 1,      SimAnnealing,15,  0.06,  0.05,   *--               |                   ,  0.00,  0.77
 1,      SimAnnealing,40,  0.06,  0.04, --*                 |                   ,  0.00,  0.77
 1,              rand,40,  0.06,  0.00,    *                |                   ,  0.00,  0.77
 1,    ExpProgressive,40,  0.06,  0.05,  --*                |                   ,  0.00,  0.77
 2,              rand,15,  0.06,  0.00,    *                |                   ,  0.00,  0.77
 3,              bonr,40,  0.06,  0.03,  --*                |                   ,  0.00,  0.77
 3,                b2,15,  0.09,  0.07,    -*-              |                   ,  0.00,  0.77
 3,               rand,9,  0.09,  0.00,     *               |                   ,  0.00,  0.77
 4,       SimAnnealing,9,  0.10,  0.11,    --*--            |                   ,  0.00,  0.77
 4,                EI,15,  0.11,  0.09,    --*-             |                   ,  0.00,  0.77
 4,                PI,15,  0.11,  0.09,    --*-             |                   ,  0.00,  0.77
 4,    ExpProgressive,15,  0.11,  0.09,     -*--            |                   ,  0.00,  0.77
 4,               UCB,15,  0.11,  0.09,    --*-             |                   ,  0.00,  0.77
 5,       progressive,15,  0.11,  0.11,     -*----          |                   ,  0.00,  0.77
 5,              bonr,15,  0.14,  0.11,     ---*--          |                   ,  0.00,  0.77
 5,                 b2,9,  0.15,  0.11,     ---*--          |                   ,  0.00,  0.77
 5,                 PI,9,  0.15,  0.13,     ---*---         |                   ,  0.00,  0.77
 5,                 EI,9,  0.15,  0.13,     ---*---         |                   ,  0.00,  0.77
 5,                UCB,9,  0.15,  0.13,     ---*---         |                   ,  0.00,  0.77
 6,        progressive,9,  0.15,  0.11,     ----*-          |                   ,  0.00,  0.77
 6,               bonr,9,  0.17,  0.18,      ---*-----      |                   ,  0.00,  0.77
 6,     ExpProgressive,9,  0.17,  0.14,      ---*---        |                   ,  0.00,  0.77
 7,             base,500,  0.41,  0.21,                -----|*---               ,  0.00,  0.77
