rank, treatment, median, iqr, plot, min, max
 0,                b2,40,  0.26,  0.07,     --*-            |                   ,  0.15,  0.88
 0,      SimAnnealing,40,  0.28,  0.05,       -*            |                   ,  0.15,  0.88
 0,               UCB,40,  0.28,  0.05,       -*            |                   ,  0.15,  0.88
 0,       progressive,40,  0.28,  0.03,        *            |                   ,  0.15,  0.88
 0,              bonr,40,  0.28,  0.07,     ---*            |                   ,  0.15,  0.88
 0,                EI,40,  0.28,  0.05,       -*            |                   ,  0.15,  0.88
 0,                PI,40,  0.28,  0.05,       -*            |                   ,  0.15,  0.88
 1,    ExpProgressive,40,  0.30,  0.06,       --*           |                   ,  0.15,  0.88
 1,                b2,15,  0.32,  0.09,        --*--        |                   ,  0.15,  0.88
 2,                EI,15,  0.33,  0.08,         -*--        |                   ,  0.15,  0.88
 2,                PI,15,  0.33,  0.08,         -*--        |                   ,  0.15,  0.88
 2,               UCB,15,  0.33,  0.08,         -*--        |                   ,  0.15,  0.88
 2,       progressive,15,  0.35,  0.12,         --*---      |                   ,  0.15,  0.88
 3,              rand,40,  0.35,  0.00,           *         |                   ,  0.15,  0.88
 3,               rand,9,  0.35,  0.00,           *         |                   ,  0.15,  0.88
 4,              rand,15,  0.35,  0.00,           *         |                   ,  0.15,  0.88
 4,      SimAnnealing,15,  0.35,  0.06,          --*        |                   ,  0.15,  0.88
 5,    ExpProgressive,15,  0.36,  0.07,          --*-       |                   ,  0.15,  0.88
 5,                 b2,9,  0.36,  0.06,          --*-       |                   ,  0.15,  0.88
 5,              bonr,15,  0.38,  0.14,          ---*----   |                   ,  0.15,  0.88
 5,        progressive,9,  0.38,  0.15,          ---*-----  |                   ,  0.15,  0.88
 5,       SimAnnealing,9,  0.39,  0.11,          ---*--     |                   ,  0.15,  0.88
 6,               bonr,9,  0.41,  0.13,            ---*---  |                   ,  0.15,  0.88
 6,                 PI,9,  0.42,  0.07,             --*-    |                   ,  0.15,  0.88
 6,                 EI,9,  0.42,  0.07,             --*-    |                   ,  0.15,  0.88
 7,                UCB,9,  0.42,  0.07,             --*-    |                   ,  0.15,  0.88
 7,     ExpProgressive,9,  0.43,  0.13,          ------*-   |                   ,  0.15,  0.88
 8,             base,500,  0.58,  0.19,                   --|--*----            ,  0.15,  0.88
