rank, treatment, median, iqr, plot, min, max
 0,      SimAnnealing,40,  0.32,  0.08, *-----              |                   ,  0.32,  0.86
 0,               UCB,40,  0.35,  0.06, --*-                |                   ,  0.32,  0.86
 0,                PI,40,  0.35,  0.06, --*-                |                   ,  0.32,  0.86
 0,                EI,40,  0.35,  0.06, --*-                |                   ,  0.32,  0.86
 0,                b2,40,  0.37,  0.07,   -*---             |                   ,  0.32,  0.86
 0,              rand,40,  0.37,  0.03,   --*               |                   ,  0.32,  0.86
 0,      SimAnnealing,15,  0.40,  0.07,     --*---          |                   ,  0.32,  0.86
 1,                PI,15,  0.40,  0.08,     --*--           |                   ,  0.32,  0.86
 1,                EI,15,  0.40,  0.08,     --*--           |                   ,  0.32,  0.86
 1,               UCB,15,  0.40,  0.08,     --*--           |                   ,  0.32,  0.86
 1,    ExpProgressive,40,  0.40,  0.10,   ----*--           |                   ,  0.32,  0.86
 1,       progressive,40,  0.41,  0.10,   ----*--           |                   ,  0.32,  0.86
 1,              bonr,40,  0.41,  0.08,   ----*-            |                   ,  0.32,  0.86
 1,              rand,15,  0.41,  0.07,     ---*-           |                   ,  0.32,  0.86
 2,                b2,15,  0.42,  0.07,     ----*           |                   ,  0.32,  0.86
 2,                 EI,9,  0.43,  0.07,     ----*           |                   ,  0.32,  0.86
 2,                UCB,9,  0.43,  0.07,     ----*           |                   ,  0.32,  0.86
 2,                 PI,9,  0.43,  0.07,     ----*           |                   ,  0.32,  0.86
 3,                 b2,9,  0.44,  0.07,       ---*-         |                   ,  0.32,  0.86
 3,               rand,9,  0.45,  0.08,       ---*-         |                   ,  0.32,  0.86
 3,       progressive,15,  0.45,  0.07,     -----*          |                   ,  0.32,  0.86
 4,       SimAnnealing,9,  0.45,  0.06,        --*-         |                   ,  0.32,  0.86
 4,    ExpProgressive,15,  0.45,  0.04,        ---*         |                   ,  0.32,  0.86
 4,              bonr,15,  0.45,  0.02,          -*         |                   ,  0.32,  0.86
 4,     ExpProgressive,9,  0.46,  0.05,          -*--       |                   ,  0.32,  0.86
 4,        progressive,9,  0.46,  0.07,         --*--       |                   ,  0.32,  0.86
 4,               bonr,9,  0.46,  0.06,          -*--       |                   ,  0.32,  0.86
 5,             base,196,  0.53,  0.14,            ----*----|-                  ,  0.32,  0.86
