rank, treatment, median, iqr, plot, min, max
 0,              rand,40,  0.24,  0.13,  --*----            |                   ,  0.17,  0.93
 0,              bonr,40,  0.25,  0.22,  ---*-------        |                   ,  0.17,  0.93
 0,               UCB,40,  0.31,  0.09,     ---*-           |                   ,  0.17,  0.93
 0,      SimAnnealing,40,  0.31,  0.17,    ----*----        |                   ,  0.17,  0.93
 0,                PI,40,  0.31,  0.09,     ---*-           |                   ,  0.17,  0.93
 0,                EI,40,  0.31,  0.09,     ---*-           |                   ,  0.17,  0.93
 0,    ExpProgressive,40,  0.32,  0.21,  -------*---        |                   ,  0.17,  0.93
 0,                PI,15,  0.32,  0.10,     ----*           |                   ,  0.17,  0.93
 0,                EI,15,  0.32,  0.10,     ----*           |                   ,  0.17,  0.93
 0,       progressive,40,  0.32,  0.20,  -------*---        |                   ,  0.17,  0.93
 0,               UCB,15,  0.32,  0.10,     ----*           |                   ,  0.17,  0.93
 0,                b2,40,  0.33,  0.15,     ----*---        |                   ,  0.17,  0.93
 0,              rand,15,  0.33,  0.11,    -----*           |                   ,  0.17,  0.93
 1,               rand,9,  0.35,  0.09,        --*--        |                   ,  0.17,  0.93
 1,                 EI,9,  0.35,  0.08,         -*--        |                   ,  0.17,  0.93
 1,                UCB,9,  0.35,  0.08,         -*--        |                   ,  0.17,  0.93
 1,                 PI,9,  0.35,  0.08,         -*--        |                   ,  0.17,  0.93
 1,                b2,15,  0.35,  0.11,        --*--        |                   ,  0.17,  0.93
 1,      SimAnnealing,15,  0.37,  0.15,     ------*-        |                   ,  0.17,  0.93
 1,    ExpProgressive,15,  0.37,  0.15,      -----*--       |                   ,  0.17,  0.93
 1,       progressive,15,  0.38,  0.11,        ----*-       |                   ,  0.17,  0.93
 1,              bonr,15,  0.38,  0.16,     -------*-       |                   ,  0.17,  0.93
 1,                 b2,9,  0.38,  0.09,         ---*        |                   ,  0.17,  0.93
 1,       SimAnnealing,9,  0.39,  0.06,          --*        |                   ,  0.17,  0.93
 1,        progressive,9,  0.39,  0.07,          --*-       |                   ,  0.17,  0.93
 1,     ExpProgressive,9,  0.39,  0.07,          --*-       |                   ,  0.17,  0.93
 1,               bonr,9,  0.39,  0.07,          --*-       |                   ,  0.17,  0.93
 2,             base,398,  0.55,  0.20,              -------*---                ,  0.17,  0.93
