rank, treatment, median, iqr, plot, min, max
 0,      SimAnnealing,40,  0.07,  0.01, *                   |                   ,  0.07,  0.90
 1,    ExpProgressive,40,  0.10,  0.09, -*--                |                   ,  0.07,  0.90
 1,              bonr,40,  0.10,  0.09, -*--                |                   ,  0.07,  0.90
 2,      SimAnnealing,15,  0.12,  0.14, --*----             |                   ,  0.07,  0.90
 2,                b2,40,  0.15,  0.09, ----*               |                   ,  0.07,  0.90
 2,       progressive,40,  0.15,  0.13, ----*-              |                   ,  0.07,  0.90
 2,              rand,40,  0.18,  0.15, -----*-             |                   ,  0.07,  0.90
 2,               UCB,40,  0.18,  0.13, -----*              |                   ,  0.07,  0.90
 3,                PI,40,  0.18,  0.13, -----*              |                   ,  0.07,  0.90
 3,                EI,40,  0.18,  0.13, -----*              |                   ,  0.07,  0.90
 4,    ExpProgressive,15,  0.22,  0.05,       -*            |                   ,  0.07,  0.90
 5,                b2,15,  0.23,  0.08,      --*-           |                   ,  0.07,  0.90
 5,              rand,15,  0.24,  0.05,        -*           |                   ,  0.07,  0.90
 5,                PI,15,  0.24,  0.07,      ---*           |                   ,  0.07,  0.90
 6,                EI,15,  0.24,  0.07,      ---*           |                   ,  0.07,  0.90
 6,       progressive,15,  0.24,  0.06,        -*           |                   ,  0.07,  0.90
 6,               UCB,15,  0.24,  0.07,      ---*           |                   ,  0.07,  0.90
 6,              bonr,15,  0.24,  0.08,       --*-          |                   ,  0.07,  0.90
 6,                 EI,9,  0.24,  0.20,   ------*---        |                   ,  0.07,  0.90
 6,                UCB,9,  0.24,  0.20,   ------*---        |                   ,  0.07,  0.90
 6,                 PI,9,  0.24,  0.20,   ------*---        |                   ,  0.07,  0.90
 6,       SimAnnealing,9,  0.24,  0.06,        -*-          |                   ,  0.07,  0.90
 6,     ExpProgressive,9,  0.24,  0.07,        -*--         |                   ,  0.07,  0.90
 6,                 b2,9,  0.24,  0.07,       --*-          |                   ,  0.07,  0.90
 6,               bonr,9,  0.25,  0.10,       --*--         |                   ,  0.07,  0.90
 6,        progressive,9,  0.25,  0.05,         *-          |                   ,  0.07,  0.90
 7,               rand,9,  0.27,  0.12,        --*---       |                   ,  0.07,  0.90
 8,             base,500,  0.52,  0.22,                 ----|*----              ,  0.07,  0.90
