Method            rank  frequency  labels-mu  labels-sigma
#
 uncertain        0     48         39         10
 uncertain        1     34         38         11
 uncertain        2     9          40         5
 uncertain        3     4          25         26
 uncertain        4     2          9          5
#
 EI               0     55         37         13
 EI               1     25         38         12
 EI               2     9          40         5
 EI               3     9          34         17
#
 ExpProgressive   0     46         38         12
 ExpProgressive   1     34         36         14
 ExpProgressive   2     6          40         5
 ExpProgressive   3     9          17         20
 ExpProgressive   4     2          40         5
#
 PI               0     58         37         13
 PI               1     23         38         12
 PI               2     11         40         5
 PI               3     6          40         5
#
 progressive      0     55         39         10
 progressive      1     25         37         14
 progressive      2     6          40         5
 progressive      3     11         28         21
#
 rand             0     58         40         5
 rand             1     27         31         18
 rand             2     11         40         5
 rand             3     2          40         5
#
 UCB              0     60         37         13
 UCB              1     23         40         5
 UCB              2     13         40         5
 UCB              3     2          40         5
#
 b2               0     51         37         13
 b2               1     27         31         18
 b2               2     9          40         5
 b2               3     9          25         22
 b2               4     2          9          5
#
 base             2     2          2866       5
 base             3     18         3214       2958
 base             4     44         5995       14672
 base             5     23         11742      26374
 base             6     4          5047       7009
 base             7     2          192        5
 base             8     4          348        219
#
 SimAnnealing     0     69         37         13
 SimAnnealing     1     20         34         16
 SimAnnealing     2     4          28         22
 SimAnnealing     3     2          15         5
 SimAnnealing     4     2          40         5
