rank, treatment, median, iqr, plot, min, max
 0,       progressive,40,  0.00,  0.01, *                   |                   ,  0.00,  1.00
 0,                b2,40,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 0,      SimAnnealing,40,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 1,    ExpProgressive,40,  0.00,  0.01, *                   |                   ,  0.00,  1.00
 1,              bonr,40,  0.00,  0.01, *                   |                   ,  0.00,  1.00
 1,              rand,40,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,               UCB,40,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,                PI,40,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 1,                EI,40,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 2,                b2,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 3,      SimAnnealing,15,  0.01,  0.02, *                   |                   ,  0.00,  1.00
 3,              rand,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 3,                PI,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 3,                EI,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 3,               UCB,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 3,               rand,9,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 3,       SimAnnealing,9,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 3,              bonr,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 3,       progressive,15,  0.01,  0.01, *                   |                   ,  0.00,  1.00
 3,    ExpProgressive,15,  0.02,  0.01, *                   |                   ,  0.00,  1.00
 4,               bonr,9,  0.02,  0.02, *                   |                   ,  0.00,  1.00
 4,                 b2,9,  0.02,  0.02, *                   |                   ,  0.00,  1.00
 4,        progressive,9,  0.02,  0.01, *                   |                   ,  0.00,  1.00
 4,     ExpProgressive,9,  0.02,  0.01, *                   |                   ,  0.00,  1.00
 4,                 EI,9,  0.02,  0.01, *                   |                   ,  0.00,  1.00
 4,                UCB,9,  0.02,  0.01, *                   |                   ,  0.00,  1.00
 4,                 PI,9,  0.02,  0.01, *                   |                   ,  0.00,  1.00
 5,            base,3456,  0.05,  0.05,  *-                 |                   ,  0.00,  1.00
