rank, treatment, median, iqr, plot, min, max
 0,       progressive,40,  0.05,  0.06, *--                 |                   ,  0.04,  0.81
 0,                b2,40,  0.06,  0.00, *                   |                   ,  0.04,  0.81
 0,      SimAnnealing,40,  0.06,  0.06, *--                 |                   ,  0.04,  0.81
 0,              bonr,40,  0.06,  0.01, *                   |                   ,  0.04,  0.81
 0,              rand,40,  0.06,  0.01, *                   |                   ,  0.04,  0.81
 0,               UCB,40,  0.06,  0.01, *                   |                   ,  0.04,  0.81
 0,                PI,40,  0.06,  0.01, *                   |                   ,  0.04,  0.81
 0,                EI,40,  0.06,  0.01, *                   |                   ,  0.04,  0.81
 0,                b2,15,  0.06,  0.02, *                   |                   ,  0.04,  0.81
 0,    ExpProgressive,40,  0.06,  0.06, *--                 |                   ,  0.04,  0.81
 1,              bonr,15,  0.06,  0.06, *--                 |                   ,  0.04,  0.81
 1,                 b2,9,  0.07,  0.08, -*--                |                   ,  0.04,  0.81
 1,                PI,15,  0.07,  0.06, -*-                 |                   ,  0.04,  0.81
 1,                EI,15,  0.07,  0.06, -*-                 |                   ,  0.04,  0.81
 1,               UCB,15,  0.07,  0.06, -*-                 |                   ,  0.04,  0.81
 1,              rand,15,  0.07,  0.07, -*--                |                   ,  0.04,  0.81
 1,      SimAnnealing,15,  0.07,  0.08, -*--                |                   ,  0.04,  0.81
 2,               rand,9,  0.07,  0.10, -*---               |                   ,  0.04,  0.81
 2,               bonr,9,  0.07,  0.09, -*---               |                   ,  0.04,  0.81
 2,    ExpProgressive,15,  0.07,  0.09, -*---               |                   ,  0.04,  0.81
 2,     ExpProgressive,9,  0.07,  0.09, -*---               |                   ,  0.04,  0.81
 2,        progressive,9,  0.11,  0.10, ---*-               |                   ,  0.04,  0.81
 2,       progressive,15,  0.11,  0.09, ---*-               |                   ,  0.04,  0.81
 2,       SimAnnealing,9,  0.12,  0.10, ---*-               |                   ,  0.04,  0.81
 2,                 EI,9,  0.16,  0.12,  ----*-             |                   ,  0.04,  0.81
 2,                UCB,9,  0.16,  0.12,  ----*-             |                   ,  0.04,  0.81
 2,                 PI,9,  0.16,  0.12,  ----*-             |                   ,  0.04,  0.81
 3,            base,2736,  0.44,  0.36,        -------------*-----              ,  0.04,  0.81
