rank, treatment, median, iqr, plot, min, max
 0,    ExpProgressive,40,  0.17,  0.07,   -*---             |                   ,  0.12,  0.71
 0,       progressive,40,  0.17,  0.02,   -*                |                   ,  0.12,  0.71
 0,                b2,40,  0.17,  0.02,    *                |                   ,  0.12,  0.71
 0,      SimAnnealing,40,  0.18,  0.02,   -*                |                   ,  0.12,  0.71
 0,              rand,40,  0.18,  0.01,    *                |                   ,  0.12,  0.71
 0,              bonr,40,  0.18,  0.01,    -*               |                   ,  0.12,  0.71
 0,               UCB,40,  0.18,  0.01,    -*               |                   ,  0.12,  0.71
 0,                PI,40,  0.18,  0.01,    -*               |                   ,  0.12,  0.71
 0,                EI,40,  0.18,  0.01,    -*               |                   ,  0.12,  0.71
 0,      SimAnnealing,15,  0.19,  0.03,    -*               |                   ,  0.12,  0.71
 1,              bonr,15,  0.19,  0.03,     *-              |                   ,  0.12,  0.71
 1,              rand,15,  0.19,  0.06,     -*--            |                   ,  0.12,  0.71
 1,                PI,15,  0.19,  0.02,     -*              |                   ,  0.12,  0.71
 1,                EI,15,  0.19,  0.02,     -*              |                   ,  0.12,  0.71
 1,               UCB,15,  0.19,  0.02,     -*              |                   ,  0.12,  0.71
 1,               bonr,9,  0.19,  0.02,     -*              |                   ,  0.12,  0.71
 1,       progressive,15,  0.19,  0.08,     -*---           |                   ,  0.12,  0.71
 1,       SimAnnealing,9,  0.19,  0.06,     -*---           |                   ,  0.12,  0.71
 1,                b2,15,  0.20,  0.07,    --*--            |                   ,  0.12,  0.71
 2,               rand,9,  0.20,  0.06,     -*--            |                   ,  0.12,  0.71
 2,        progressive,9,  0.20,  0.08,     -*---           |                   ,  0.12,  0.71
 2,    ExpProgressive,15,  0.21,  0.07,      -*--           |                   ,  0.12,  0.71
 2,                 b2,9,  0.21,  0.08,     --*--           |                   ,  0.12,  0.71
 2,                 EI,9,  0.22,  0.07,     --*--           |                   ,  0.12,  0.71
 2,                UCB,9,  0.22,  0.07,     --*--           |                   ,  0.12,  0.71
 2,                 PI,9,  0.22,  0.07,     --*--           |                   ,  0.12,  0.71
 2,     ExpProgressive,9,  0.23,  0.07,      --*-           |                   ,  0.12,  0.71
 3,            base,3008,  0.41,  0.24,           ----------*-----              ,  0.12,  0.71
