rank, treatment, median, iqr, plot, min, max
 0,              rand,40,  0.04,  0.01, *                   |                   ,  0.03,  0.73
 1,               UCB,40,  0.04,  0.01, *                   |                   ,  0.03,  0.73
 1,                PI,40,  0.04,  0.01, *                   |                   ,  0.03,  0.73
 1,                EI,40,  0.04,  0.01, *                   |                   ,  0.03,  0.73
 1,       progressive,40,  0.04,  0.03, *                   |                   ,  0.03,  0.73
 2,              bonr,40,  0.04,  0.04, *-                  |                   ,  0.03,  0.73
 2,      SimAnnealing,40,  0.05,  0.03, *-                  |                   ,  0.03,  0.73
 2,                b2,40,  0.05,  0.02, -*                  |                   ,  0.03,  0.73
 2,              rand,15,  0.05,  0.02, -*                  |                   ,  0.03,  0.73
 3,              bonr,15,  0.06,  0.04, -*-                 |                   ,  0.03,  0.73
 3,                PI,15,  0.06,  0.04,  *-                 |                   ,  0.03,  0.73
 3,                EI,15,  0.06,  0.04,  *-                 |                   ,  0.03,  0.73
 3,               UCB,15,  0.06,  0.04,  *-                 |                   ,  0.03,  0.73
 3,    ExpProgressive,40,  0.06,  0.03, -*                  |                   ,  0.03,  0.73
 3,      SimAnnealing,15,  0.06,  0.04, -*                  |                   ,  0.03,  0.73
 3,                 EI,9,  0.06,  0.04, -*                  |                   ,  0.03,  0.73
 3,                UCB,9,  0.06,  0.04, -*                  |                   ,  0.03,  0.73
 3,                 PI,9,  0.06,  0.04, -*                  |                   ,  0.03,  0.73
 3,               bonr,9,  0.07,  0.04, --*                 |                   ,  0.03,  0.73
 3,       progressive,15,  0.07,  0.04, --*                 |                   ,  0.03,  0.73
 3,               rand,9,  0.07,  0.04, --*                 |                   ,  0.03,  0.73
 3,                b2,15,  0.07,  0.04, --*                 |                   ,  0.03,  0.73
 3,    ExpProgressive,15,  0.07,  0.04,  -*                 |                   ,  0.03,  0.73
 3,        progressive,9,  0.08,  0.05, --*                 |                   ,  0.03,  0.73
 3,     ExpProgressive,9,  0.08,  0.08,  -*--               |                   ,  0.03,  0.73
 3,       SimAnnealing,9,  0.08,  0.06, --*                 |                   ,  0.03,  0.73
 3,                 b2,9,  0.08,  0.02,   *                 |                   ,  0.03,  0.73
 4,            base,5184,  0.21,  0.38,    -------*---------|----               ,  0.03,  0.73
