rank, treatment, median, iqr, plot, min, max
 0,    ExpProgressive,40,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,      SimAnnealing,15,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,                PI,15,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,               rand,9,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,    ExpProgressive,15,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,               bonr,9,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,              rand,40,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,                b2,15,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,                 EI,9,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,               UCB,40,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,                UCB,9,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,                 PI,9,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,                EI,15,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,                b2,40,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,              rand,15,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,               UCB,15,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,      SimAnnealing,40,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,              bonr,15,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,     ExpProgressive,9,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,                PI,40,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,                EI,40,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,       SimAnnealing,9,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,              bonr,40,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 0,                 b2,9,  0.00,  0.00, *                   |                   ,  0.00,  0.98
 1,           base,10000,  0.86,  0.16,                     |       ------*     ,  0.00,  0.98
