rank, treatment, median, iqr, plot, min, max
 0,                b2,40,  0.06,  0.04,  -*                 |                   ,  0.01,  0.82
 0,       progressive,40,  0.07,  0.05,  -*                 |                   ,  0.01,  0.82
 1,    ExpProgressive,40,  0.07,  0.05,  --*                |                   ,  0.01,  0.82
 1,      SimAnnealing,40,  0.07,  0.06,   -*-               |                   ,  0.01,  0.82
 1,              bonr,40,  0.08,  0.05,   -*                |                   ,  0.01,  0.82
 1,               UCB,40,  0.09,  0.04,    -*               |                   ,  0.01,  0.82
 2,                PI,40,  0.09,  0.04,    -*               |                   ,  0.01,  0.82
 2,                EI,40,  0.09,  0.04,    -*               |                   ,  0.01,  0.82
 2,              rand,40,  0.10,  0.05,    -*-              |                   ,  0.01,  0.82
 2,                b2,15,  0.10,  0.05,    -*               |                   ,  0.01,  0.82
 3,                PI,15,  0.12,  0.06,     -*-             |                   ,  0.01,  0.82
 3,                EI,15,  0.12,  0.06,     -*-             |                   ,  0.01,  0.82
 3,               UCB,15,  0.12,  0.06,     -*-             |                   ,  0.01,  0.82
 3,                 b2,9,  0.13,  0.06,     -*-             |                   ,  0.01,  0.82
 3,       progressive,15,  0.13,  0.07,     --*             |                   ,  0.01,  0.82
 4,      SimAnnealing,15,  0.14,  0.05,      -*             |                   ,  0.01,  0.82
 4,                 EI,9,  0.14,  0.06,      -*-            |                   ,  0.01,  0.82
 4,                UCB,9,  0.14,  0.06,      -*-            |                   ,  0.01,  0.82
 4,                 PI,9,  0.14,  0.06,      -*-            |                   ,  0.01,  0.82
 4,    ExpProgressive,15,  0.14,  0.06,     --*             |                   ,  0.01,  0.82
 4,        progressive,9,  0.14,  0.04,       *-            |                   ,  0.01,  0.82
 4,              rand,15,  0.14,  0.06,     --*             |                   ,  0.01,  0.82
 4,              bonr,15,  0.14,  0.04,      -*             |                   ,  0.01,  0.82
 4,     ExpProgressive,9,  0.14,  0.06,       *-            |                   ,  0.01,  0.82
 5,               rand,9,  0.15,  0.05,       -*            |                   ,  0.01,  0.82
 5,       SimAnnealing,9,  0.15,  0.05,       -*            |                   ,  0.01,  0.82
 5,               bonr,9,  0.17,  0.06,       --*           |                   ,  0.01,  0.82
 6,           base,10000,  0.26,  0.12,          ---*--     |                   ,  0.01,  0.82
