rank, treatment, median, iqr, plot, min, max
 0,             rand,185,  0.00,  0.00, *                   |                   ,  0.00,  0.95
 1,                b2,15,  0.22,  0.19,   -------*          |                   ,  0.00,  0.95
 2,      SimAnnealing,15,  0.22,  0.25,   -------*--        |                   ,  0.00,  0.95
 2,                EI,15,  0.23,  0.15,      ----*--        |                   ,  0.00,  0.95
 2,                PI,15,  0.23,  0.15,      ----*--        |                   ,  0.00,  0.95
 3,               UCB,15,  0.23,  0.15,      ----*--        |                   ,  0.00,  0.95
 3,                 b2,9,  0.23,  0.22,    ------*--        |                   ,  0.00,  0.95
 3,              bonr,15,  0.23,  0.21,      ----*----      |                   ,  0.00,  0.95
 3,    ExpProgressive,15,  0.25,  0.17,        ---*----     |                   ,  0.00,  0.95
 3,       progressive,15,  0.25,  0.17,        ---*----     |                   ,  0.00,  0.95
 3,                 PI,9,  0.28,  0.14,        ----*-       |                   ,  0.00,  0.95
 3,                 EI,9,  0.28,  0.14,        ----*-       |                   ,  0.00,  0.95
 3,                UCB,9,  0.28,  0.14,        ----*-       |                   ,  0.00,  0.95
 4,       SimAnnealing,9,  0.31,  0.21,          ---*----   |                   ,  0.00,  0.95
 4,               bonr,9,  0.31,  0.17,          ---*---    |                   ,  0.00,  0.95
 4,        progressive,9,  0.35,  0.19,          -----*--   |                   ,  0.00,  0.95
 5,     ExpProgressive,9,  0.35,  0.19,          -----*--   |                   ,  0.00,  0.95
 6,               rand,9,  0.45,  0.00,                   * |                   ,  0.00,  0.95
 7,              rand,15,  0.45,  0.00,                   * |                   ,  0.00,  0.95
 8,             base,206,  0.56,  0.29,                  ---|--*-----           ,  0.00,  0.95
