rank, treatment, median, iqr, plot, min, max
 0,             rand_p90,  0.12,  0.00, *                   |                   ,  0.12,  0.84
 1,              b2_sqrt,  0.19,  0.10,   -*----            |                   ,  0.12,  0.84
 2,    SimAnnealing_sqrt,  0.19,  0.09,  --*--              |                   ,  0.12,  0.84
 2,                PI_15,  0.22,  0.08,   ---*-             |                   ,  0.12,  0.84
 2,               UCB_15,  0.22,  0.08,   ---*-             |                   ,  0.12,  0.84
 3,                b2_15,  0.24,  0.12,    ---*---          |                   ,  0.12,  0.84
 3,      SimAnnealing_15,  0.24,  0.11,   ----*-            |                   ,  0.12,  0.84
 3,              PI_sqrt,  0.24,  0.04,      -*             |                   ,  0.12,  0.84
 3,             UCB_sqrt,  0.24,  0.04,      -*             |                   ,  0.12,  0.84
 4,       SimAnnealing_9,  0.25,  0.13,    ----*---         |                   ,  0.12,  0.84
 4,                 PI_9,  0.27,  0.10,      ---*--         |                   ,  0.12,  0.84
 4,                UCB_9,  0.27,  0.10,      ---*--         |                   ,  0.12,  0.84
 4,  ExpProgressive_sqrt,  0.28,  0.13,    -----*--         |                   ,  0.12,  0.84
 4,    ExpProgressive_15,  0.28,  0.13,    -----*--         |                   ,  0.12,  0.84
 4,     progressive_sqrt,  0.28,  0.08,       --*--         |                   ,  0.12,  0.84
 4,                 b2_9,  0.29,  0.07,       ---*          |                   ,  0.12,  0.84
 4,        progressive_9,  0.29,  0.08,       ---*-         |                   ,  0.12,  0.84
 4,     ExpProgressive_9,  0.29,  0.08,       ---*-         |                   ,  0.12,  0.84
 4,               bonr_9,  0.30,  0.08,       ---*-         |                   ,  0.12,  0.84
 4,            bonr_sqrt,  0.30,  0.08,       ---*-         |                   ,  0.12,  0.84
 4,              bonr_15,  0.31,  0.08,       ----*         |                   ,  0.12,  0.84
 4,       progressive_15,  0.31,  0.08,       ----*         |                   ,  0.12,  0.84
 5,                 base,  0.37,  0.20,           ---*------|                   ,  0.12,  0.84
 6,            rand_sqrt,  0.70,  0.00,                     |           *       ,  0.12,  0.84
 7,               rand_9,  0.70,  0.00,                     |           *       ,  0.12,  0.84
 7,              rand_15,  0.70,  0.00,                     |           *       ,  0.12,  0.84
