rank, treatment, median, iqr, plot, min, max
 0,             rand_p90,  0.35,  0.00, *                   |                   ,  0.35,  0.88
 1,       progressive_15,  0.43,  0.05,    ---*-            |                   ,  0.35,  0.88
 2,     progressive_sqrt,  0.44,  0.05,    ---*-            |                   ,  0.35,  0.88
 2,                b2_15,  0.44,  0.10,  ------*-           |                   ,  0.35,  0.88
 2,      SimAnnealing_15,  0.45,  0.04,      --*            |                   ,  0.35,  0.88
 2,    SimAnnealing_sqrt,  0.45,  0.04,      --*            |                   ,  0.35,  0.88
 2,  ExpProgressive_sqrt,  0.45,  0.06,     ---*            |                   ,  0.35,  0.88
 2,    ExpProgressive_15,  0.45,  0.06,     ---*            |                   ,  0.35,  0.88
 2,              bonr_15,  0.45,  0.10,   -----*--          |                   ,  0.35,  0.88
 2,            bonr_sqrt,  0.45,  0.11,   -----*--          |                   ,  0.35,  0.88
 2,              b2_sqrt,  0.45,  0.10,  ------*            |                   ,  0.35,  0.88
 3,        progressive_9,  0.46,  0.06,     ----*           |                   ,  0.35,  0.88
 3,       SimAnnealing_9,  0.46,  0.09,      ---*---        |                   ,  0.35,  0.88
 3,                 b2_9,  0.46,  0.11,    -----*---        |                   ,  0.35,  0.88
 3,     ExpProgressive_9,  0.46,  0.05,      ---*           |                   ,  0.35,  0.88
 3,               bonr_9,  0.46,  0.09,      ---*---        |                   ,  0.35,  0.88
 4,                 base,  0.53,  0.16,           ----*-----|-                  ,  0.35,  0.88
 5,              rand_15,  0.70,  0.00,                     |     *             ,  0.35,  0.88
 6,               rand_9,  0.70,  0.00,                     |     *             ,  0.35,  0.88
 6,            rand_sqrt,  0.70,  0.00,                     |     *             ,  0.35,  0.88
