rank, treatment, median, iqr, plot, min, max
 0,             rand,233,  0.23,  0.00, *                   |                   ,  0.23,  0.97
 1,               rand,9,  0.31,  0.00,     *               |                   ,  0.23,  0.97
 2,              rand,17,  0.31,  0.00,     *               |                   ,  0.23,  0.97
 3,              rand,15,  0.31,  0.00,     *               |                   ,  0.23,  0.97
 3,       progressive,17,  0.38,  0.16,         *-------    |                   ,  0.23,  0.97
 3,                EI,17,  0.38,  0.15,     ----*---        |                   ,  0.23,  0.97
 3,                PI,17,  0.38,  0.15,     ----*---        |                   ,  0.23,  0.97
 3,               UCB,17,  0.38,  0.15,     ----*---        |                   ,  0.23,  0.97
 3,       progressive,15,  0.42,  0.16,         --*-----    |                   ,  0.23,  0.97
 4,      SimAnnealing,15,  0.42,  0.16,         --*-----    |                   ,  0.23,  0.97
 5,    ExpProgressive,17,  0.42,  0.16,         --*-----    |                   ,  0.23,  0.97
 5,                 PI,9,  0.42,  0.11,         --*--       |                   ,  0.23,  0.97
 6,    ExpProgressive,15,  0.42,  0.16,         --*-----    |                   ,  0.23,  0.97
 6,      SimAnnealing,17,  0.42,  0.16,         --*-----    |                   ,  0.23,  0.97
 6,                 EI,9,  0.42,  0.11,         --*--       |                   ,  0.23,  0.97
 6,                UCB,9,  0.42,  0.11,         --*--       |                   ,  0.23,  0.97
 6,              bonr,15,  0.42,  0.16,         --*-----    |                   ,  0.23,  0.97
 6,              bonr,17,  0.42,  0.16,         --*-----    |                   ,  0.23,  0.97
 6,                EI,15,  0.45,  0.17,     -------*-       |                   ,  0.23,  0.97
 6,                PI,15,  0.45,  0.17,     -------*-       |                   ,  0.23,  0.97
 6,               UCB,15,  0.45,  0.17,     -------*-       |                   ,  0.23,  0.97
 6,                b2,15,  0.45,  0.16,         ---*----    |                   ,  0.23,  0.97
 6,                b2,17,  0.45,  0.16,         ---*----    |                   ,  0.23,  0.97
 6,               bonr,9,  0.45,  0.22,         ---*--------|                   ,  0.23,  0.97
 6,                 b2,9,  0.46,  0.21,         ----*------ |                   ,  0.23,  0.97
 6,     ExpProgressive,9,  0.46,  0.24,         ----*-------|                   ,  0.23,  0.97
 7,       SimAnnealing,9,  0.46,  0.20,         ----*------ |                   ,  0.23,  0.97
 7,        progressive,9,  0.46,  0.22,         ----*-------|                   ,  0.23,  0.97
 8,             base,259,  0.72,  0.26,                     |-----*------       ,  0.23,  0.97
