rank, treatment, median, iqr, plot, min, max
 0,                EI,62,  0.06,  0.03, -*                  |                   ,  0.02,  1.00
 0,                PI,62,  0.06,  0.03, -*                  |                   ,  0.02,  1.00
 0,               UCB,62,  0.06,  0.03, -*                  |                   ,  0.02,  1.00
 0,                b2,62,  0.07,  0.06,  *-                 |                   ,  0.02,  1.00
 1,      SimAnnealing,62,  0.08,  0.20, --*------           |                   ,  0.02,  1.00
 1,                EI,15,  0.11,  0.14,  --*---             |                   ,  0.02,  1.00
 1,                PI,15,  0.11,  0.14,  --*---             |                   ,  0.02,  1.00
 1,               UCB,15,  0.11,  0.14,  --*---             |                   ,  0.02,  1.00
 1,                b2,15,  0.11,  0.44,  --*----------------|                   ,  0.02,  1.00
 1,                 PI,9,  0.12,  0.19,   -*-----           |                   ,  0.02,  1.00
 1,                 EI,9,  0.12,  0.19,   -*-----           |                   ,  0.02,  1.00
 1,                UCB,9,  0.12,  0.19,   -*-----           |                   ,  0.02,  1.00
 2,            rand,3456,  0.16,  0.00,      *              |                   ,  0.02,  1.00
 2,    ExpProgressive,62,  0.18,  0.33,  -----*-------      |                   ,  0.02,  1.00
 2,       progressive,62,  0.18,  0.33,  -----*-------      |                   ,  0.02,  1.00
 2,              bonr,62,  0.18,  0.24,  -----*----         |                   ,  0.02,  1.00
 2,      SimAnnealing,15,  0.21,  0.26,   -----*----        |                   ,  0.02,  1.00
 2,              bonr,15,  0.23,  0.25,    -----*----       |                   ,  0.02,  1.00
 3,       SimAnnealing,9,  0.24,  0.27,   -------*---       |                   ,  0.02,  1.00
 3,               bonr,9,  0.30,  0.38,        ----*--------|--                 ,  0.02,  1.00
 3,    ExpProgressive,15,  0.30,  0.38,        ----*--------|--                 ,  0.02,  1.00
 3,     ExpProgressive,9,  0.30,  0.37,         ---*--------|--                 ,  0.02,  1.00
 3,       progressive,15,  0.30,  0.38,        ----*--------|--                 ,  0.02,  1.00
 4,        progressive,9,  0.32,  0.37,         ----*-------|--                 ,  0.02,  1.00
 4,                 b2,9,  0.33,  0.35,         ----*-------|--                 ,  0.02,  1.00
 5,            base,3840,  0.59,  0.32,              -------|--*--              ,  0.02,  1.00
 6,              rand,62,  0.63,  0.00,                     |   *               ,  0.02,  1.00
 7,              rand,15,  0.63,  0.00,                     |   *               ,  0.02,  1.00
 8,               rand,9,  0.64,  0.00,                     |    *              ,  0.02,  1.00
