rank, treatment, median, iqr, plot, min, max
 0,             rand_p90,  0.02,  0.00, *                   |                   ,  0.01,  0.90
 1,    SimAnnealing_sqrt,  0.13,  0.22,  ----*-----         |                   ,  0.01,  0.90
 2,      SimAnnealing_15,  0.19,  0.19,     ----*----       |                   ,  0.01,  0.90
 2,            bonr_sqrt,  0.19,  0.30,    -----*--------   |                   ,  0.01,  0.90
 2,       SimAnnealing_9,  0.24,  0.26,      -----*------   |                   ,  0.01,  0.90
 2,  ExpProgressive_sqrt,  0.32,  0.16,        ------*      |                   ,  0.01,  0.90
 3,     progressive_sqrt,  0.32,  0.15,         -----*      |                   ,  0.01,  0.90
 3,       progressive_15,  0.33,  0.14,            ---*--   |                   ,  0.01,  0.90
 3,              bonr_15,  0.33,  0.24,        -------*---  |                   ,  0.01,  0.90
 3,    ExpProgressive_15,  0.35,  0.10,              --*-   |                   ,  0.01,  0.90
 3,        progressive_9,  0.35,  0.16,            ----*--  |                   ,  0.01,  0.90
 3,     ExpProgressive_9,  0.37,  0.13,              ---*-  |                   ,  0.01,  0.90
 3,               bonr_9,  0.40,  0.17,            ------*- |                   ,  0.01,  0.90
 4,                 base,  0.53,  0.25,                  ---|--*----            ,  0.01,  0.90
 5,            rand_sqrt,  0.65,  0.00,                     |       *           ,  0.01,  0.90
 6,              rand_15,  0.66,  0.00,                     |        *          ,  0.01,  0.90
 7,               rand_9,  0.66,  0.00,                     |        *          ,  0.01,  0.90
