UCB,40 0.35363350944472116 0.30968620136271047 0.2633803668649842 0.2906906078495004 0.33626495482962104 0.2979028652139909 0.3144551533306348 0.267875997847462 0.2851886783112359 0.3942076295021937 0.2560237452982694 0.21597797258377485 0.2896218018863642 0.22669487957143342 0.1505077361787573 0.3043326481170523 0.35745235558200117 0.3517491040822448 0.4059994995782233 0.33681122460244634

progressive,40 0.3180376960650818 0.181535922873067 0.2288757776696927 0.24773225136137034 0.29835504805610713 0.23363408888041756 0.2856714797807831 0.16539855787159036 0.2568345180400285 0.1598197523812213 0.3150421869732119 0.30707342498611034 0.3018409529034531 0.2687712578297472 0.181535922873067 0.23869618244985982 0.16424790015702226 0.25672670018187677 0.31242404139665475 0.24604010692841083

progressive,9 0.44581819389815563 0.18098134322614118 0.42529319728120585 0.43302209169781875 0.45522193422881757 0.445359267125528 0.44502466664112394 0.31275290693361507 0.42125638900796375 0.49087846756140807 0.4028248642695581 0.432958078568993 0.3726008946504897 0.4581155335173388 0.181535922873067 0.41785786686522264 0.431929246086611 0.3485847460099271 0.3125211756170586 0.3762135183130347

b2,9 0.32741720855474055 0.3849877455225874 0.3380058858867283 0.31852839579031667 0.26484420075257586 0.3761769237577282 0.3512686907816262 0.31275290693361507 0.40591113056072814 0.49087846756140807 0.3884726557962337 0.3731007370570848 0.3726008946504897 0.37822032696845226 0.3360349824655209 0.2583740307073276 0.23344139554161947 0.3485847460099271 0.3850432369618666 0.344715959216486

b2,15 0.32741720855474055 0.3010746797070021 0.3380058858867283 0.2991236107624614 0.26484420075257586 0.3116865767341513 0.3512686907816262 0.2948375385392586 0.3403248499633105 0.3053181504172372 0.3154007353286148 0.2956231872163872 0.21450208446451907 0.2734401559927688 0.3443483273692656 0.2583740307073276 0.23344139554161947 0.3321034660091657 0.33924040693143326 0.344715959216486

EI,15 0.35363350944472116 0.3107766063508593 0.31415429565600017 0.2783709328359707 0.3188778130400444 0.3660242132603887 0.372857813893731 0.33952999879712953 0.3396798113694009 0.43999238320250533 0.35114323864504604 0.2780381332527162 0.3585458634447345 0.37447698722270495 0.40658520006687165 0.34562846576040007 0.30720390218337673 0.38520846061694625 0.37434740898754626 0.3062655468969368

PI,15 0.35363350944472116 0.3107766063508593 0.31415429565600017 0.2783709328359707 0.3188778130400444 0.3660242132603887 0.372857813893731 0.33952999879712953 0.3396798113694009 0.43999238320250533 0.35114323864504604 0.2780381332527162 0.3585458634447345 0.37447698722270495 0.40658520006687165 0.34562846576040007 0.30720390218337673 0.38520846061694625 0.37434740898754626 0.3062655468969368

SimAnnealing,15 0.3652606978704833 0.32498888743477994 0.30384087245451025 0.3229670727421202 0.35012005690001136 0.26091538253498764 0.3704489865255934 0.31275290693361507 0.35028191624982097 0.3046195256884054 0.29145780116353387 0.3895654732340602 0.3441966547519262 0.4114655559843236 0.2897807673709202 0.33924040693143326 0.41449238610284456 0.36454870535259926 0.3908933163640735 0.2793883786640224

bonr,9 0.44581819389815563 0.45134282085116356 0.38723492103448237 0.4470039463870537 0.44235652016062077 0.46631801184705046 0.48125502217819033 0.27789604146158203 0.4090751272834137 0.49087846756140807 0.34014172580272 0.3403779531372304 0.3726008946504897 0.4581155335173388 0.181535922873067 0.3346840547585491 0.431929246086611 0.3485847460099271 0.3850432369618666 0.5016535326673104

PI,9 0.35363350944472116 0.39598061297314163 0.2527752243533167 0.38294219540768376 0.38114420142077127 0.41804767610744686 0.35618686671227123 0.4089825419880081 0.4539830152396907 0.23515837897034095 0.40827354599896654 0.36604261359654644 0.4110378322284549 0.4241738049101274 0.3790860085780281 0.3026926736524794 0.39629669621794056 0.3580042647426343 0.36165516966460637 0.39816595215030004

ExpProgressive,15 0.4237120045826845 0.2531898882195842 0.37675157217116684 0.3704489865255934 0.34601115288540885 0.37362057786356634 0.29901663450526034 0.27789604146158203 0.33816048036095386 0.3369728582699921 0.27953890233996603 0.40101256739293084 0.3726008946504897 0.33760563837227564 0.181535922873067 0.41785786686522264 0.1505077361787573 0.3354974576068525 0.40852932265727027 0.3762135183130347

rand,40 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872

bonr,40 0.33800703038666075 0.2801179614347848 0.3091330912215281 0.19998736417077992 0.2532088481821129 0.32379650115653674 0.3052085531429152 0.24108211044367156 0.2285169489769063 0.192809760965186 0.25954364741748537 0.18241090589368625 0.2679645471129733 0.26842845712551383 0.181535922873067 0.31249334312622956 0.21015771220716228 0.2973136611437347 0.3054425661752287 0.192809760965186

ExpProgressive,9 0.44581819389815563 0.18098134322614118 0.42529319728120585 0.43302209169781875 0.45522193422881757 0.445359267125528 0.44502466664112394 0.31275290693361507 0.42125638900796375 0.49087846756140807 0.4028248642695581 0.432958078568993 0.3726008946504897 0.4581155335173388 0.181535922873067 0.41785786686522264 0.431929246086611 0.3485847460099271 0.3125211756170586 0.3762135183130347

rand,9 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872 0.08886456199068872

UCB,15 0.35363350944472116 0.3107766063508593 0.31415429565600017 0.2783709328359707 0.3188778130400444 0.3660242132603887 0.372857813893731 0.33952999879712953 0.3396798113694009 0.43999238320250533 0.35114323864504604 0.2780381332527162 0.3585458634447345 0.37447698722270495 0.40658520006687165 0.34562846576040007 0.30720390218337673 0.38520846061694625 0.37434740898754626 0.3062655468969368

progressive,15 0.4237120045826845 0.2531898882195842 0.33201606924979216 0.33944991752287024 0.4285258855417877 0.37362057786356634 0.3204606711863571 0.2645629514598602 0.3374343564058864 0.3557084714238135 0.27953890233996603 0.40101256739293084 0.3726008946504897 0.33760563837227564 0.181535922873067 0.41785786686522264 0.1505077361787573 0.3354974576068525 0.39751166415736666 0.3762135183130347

b2,40 0.30759475275012566 0.22062373974933175 0.26902537270502386 0.2839190492583426 0.26484420075257586 0.26008853583285885 0.35094115153357663 0.16424790015702226 0.14652688709525186 0.1820163563195738 0.2185847363628419 0.2733818935879156 0.2121535755270175 0.181535922873067 0.27254904972296246 0.2285169489769063 0.19432927234471548 0.1505090637804401 0.2640429463116998 0.344715959216486

EI,9 0.35363350944472116 0.39598061297314163 0.2527752243533167 0.38294219540768376 0.38114420142077127 0.41804767610744686 0.35618686671227123 0.4089825419880081 0.4539830152396907 0.23515837897034095 0.40827354599896654 0.36604261359654644 0.4110378322284549 0.4241738049101274 0.3790860085780281 0.3026926736524794 0.39629669621794056 0.3580042647426343 0.36165516966460637 0.39816595215030004

