UCB,40 0.24072428327051465 0.22407160857516426 0.195089108362158 0.23598391862292137 0.3821097154500561 0.2605616920390364 0.21021231395948675 0.22313776770403979 0.22009666632767333 0.06928713982981352 0.22405970625101662 0.23115679254338053 0.2162407039517711 0.3898015268009471 0.2168325657677918 0.26600337396075174 0.3651831046514071 0.2378764607958585 0.22100152388308805 0.20949104832347892

progressive,40 0.1976417099874159 0.22577983517264885 0.19293234176759907 0.2024694144211022 0.31382229102638026 0.19032431390662458 0.20806190355357215 0.046091646280154094 0.2014888289535614 0.20648320410831328 0.002047028939434623 0.1215125615664651 0.1952916290325605 0.20713422150441174 0.19933394411734015 0.18027234141414175 0.32652477107561184 0.19446962441645965 0.2048180815815636 0.18522918408826128

progressive,9 0.2618484812164078 0.38871911368915235 0.3800524884646473 0.4397126206125155 0.4024849214336602 0.25346916135625064 0.4490998002822054 0.38855670546914256 0.25251543911955476 0.39469211226576983 0.1594161995543648 0.18522918408826128 0.4162827387809614 0.38720929027631923 0.22742555482541396 0.5196248722045801 0.43838311536274727 0.26009920898541483 0.2379604044105691 0.18522918408826128

b2,9 0.7033420654660058 0.38871911368915235 0.3800524884646473 0.18715873479150327 0.36904803114156326 0.18643077917726206 0.4235575264198873 0.23263426649525373 0.21684607637888131 0.3813537195828576 0.2328023772219519 0.3711332637339263 0.2221518157153285 0.39393127819847945 0.22742555482541396 0.5714231372407262 0.21248081673271071 0.23988452569103547 0.21159537443286225 0.37360561023872146

b2,15 0.691267769353955 0.3841964487769282 0.3800524884646473 0.18286339952606473 0.36904803114156326 0.18643077917726206 0.4137477817573127 0.19323132133507834 0.21535920194104138 0.37765962376072876 0.23320149716336375 0.3711332637339263 0.18908155390618941 0.21758497968377197 0.21850173634067765 0.4925783077855305 0.21248081673271071 0.2251212136112536 0.1979827713558557 0.33864211763049984

EI,15 0.41752290715614054 0.21539812883937912 0.37901620842168054 0.42493428113860715 0.41545565018981934 0.25808404351762043 0.23263792548320258 0.37246762040365716 0.22517541717668754 0.2192609387586597 0.43604070428095437 0.43950069017077104 0.26374233185770685 0.42554550136547836 0.4120270074262364 0.06928713982981352 0.26695915502131695 0.2149526200437273 0.4328357255795819 0.4299750106111183

PI,15 0.41752290715614054 0.21539812883937912 0.37901620842168054 0.42493428113860715 0.41545565018981934 0.25808404351762043 0.23263792548320258 0.37246762040365716 0.22517541717668754 0.2192609387586597 0.43604070428095437 0.43950069017077104 0.26374233185770685 0.42554550136547836 0.4120270074262364 0.06928713982981352 0.26695915502131695 0.2149526200437273 0.4328357255795819 0.4299750106111183

SimAnnealing,15 0.002047028939434623 0.23933841083472224 0.06709760120167323 0.1215125615664651 0.06928713982981352 0.2525560052915316 0.2860422833291429 0.01934617207630028 0.061944759921236325 0.046091646280154094 0.1594161995543648 0.06460436044392924 0.054657039423193984 0.00435808686834835 0.07965098521686696 0.061944759921236325 0.041686595800282056 0.18956190625388813 0.030372236616408938 0.18522918408826128

bonr,9 0.2618484812164078 0.38871911368915235 0.3800524884646473 0.4397126206125155 0.4024849214336602 0.25346916135625064 0.4490998002822054 0.38855670546914256 0.25251543911955476 0.39469211226576983 0.1594161995543648 0.18522918408826128 0.4162827387809614 0.38720929027631923 0.22742555482541396 0.5714231372407262 0.43838311536274727 0.26009920898541483 0.2379604044105691 0.18522918408826128

PI,9 0.41752290715614054 0.18643077917726206 0.3914414372068863 0.32996446670244206 0.37851242082779957 0.36138640230666014 0.2618575756580056 0.22325200731100056 0.38110961966245205 0.41044011632925315 0.4072361671968217 0.36338550257094604 0.3895287782565185 0.3715744649085952 0.3912392746932832 0.3651692864327681 0.21185134432321195 0.42891708431014475 0.4480467402305664 0.42060064491506516

ExpProgressive,15 0.2618484812164078 0.38871911368915235 0.21643021363994186 0.22848619803294487 0.4024849214336602 0.25346916135625064 0.39343947158841264 0.38855670546914256 0.22567536179405828 0.3929846866472928 0.1594161995543648 0.18522918408826128 0.3951741435939877 0.3836943151313559 0.2094534686568359 0.271796274122084 0.43838311536274727 0.26009920898541483 0.2379604044105691 0.18522918408826128

rand,40 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886

bonr,40 0.20429253873395867 0.3631582999110925 0.19032431390662458 0.20073949465561428 0.06460436044392924 0.21611024973868706 0.19683120571658164 0.22059592534155972 0.1994474944984039 0.06621236230181234 0.1594161995543648 0.1594161995543648 0.23231391065928872 0.1937017821857218 0.20044659111815996 0.20323602920752143 0.3562274842029276 0.20496553422176178 0.002047028939434623 0.0462916333391628

ExpProgressive,9 0.2618484812164078 0.38871911368915235 0.3800524884646473 0.4397126206125155 0.4024849214336602 0.25346916135625064 0.4490998002822054 0.38855670546914256 0.25251543911955476 0.39469211226576983 0.1594161995543648 0.18522918408826128 0.4162827387809614 0.38720929027631923 0.22742555482541396 0.5196248722045801 0.43838311536274727 0.26009920898541483 0.2379604044105691 0.18522918408826128

rand,9 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886 0.028751398410940886

UCB,15 0.41752290715614054 0.21539812883937912 0.37901620842168054 0.42493428113860715 0.41545565018981934 0.25808404351762043 0.23263792548320258 0.37246762040365716 0.22517541717668754 0.2192609387586597 0.43604070428095437 0.43950069017077104 0.26374233185770685 0.42554550136547836 0.4120270074262364 0.06928713982981352 0.26695915502131695 0.2149526200437273 0.4328357255795819 0.4299750106111183

progressive,15 0.2618484812164078 0.38871911368915235 0.21643021363994186 0.22848619803294487 0.4024849214336602 0.25346916135625064 0.4490998002822054 0.38855670546914256 0.22567536179405828 0.3929846866472928 0.1594161995543648 0.18522918408826128 0.4162827387809614 0.3836943151313559 0.2094534686568359 0.271796274122084 0.43838311536274727 0.26009920898541483 0.2379604044105691 0.18522918408826128

b2,40 0.6552057783935897 0.18076993344233155 0.36385219343010855 0.18027234141414175 0.3298101283626047 0.18367454208091577 0.4016393945838653 0.19369758708933865 0.1765562547854101 0.33887279180169144 0.20071030143780283 0.2092623873979566 0.18908155390618941 0.19199526404199738 0.2032969024328252 0.35380502680098924 0.2024113937030012 0.21878961970430513 0.19231066771271918 0.33864211763049984

