UCB,40 0.3216062143047753 0.35266393508851945 0.31893558735463295 0.31893558735463295 0.30998225385304745 0.3070676349313442 0.19532716835654682 0.19339815732352836 0.19339815732352836 0.34385632337349503 0.25831625843393935 0.3565652333329847 0.27717746903880663 0.25394722064135844 0.19034346404804608 0.35266393508851945 0.16745989117220034 0.25394722064135844 0.34385632337349503 0.3039462724463959

progressive,40 0.19339815732352836 0.41236767459335455 0.3823217782648222 0.415410653764108 0.16745989117220034 0.4973858398906294 0.19339815732352836 0.25394722064135844 0.19339815732352836 0.5517059020833817 0.3216062143047753 0.3987424541225787 0.35328328444748114 0.19339815732352836 0.35177988622057615 0.19532716835654682 0.32909678259718966 0.24245318422143292 0.26800809420993554 0.2506941602784139

progressive,9 0.3241969946908646 0.41236767459335455 0.3823217782648222 0.415410653764108 0.19034346404804608 0.4973858398906294 0.25394722064135844 0.42355217087780644 0.31893558735463295 0.5517059020833817 0.383189629739045 0.3987424541225787 0.35328328444748114 0.38583077364562396 0.43446856730752076 0.34854013859025934 0.41358130896413414 0.24245318422143292 0.3866656733097692 0.40914049186187745

b2,9 0.3241969946908646 0.41236767459335455 0.3823217782648222 0.415410653764108 0.19034346404804608 0.4973858398906294 0.25394722064135844 0.42355217087780644 0.31893558735463295 0.4445960177619976 0.383189629739045 0.412764807162198 0.35328328444748114 0.38583077364562396 0.32558569104556884 0.32632981473563644 0.41358130896413414 0.24245318422143292 0.27717746903880663 0.40914049186187745

b2,15 0.3241969946908646 0.41236767459335455 0.3823217782648222 0.3070676349313442 0.19034346404804608 0.4973858398906294 0.25394722064135844 0.42355217087780644 0.31893558735463295 0.42838252453376957 0.383189629739045 0.412764807162198 0.35328328444748114 0.24245318422143292 0.32558569104556884 0.32632981473563644 0.41358130896413414 0.24245318422143292 0.27717746903880663 0.40914049186187745

EI,15 0.3216062143047753 0.38726315853906784 0.34854013859025934 0.3241969946908646 0.35511448019040326 0.3619809607775037 0.27717746903880663 0.25394722064135844 0.3216062143047753 0.3943597055048702 0.2506941602784139 0.35266393508851945 0.25968512058991117 0.30998225385304745 0.3039462724463959 0.25394722064135844 0.2506941602784139 0.35511448019040326 0.19034346404804608 0.41777357175538704

PI,15 0.3216062143047753 0.38726315853906784 0.34854013859025934 0.3241969946908646 0.35511448019040326 0.3619809607775037 0.27717746903880663 0.25394722064135844 0.3216062143047753 0.3943597055048702 0.2506941602784139 0.35266393508851945 0.25968512058991117 0.30998225385304745 0.3039462724463959 0.25394722064135844 0.2506941602784139 0.35511448019040326 0.19034346404804608 0.41777357175538704

SimAnnealing,15 0.3241969946908646 0.41236767459335455 0.3823217782648222 0.415410653764108 0.19034346404804608 0.4973858398906294 0.24245318422143292 0.25968512058991117 0.25394722064135844 0.5517059020833817 0.383189629739045 0.3987424541225787 0.35328328444748114 0.25831625843393935 0.43446856730752076 0.26800809420993554 0.16745989117220034 0.24245318422143292 0.36770788046948655 0.36770788046948655

bonr,9 0.3241969946908646 0.41236767459335455 0.3823217782648222 0.415410653764108 0.19532716835654682 0.4973858398906294 0.24245318422143292 0.42355217087780644 0.31893558735463295 0.5517059020833817 0.383189629739045 0.3987424541225787 0.35328328444748114 0.3823217782648222 0.43446856730752076 0.34854013859025934 0.38726315853906784 0.24245318422143292 0.38860932636767526 0.40914049186187745

PI,9 0.3241969946908646 0.32909678259718966 0.3295202426646991 0.38586786743136825 0.5385711009338165 0.32909678259718966 0.4027889230777539 0.41792953037332625 0.3070676349313442 0.3814812448786977 0.32632981473563644 0.19034346404804608 0.3495755905847796 0.19034346404804608 0.3241969946908646 0.37634715140635444 0.31893558735463295 0.4015216308946139 0.41792953037332625 0.3928490584886893

ExpProgressive,15 0.3241969946908646 0.41236767459335455 0.3823217782648222 0.415410653764108 0.19034346404804608 0.4973858398906294 0.25831625843393935 0.415410653764108 0.25394722064135844 0.5517059020833817 0.383189629739045 0.3987424541225787 0.35328328444748114 0.25831625843393935 0.4889941193145213 0.26800809420993554 0.35789250423303015 0.24245318422143292 0.36770788046948655 0.36770788046948655

