UCB,40 0.15876749340378965 0.24139679339453318 0.2103859411812012 0.23123061230671096 0.2599551285477879 0.19029163227118928 0.15876749340378965 0.269793396447828 0.21034993806161806 0.2478666968317029 0.2674545636685291 0.1756412640737773 0.2071169193072296 0.20996625183516282 0.18199771818408003 0.21788642471066327 0.26400803025573616 0.2361770342435017 0.17492346684770685 0.25116803109781954

progressive,40 0.15876749340378965 0.26603870124810014 0.18732838901520074 0.17492346684770685 0.15876749340378965 0.19480423889156137 0.19480423889156137 0.20484609836235976 0.18521002152456276 0.18521002152456276 0.2599551285477879 0.19480423889156137 0.2478666968317029 0.1799908731347301 0.20991057672969668 0.18521002152456276 0.2071169193072296 0.2510642722556402 0.24615884604270039 0.18521002152456276

progressive,9 0.15876749340378965 0.24139679339453318 0.3540844615399013 0.17492346684770685 0.2961203411597877 0.2103859411812012 0.23123061230671096 0.31197155925615294 0.18521002152456276 0.2754139216216115 0.256839933703979 0.18521002152456276 0.44152497991004597 0.43085016756405975 0.20991057672969668 0.18521002152456276 0.3878823623504494 0.2510642722556402 0.33479611905121587 0.3466064607984123

b2,9 0.256839933703979 0.3351945604094038 0.41647114581167577 0.17492346684770685 0.2961203411597877 0.2103859411812012 0.23123061230671096 0.337698050842024 0.29378870221227016 0.4215743410369245 0.3168657976289168 0.3016509086059265 0.3056313243083761 0.31540717464779766 0.337698050842024 0.3550938563029092 0.30659826273607804 0.3524785171544901 0.33479611905121587 0.30659826273607804

b2,15 0.15876749340378965 0.3351945604094038 0.31197155925615294 0.17492346684770685 0.2961203411597877 0.2103859411812012 0.23123061230671096 0.2478666968317029 0.21428109950023977 0.21034993806161806 0.20991057672969668 0.2633932801658759 0.3056313243083761 0.31540717464779766 0.30659826273607804 0.3550938563029092 0.30659826273607804 0.3126844230886076 0.19992446302368658 0.272771216276946

