UCB,40 0.2784550363319815 0.37780208208201255 0.422437348272755 0.4260293329482097 0.2784550363319815 0.42424737647332006 0.37087442047723324 0.4218326653107122 0.4192808187363223 0.42264342702515584 0.3624371895797083 0.38796436747962576 0.3963063937827175 0.3830516975793639 0.3812911682540727 0.37089994990472824 0.3529062769936336 0.3830516975793639 0.42071100476436984 0.3734615269265354

progressive,40 0.38796436747962576 0.4080876241010099 0.39382962213958184 0.4030173333214889 0.37087442047723324 0.4206896973670982 0.37780208208201255 0.4130172027574958 0.41183409255302933 0.38482268966440003 0.3866040007228169 0.3812911682540727 0.42615948071369253 0.39937060581379397 0.4030173333214889 0.4330016687067201 0.20320689066556571 0.4267697291667291 0.38359576426443853 0.39831155850722305

progressive,9 0.43472591486051826 0.43293524745073675 0.4055536628638914 0.4030173333214889 0.4379121068558985 0.4305244011654548 0.41827095317055646 0.42889019335557993 0.44841807915117987 0.42021503319709874 0.4377012568217524 0.4386712420737581 0.44997945327428895 0.39937060581379397 0.4330016687067201 0.4501879330099514 0.3626244904554157 0.4538797791211375 0.4351363326787953 0.4299095222551468

b2,9 0.43472591486051826 0.44736234565017 0.3812911682540727 0.3659089738260977 0.4441932884763088 0.4350026762120257 0.4260293329482097 0.42889019335557993 0.4441248096311367 0.37607382186524063 0.345267941762676 0.3743566176674157 0.4359007136737564 0.39937060581379397 0.41827095317055646 0.45011842056138895 0.37954124728534144 0.45139375387667635 0.4485626672025866 0.4229783947348468

b2,15 0.43472591486051826 0.44736234565017 0.3812911682540727 0.3659089738260977 0.43094186327690037 0.4350026762120257 0.4260293329482097 0.42889019335557993 0.4441248096311367 0.37607382186524063 0.345267941762676 0.3743566176674157 0.4359007136737564 0.39937060581379397 0.4144070183354064 0.45011842056138895 0.37954124728534144 0.4264970886128644 0.4485626672025866 0.4229783947348468

EI,15 0.42494136398834315 0.4099260052167077 0.4233781614774442 0.43293524745073675 0.43121674443769914 0.42500621317338244 0.4299095222551468 0.43224391317220284 0.41633491066664924 0.4306671168833245 0.4117720768920793 0.4067792610142765 0.4258221403722876 0.3920084369644682 0.41827095317055646 0.4318331053951221 0.42021503319709874 0.42115131001433975 0.44440597433546336 0.3920084369644682

PI,15 0.42494136398834315 0.4099260052167077 0.4233781614774442 0.43293524745073675 0.43121674443769914 0.42500621317338244 0.4299095222551468 0.43224391317220284 0.41633491066664924 0.4306671168833245 0.4117720768920793 0.4067792610142765 0.4258221403722876 0.3920084369644682 0.41827095317055646 0.4318331053951221 0.42021503319709874 0.42115131001433975 0.44440597433546336 0.3920084369644682

SimAnnealing,15 0.4306671168833245 0.43293524745073675 0.4055536628638914 0.4229783947348468 0.4304584427422862 0.37954124728534144 0.4260293329482097 0.42889019335557993 0.39382962213958184 0.42021503319709874 0.43922875122088684 0.3457126090752083 0.4332775880784994 0.38482268966440003 0.44658418021300017 0.4011497849794221 0.4246049490721343 0.44905371282134077 0.43846880935894433 0.4299095222551468

bonr,9 0.43472591486051826 0.4397867687541587 0.4055536628638914 0.4030173333214889 0.4379121068558985 0.42122879878578784 0.41827095317055646 0.42889019335557993 0.44841807915117987 0.42021503319709874 0.43922875122088684 0.4386712420737581 0.44997945327428895 0.39937060581379397 0.4451745949511944 0.43238390962476114 0.3626244904554157 0.37089994990472824 0.4284084776669413 0.4299095222551468

PI,9 0.42494136398834315 0.42500621317338244 0.4206896973670982 0.4296352654552232 0.43846880935894433 0.4417438058303123 0.43444928471562055 0.40489386678279726 0.4386037441651948 0.430118029430737 0.35960946967888385 0.43121674443769914 0.4327258821394855 0.42929541547561356 0.39058947968429475 0.43189932180848406 0.3961103836186875 0.4281350083859707 0.41679719123748477 0.40567483668665444

ExpProgressive,15 0.38796436747962576 0.43293524745073675 0.4055536628638914 0.4030173333214889 0.41827095317055646 0.4305244011654548 0.41827095317055646 0.42889019335557993 0.43916115492514124 0.42021503319709874 0.42725010777882627 0.4359007136737564 0.4379121068558985 0.39937060581379397 0.4306671168833245 0.4501879330099514 0.3626244904554157 0.4538797791211375 0.4284084776669413 0.4284740284376228

rand,40 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415

bonr,40 0.38796436747962576 0.40564919063545035 0.39382962213958184 0.3743566176674157 0.37087442047723324 0.3981657635448893 0.37780208208201255 0.4130172027574958 0.41183409255302933 0.38482268966440003 0.3012680864919049 0.3812911682540727 0.4195495134730964 0.39937060581379397 0.3812911682540727 0.40724114111437415 0.20320689066556571 0.37089994990472824 0.38359576426443853 0.39831155850722305

ExpProgressive,9 0.43472591486051826 0.43293524745073675 0.4055536628638914 0.4030173333214889 0.4379121068558985 0.4305244011654548 0.41827095317055646 0.42889019335557993 0.44841807915117987 0.42021503319709874 0.4377012568217524 0.4386712420737581 0.44997945327428895 0.39937060581379397 0.4330016687067201 0.4501879330099514 0.3626244904554157 0.4538797791211375 0.4351363326787953 0.4299095222551468

rand,9 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415 0.3913252272520415

UCB,15 0.42494136398834315 0.4099260052167077 0.4233781614774442 0.43293524745073675 0.43121674443769914 0.42500621317338244 0.4299095222551468 0.43224391317220284 0.41633491066664924 0.4306671168833245 0.4117720768920793 0.4067792610142765 0.4258221403722876 0.3920084369644682 0.41827095317055646 0.4318331053951221 0.42021503319709874 0.42115131001433975 0.44440597433546336 0.3920084369644682

progressive,15 0.38796436747962576 0.43293524745073675 0.4055536628638914 0.4030173333214889 0.41827095317055646 0.4305244011654548 0.41827095317055646 0.42889019335557993 0.43916115492514124 0.42021503319709874 0.4281350083859707 0.4386712420737581 0.4379121068558985 0.39937060581379397 0.4306671168833245 0.4501879330099514 0.3626244904554157 0.4538797791211375 0.4284084776669413 0.4284740284376228

b2,40 0.42622458710914984 0.4225016889083753 0.3626244904554157 0.3659089738260977 0.40573545983710074 0.4318331053951221 0.41057614294307637 0.42889019335557993 0.4441248096311367 0.37607382186524063 0.345267941762676 0.3743566176674157 0.4166019778482973 0.345267941762676 0.3743566176674157 0.41934448704197225 0.37954124728534144 0.4264970886128644 0.4312828368062353 0.40077337142254993

EI,9 0.42494136398834315 0.42500621317338244 0.4206896973670982 0.4296352654552232 0.43846880935894433 0.4417438058303123 0.43444928471562055 0.40489386678279726 0.4386037441651948 0.430118029430737 0.35960946967888385 0.43121674443769914 0.4327258821394855 0.42929541547561356 0.39058947968429475 0.43189932180848406 0.3961103836186875 0.4281350083859707 0.41679719123748477 0.40567483668665444

