ExpProgressive,40 0.3915810157618045 0.3482522082801707 0.40485955073549257 0.42471564247809135 0.4060542266639211 0.39754915852184186 0.44886024052416346 0.38435569791648977 0.4381613591108899 0.46453191791875453 0.4963552162903252 0.4507432247656647 0.3534006710681069 0.38435569791648977 0.3482522082801707 0.4863426400662091 0.3482522082801707 0.3482522082801707 0.42471564247809135 0.43323125089975617

SimAnnealing,15 0.3915810157618045 0.3482522082801707 0.40079210255235836 0.44750804325835974 0.44886024052416346 0.40485955073549257 0.47506936143148154 0.405608670201996 0.4550215006629207 0.45684852732534786 0.46092254917297065 0.4848950902222227 0.4513237231000749 0.4412970247361895 0.3482522082801707 0.512611113287679 0.36703078577231235 0.4060542266639211 0.45684852732534786 0.43323125089975617

PI,15 0.39754915852184186 0.3534006710681069 0.40079210255235836 0.43323125089975617 0.509175778334543 0.36703078577231235 0.4202161119317217 0.420691565681172 0.42471564247809135 0.40079210255235836 0.4762945188107024 0.4550215006629207 0.46070995666468245 0.3482522082801707 0.39754915852184186 0.38435569791648977 0.36703078577231235 0.4858083624976693 0.3915810157618045 0.39754915852184186

rand,9 0.46457481367963716 0.3482522082801707 0.4550215006629207 0.4762945188107024 0.44886024052416346 0.40485955073549257 0.45684852732534786 0.405608670201996 0.4550215006629207 0.43323125089975617 0.4202161119317217 0.5110748259818675 0.4833643652183553 0.44886024052416346 0.3482522082801707 0.512611113287679 0.40079210255235836 0.405608670201996 0.527081501219685 0.43323125089975617

ExpProgressive,15 0.44750804325835974 0.3482522082801707 0.4702548652592582 0.4762945188107024 0.44886024052416346 0.42471564247809135 0.44886024052416346 0.405608670201996 0.4550215006629207 0.46092254917297065 0.46092254917297065 0.4507432247656647 0.40485955073549257 0.40485955073549257 0.3482522082801707 0.512611113287679 0.3482522082801707 0.40079210255235836 0.46092254917297065 0.43323125089975617

bonr,9 0.46457481367963716 0.3482522082801707 0.40079210255235836 0.4762945188107024 0.5727661888994761 0.4507432247656647 0.4649385463679379 0.405608670201996 0.4550215006629207 0.44750804325835974 0.46092254917297065 0.5110748259818675 0.4381613591108899 0.46453191791875453 0.3482522082801707 0.647054582452405 0.40079210255235836 0.405608670201996 0.46092254917297065 0.43323125089975617

rand,40 0.3915810157618045 0.3482522082801707 0.39754915852184186 0.3534006710681069 0.3534006710681069 0.3534006710681069 0.45684852732534786 0.38435569791648977 0.38435569791648977 0.3915810157618045 0.40485955073549257 0.38435569791648977 0.39754915852184186 0.39754915852184186 0.3482522082801707 0.38435569791648977 0.36703078577231235 0.3534006710681069 0.405608670201996 0.36703078577231235

b2,15 0.46457481367963716 0.3482522082801707 0.44750804325835974 0.4762945188107024 0.38435569791648977 0.5174692377916336 0.4513237231000749 0.405608670201996 0.4550215006629207 0.43323125089975617 0.46092254917297065 0.46656712685187945 0.4863426400662091 0.46092254917297065 0.3482522082801707 0.4550215006629207 0.36703078577231235 0.40485955073549257 0.44750804325835974 0.43323125089975617

EI,9 0.39754915852184186 0.46656712685187945 0.48930171080493484 0.38435569791648977 0.45684852732534786 0.4637694780605735 0.44886024052416346 0.4513237231000749 0.45684852732534786 0.4060542266639211 0.4603036795921219 0.5240388498328138 0.36703078577231235 0.4202161119317217 0.4637694780605735 0.40485955073549257 0.4513237231000749 0.46453191791875453 0.46070995666468245 0.5110748259818675

progressive,9 0.46457481367963716 0.3482522082801707 0.40079210255235836 0.4762945188107024 0.5727661888994761 0.42471564247809135 0.4649385463679379 0.405608670201996 0.4550215006629207 0.45684852732534786 0.46092254917297065 0.4919954448209157 0.4381613591108899 0.46453191791875453 0.3482522082801707 0.647054582452405 0.3534006710681069 0.405608670201996 0.46092254917297065 0.43323125089975617

base,196 0.3482522082801707 0.3534006710681069 0.36703078577231235 0.38435569791648977 0.3915810157618045 0.39754915852184186 0.40079210255235836 0.40485955073549257 0.405608670201996 0.4060542266639211 0.41464190904005405 0.4202161119317217 0.420691565681172 0.42471564247809135 0.43323125089975617 0.4362983330054891 0.4381613591108899 0.4412970247361895 0.44378367243631417 0.44750804325835974 0.44886024052416346 0.4507432247656647 0.4513237231000749 0.4550215006629207 0.45684852732534786 0.4603036795921219 0.46070995666468245 0.46092254917297065 0.46278694480825155 0.4637694780605735 0.46453191791875453 0.46457481367963716 0.4649385463679379 0.46656712685187945 0.4687885535894645 0.4702548652592582 0.47064439006308084 0.4746429336564512 0.47506936143148154 0.4762945188107024 0.4797667742484102 0.48202946729302804 0.48226870087095225 0.4833643652183553 0.48390727777612574 0.4839885016297932 0.4848950902222227 0.4858083624976693 0.4863426400662091 0.48720995808056355 0.48930171080493484 0.4919954448209157 0.4961371993461109 0.4963552162903252 0.5047539266260109 0.5079081215134267 0.5091739329625959 0.509175778334543 0.5108257011542239 0.5110748259818675 0.51124092595886 0.512611113287679 0.5139484905264222 0.5169813600008595 0.5174692377916336 0.5176768446988977 0.5183944530483148 0.5184760465807859 0.5188602285953635 0.5196924498310306 0.519781214071041 0.5216628675848648 0.521823011367115 0.5223590276285064 0.5230642383107819 0.5232217785515418 0.5235418715479017 0.5240388498328138 0.5244937297968766 0.5245177141164166 0.5245735957416454 0.5251871167707192 0.5255555641504882 0.5257632883624767 0.5261677040094471 0.5263030848055927 0.527081501219685 0.5272230514946953 0.5288151584488592 0.5293548380062086 0.5304307685464954 0.5305373424669084 0.5306779675145515 0.5314725715774954 0.531474185737114 0.5316836646993842 0.5335485677312941 0.5339670998420556 0.5339935550117916 0.5344352275539658 0.5355903617495779 0.5360139322595878 0.5372271257352053 0.5400635013452519 0.5420735725209215 0.5424650652428165 0.5448873915734781 0.5476453197517468 0.5476557002951249 0.5499705573448501 0.55015738536288 0.5507283354607254 0.5520985649868084 0.5528980494011219 0.5553940011807946 0.556239650760158 0.5562716794437395 0.5576490390666304 0.5588874346200221 0.5665690157283094 0.57203955226665 0.5727661888994761 0.5743855507620085 0.5760049125684745 0.5771260092466574 0.5863854370281051 0.5920947255957398 0.5934026716465242 0.5935791405112679 0.5948040425047344 0.5957694310315954 0.5994441369105635 0.6053879842358979 0.6112606263526128 0.6115649150002908 0.6159816147811392 0.6207904251864128 0.6249323569097022 0.6251453433507427 0.6294885640565546 0.6314714271517741 0.6399286519658065 0.6412705480576386 0.6415002060743601 0.6428351229769677 0.644700980930425 0.647054582452405 0.64887463085468 0.6521631448592436 0.652804631323447 0.6547089121650893 0.6551968973476052 0.6554815866613521 0.6565262340945165 0.6575608853222153 0.6577602508218084 0.6609012628524334 0.6615144847861826 0.6633144680252819 0.6641835572892089 0.6642912749833347 0.671141715368332 0.6815635430992815 0.6934428970774223 0.6955927036557876 0.6957151938422125 0.6958366459763373 0.6962767802057745 0.6969037638727441 0.6974819590745915 0.6979200171997858 0.6979231313569473 0.6981006383220653 0.6982189762988517 0.6983300479083742 0.6995881674513189 0.7000231114187127 0.7017172129853887 0.7021500808460697 0.7022092498332592 0.702837271553739 0.7032888243603411 0.7036708276531332 0.7037071594887963 0.7046870809808566 0.7046870809864034 0.7047296411309187 0.705575653862862 0.7057676935604548 0.7059960650964257 0.7071067811922674 0.723584148663693 0.788507836450688 0.820078984287016 0.8721460288744081 0.877244537645816

UCB,40 0.39754915852184186 0.405608670201996 0.3534006710681069 0.405608670201996 0.3915810157618045 0.3915810157618045 0.4202161119317217 0.3482522082801707 0.39754915852184186 0.405608670201996 0.4202161119317217 0.3534006710681069 0.36703078577231235 0.3534006710681069 0.38435569791648977 0.3915810157618045 0.3534006710681069 0.40079210255235836 0.36703078577231235 0.3915810157618045

