rand,35 0.0 0.03333333333333333 0.0 0.0 0.016666666666666666 0.03333333333333333 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.03333333333333333 0.03333333333333333 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.03333333333333333 0.0 0.016666666666666666 0.016666666666666666 0.03333333333333333 0.016666666666666666

UCB_minus,50 0.0 0.0 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.06666666666666667 0.0 0.0 0.03333333333333333 0.0 0.0 0.0 0.0 0.0 0.016666666666666666 0.0 0.0 0.016666666666666666 0.0

EI,20 0.0 0.06666666666666667 0.0 0.03333333333333333 0.03333333333333333 0.0 0.016666666666666666 0.05 0.016666666666666666 0.03333333333333333 0.03333333333333333 0.05 0.016666666666666666 0.0 0.0 0.016666666666666666 0.0 0.03333333333333333 0.05 0.016666666666666666

ExpProgressive,35 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.016666666666666666 0.0 0.0 0.0 0.0 0.0 0.0 0.0

focus,60 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.016666666666666666 0.0 0.016666666666666666 0.0 0.0 0.0 0.0 0.0

bonr,60 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

EI,25 0.0 0.03333333333333333 0.0 0.03333333333333333 0.03333333333333333 0.03333333333333333 0.016666666666666666 0.0 0.0 0.016666666666666666 0.016666666666666666 0.0 0.0 0.03333333333333333 0.03333333333333333 0.05 0.016666666666666666 0.03333333333333333 0.05 0.016666666666666666

progressive,45 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

