PI,50 0.3340436419777277 0.3340436419777277 0.37770818548803936 0.4309353743608889 0.3340436419777277 0.3340436419777277 0.39147958309618697 0.3530381716077479 0.3340436419777277 0.41821186046824155 0.37770818548803936 0.38938701911556256 0.38938701911556256 0.38938701911556256 0.3530381716077479 0.3340436419777277 0.35135697995600684 0.3340436419777277 0.37770818548803936 0.40781820730939644

EI,25 0.4257248893533731 0.35135697995600684 0.39147958309618697 0.3340436419777277 0.37770818548803936 0.4278116589720758 0.41431724775011136 0.3530381716077479 0.4278116589720758 0.35135697995600684 0.3340436419777277 0.37770818548803936 0.40781820730939644 0.39147958309618697 0.4180935235632412 0.35135697995600684 0.4381677903842392 0.37770818548803936 0.41821186046824155 0.4278116589720758

UCB_minus,40 0.4257248893533731 0.4350877441709323 0.3340436419777277 0.41821186046824155 0.39147958309618697 0.37770818548803936 0.38938701911556256 0.3530381716077479 0.37770818548803936 0.4309353743608889 0.38938701911556256 0.3340436419777277 0.35135697995600684 0.3340436419777277 0.39147958309618697 0.38938701911556256 0.3340436419777277 0.38938701911556256 0.35135697995600684 0.38938701911556256

PI,10 0.4257248893533731 0.5595959765605885 0.4309353743608889 0.3530381716077479 0.4257248893533731 0.4257248893533731 0.39619430382780535 0.4456437393994079 0.4257248893533731 0.38938701911556256 0.45382663094968345 0.4716991532748779 0.3340436419777277 0.5000005369538446 0.4511219181104373 0.35135697995600684 0.38938701911556256 0.5208625605629623 0.41431724775011136 0.43515614436816086

rand,55 0.3340436419777277 0.35135697995600684 0.41431724775011136 0.3340436419777277 0.3340436419777277 0.3340436419777277 0.41821186046824155 0.35135697995600684 0.3530381716077479 0.37770818548803936 0.38938701911556256 0.38938701911556256 0.3530381716077479 0.3340436419777277 0.3530381716077479 0.35135697995600684 0.35135697995600684 0.3340436419777277 0.41821186046824155 0.35135697995600684

UCB_plus,50 0.3340436419777277 0.3340436419777277 0.37770818548803936 0.4309353743608889 0.3340436419777277 0.3340436419777277 0.39147958309618697 0.3530381716077479 0.3340436419777277 0.41821186046824155 0.37770818548803936 0.38938701911556256 0.38938701911556256 0.38938701911556256 0.3530381716077479 0.3340436419777277 0.35135697995600684 0.3340436419777277 0.37770818548803936 0.40781820730939644

b2,10 0.47093358474716607 0.3530381716077479 0.4381677903842392 0.4502192231144678 0.40781820730939644 0.5334658760725258 0.4433311775223356 0.4456437393994079 0.4547484867462058 0.4309353743608889 0.4350877441709323 0.4620269596269352 0.471690130092931 0.43515614436816086 0.3530381716077479 0.471690130092931 0.4180935235632412 0.4456437393994079 0.49280699652739335 0.4512162617317901

progressive,10 0.4350877441709323 0.3530381716077479 0.4180935235632412 0.46594661530822784 0.5644480332352494 0.41431724775011136 0.4381677903842392 0.4456437393994079 0.4547484867462058 0.3340436419777277 0.4350877441709323 0.49867321735739273 0.4278116589720758 0.47081381721121374 0.3530381716077479 0.49343058023315467 0.3340436419777277 0.5033477557141054 0.534081258716336 0.4512162617317901

UCB_plus,20 0.4257248893533731 0.37770818548803936 0.4433311775223356 0.3340436419777277 0.3530381716077479 0.35135697995600684 0.37770818548803936 0.4581572763411173 0.44262524772823847 0.3530381716077479 0.4257248893533731 0.46594661530822784 0.3340436419777277 0.3530381716077479 0.38938701911556256 0.4257248893533731 0.3530381716077479 0.3530381716077479 0.40781820730939644 0.3340436419777277

b2,45 0.3340436419777277 0.3530381716077479 0.4180935235632412 0.41431724775011136 0.37770818548803936 0.3340436419777277 0.4381677903842392 0.3530381716077479 0.41821186046824155 0.35135697995600684 0.3530381716077479 0.4278116589720758 0.471690130092931 0.4278116589720758 0.3530381716077479 0.4350877441709323 0.3340436419777277 0.4278116589720758 0.41821186046824155 0.4309353743608889

PI,45 0.3340436419777277 0.3340436419777277 0.35135697995600684 0.39147958309618697 0.35135697995600684 0.3340436419777277 0.35135697995600684 0.3340436419777277 0.37770818548803936 0.3340436419777277 0.3530381716077479 0.35135697995600684 0.35135697995600684 0.37770818548803936 0.40781820730939644 0.37770818548803936 0.35135697995600684 0.3340436419777277 0.35135697995600684 0.3340436419777277

progressive,20 0.4350877441709323 0.3530381716077479 0.39147958309618697 0.46594661530822784 0.4526470286993124 0.41431724775011136 0.4350877441709323 0.39147958309618697 0.4547484867462058 0.3340436419777277 0.4350877441709323 0.49867321735739273 0.37770818548803936 0.41431724775011136 0.3530381716077479 0.49343058023315467 0.3340436419777277 0.4180935235632412 0.5268505111466267 0.4512162617317901

focus,10 0.39147958309618697 0.3530381716077479 0.4180935235632412 0.4309353743608889 0.5644480332352494 0.4278116589720758 0.45382663094968345 0.4456437393994079 0.4547484867462058 0.4433311775223356 0.4350877441709323 0.49867321735739273 0.4433311775223356 0.4309353743608889 0.3530381716077479 0.49343058023315467 0.35135697995600684 0.4309353743608889 0.5334658760725258 0.4512162617317901

rand,40 0.39147958309618697 0.3530381716077479 0.41431724775011136 0.3340436419777277 0.3340436419777277 0.3340436419777277 0.4350877441709323 0.40781820730939644 0.37770818548803936 0.38938701911556256 0.38938701911556256 0.38938701911556256 0.4257248893533731 0.41821186046824155 0.3530381716077479 0.39619430382780535 0.35135697995600684 0.3340436419777277 0.41821186046824155 0.35135697995600684

bonr,10 0.39147958309618697 0.3530381716077479 0.4180935235632412 0.46594661530822784 0.5644480332352494 0.4961525209426614 0.4381677903842392 0.4456437393994079 0.4547484867462058 0.46999872704776124 0.4350877441709323 0.49867321735739273 0.471690130092931 0.47081381721121374 0.3530381716077479 0.49343058023315467 0.35135697995600684 0.5033477557141054 0.5334658760725258 0.4512162617317901

rand,20 0.39147958309618697 0.3530381716077479 0.4180935235632412 0.41431724775011136 0.37770818548803936 0.38938701911556256 0.4350877441709323 0.4309353743608889 0.40781820730939644 0.38938701911556256 0.38938701911556256 0.38938701911556256 0.4512162617317901 0.4350877441709323 0.3530381716077479 0.4309353743608889 0.35135697995600684 0.3340436419777277 0.4350877441709323 0.35135697995600684

progressive,50 0.37770818548803936 0.3530381716077479 0.3530381716077479 0.3530381716077479 0.37770818548803936 0.41431724775011136 0.4309353743608889 0.37770818548803936 0.43515614436816086 0.3340436419777277 0.4456437393994079 0.3530381716077479 0.40781820730939644 0.3530381716077479 0.3340436419777277 0.38938701911556256 0.3340436419777277 0.3340436419777277 0.3340436419777277 0.4512162617317901

progressive,45 0.37770818548803936 0.3530381716077479 0.3530381716077479 0.39147958309618697 0.3530381716077479 0.41431724775011136 0.4309353743608889 0.3530381716077479 0.43515614436816086 0.3340436419777277 0.4456437393994079 0.40781820730939644 0.40781820730939644 0.3530381716077479 0.3340436419777277 0.3530381716077479 0.3340436419777277 0.3340436419777277 0.3530381716077479 0.4512162617317901

focus,15 0.39147958309618697 0.3530381716077479 0.41431724775011136 0.4309353743608889 0.4526470286993124 0.4278116589720758 0.45382663094968345 0.4433311775223356 0.4547484867462058 0.38938701911556256 0.4350877441709323 0.49867321735739273 0.44262524772823847 0.4288502324027476 0.3530381716077479 0.49343058023315467 0.35135697995600684 0.4309353743608889 0.5268505111466267 0.4512162617317901

focus,20 0.39147958309618697 0.3530381716077479 0.41431724775011136 0.4309353743608889 0.4526470286993124 0.4278116589720758 0.4433311775223356 0.4309353743608889 0.4547484867462058 0.38938701911556256 0.4350877441709323 0.4309353743608889 0.4309353743608889 0.4288502324027476 0.3530381716077479 0.49343058023315467 0.3340436419777277 0.3340436419777277 0.4309353743608889 0.4512162617317901

focus,25 0.39147958309618697 0.3530381716077479 0.41431724775011136 0.4309353743608889 0.4526470286993124 0.4278116589720758 0.4350877441709323 0.4309353743608889 0.4547484867462058 0.38938701911556256 0.4350877441709323 0.39619430382780535 0.4309353743608889 0.4288502324027476 0.3530381716077479 0.49343058023315467 0.3340436419777277 0.3340436419777277 0.4309353743608889 0.4512162617317901

bonr,30 0.39147958309618697 0.3530381716077479 0.4180935235632412 0.4278116589720758 0.4526470286993124 0.41431724775011136 0.4309353743608889 0.37770818548803936 0.4547484867462058 0.4579822016278874 0.4350877441709323 0.3340436419777277 0.471690130092931 0.40781820730939644 0.3530381716077479 0.49343058023315467 0.35135697995600684 0.41821186046824155 0.4350877441709323 0.4512162617317901

progressive,40 0.37770818548803936 0.3530381716077479 0.39147958309618697 0.41431724775011136 0.37770818548803936 0.41431724775011136 0.4309353743608889 0.3530381716077479 0.4547484867462058 0.3340436419777277 0.4456437393994079 0.40781820730939644 0.3530381716077479 0.3530381716077479 0.3340436419777277 0.49343058023315467 0.3340436419777277 0.3340436419777277 0.3530381716077479 0.4512162617317901

