rand,35 0.01826880372553447 0.0596656074628099 0.01826880372553447 0.01676798046755871 0.03312051691775346 0.0 0.25012107867442757 0.22725055302482725 0.009461510421632468 0.12285079798004045 0.1316435016802924 0.10409365761343324 0.2052980472049555 0.10409365761343324 0.009461510421632468 0.2052980472049555 0.03312051691775346 0.009461510421632468 0.022153033274302535 0.022153033274302535

UCB_minus,50 0.01826880372553447 0.022938341931542504 0.06590440707158429 0.004717229689582891 0.035719561659757766 0.12249500813598263 0.019212448181480088 0.006758719400941673 0.004885495408456998 0.1271064930872756 0.022153033274302535 0.2152175362872572 0.03749125434295929 0.06590440707158429 0.25706412516483135 0.022938341931542504 0.01592322268422131 0.01676798046755871 0.04063900334810654 0.24687558819368569

EI,20 0.22897430068520488 0.006758719400941673 0.2719192462430324 0.23139694885394493 0.2594883415724044 0.01826880372553447 0.1271064930872756 0.1357998039149482 0.06455618355853762 0.14032843334027248 0.01676798046755871 0.01826880372553447 0.2113440160617417 0.15160494025547264 0.23756918589154713 0.022153033274302535 0.019212448181480088 0.16075643534083742 0.28584307853750085 0.01826880372553447

ExpProgressive,35 0.32268087835509923 0.0021204068611183303 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.24314012056896364 0.22725055302482725 0.0021204068611183303 0.12285079798004045 0.13483715869743748 0.0 0.28883229513053077 0.23472054627280833 0.24046378686215086 0.20382321876704398 0.2677415377479177 0.2512903273057662 0.04735433457075185 0.28645014839640337

focus,60 0.32268087835509923 0.004717229689582891 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.15160494025547264 0.22725055302482725 0.0 0.12285079798004045 0.13483715869743748 0.0 0.2724022359246229 0.006302770441314521 0.009211456834819939 0.20382321876704398 0.2677415377479177 0.2512903273057662 0.022938341931542504 0.022153033274302535

bonr,60 0.32268087835509923 0.04063900334810654 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.23775197904992254 0.0021204068611183303 0.006302770441314521 0.05347830637952823 0.13483715869743748 0.12285079798004045 0.23970626002601034 0.2538974547911637 0.24046378686215086 0.20382321876704398 0.2677415377479177 0.2512903273057662 0.12016064724801254 0.022153033274302535

EI,25 0.01826880372553447 0.2653923808806653 0.03749125434295929 0.019212448181480088 0.0 0.25706412516483135 0.06455618355853762 0.004885495408456998 0.009211456834819939 0.11920803234423075 0.2436354928734929 0.004717229689582891 0.23872834501597295 0.1271064930872756 0.1271064930872756 0.006302770441314521 0.3114431034010296 0.022153033274302535 0.1316435016802924 0.03312051691775346

progressive,45 0.32268087835509923 0.0021204068611183303 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.23970626002601034 0.22725055302482725 0.0021204068611183303 0.12285079798004045 0.13483715869743748 0.0 0.28883229513053077 0.23472054627280833 0.24046378686215086 0.2052980472049555 0.2677415377479177 0.2512903273057662 0.04735433457075185 0.022153033274302535

progressive,35 0.32268087835509923 0.0021204068611183303 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.25012107867442757 0.22725055302482725 0.0021204068611183303 0.12285079798004045 0.13483715869743748 0.0 0.28883229513053077 0.23472054627280833 0.24046378686215086 0.21013525270144542 0.2677415377479177 0.2512903273057662 0.04735433457075185 0.28645014839640337

bonr,40 0.32268087835509923 0.04063900334810654 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.23970626002601034 0.2497558643351519 0.009461510421632468 0.12285079798004045 0.13483715869743748 0.25866530898218576 0.2436354928734929 0.2538974547911637 0.24046378686215086 0.2052980472049555 0.2677415377479177 0.2512903273057662 0.12016064724801254 0.24233234452708055

b2,55 0.32492014797998775 0.23472054627280833 0.054352023995943535 0.01826880372553447 0.25676594075233583 0.009211456834819939 0.24687558819368569 0.2781401702368984 0.004885495408456998 0.009461510421632468 0.2997167247233428 0.006302770441314521 0.29816280302778736 0.26386649553718694 0.0 0.0 0.2677415377479177 0.2512903273057662 0.0 0.022153033274302535

focus,30 0.32268087835509923 0.22033087922017447 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.2527188305074455 0.22725055302482725 0.0021204068611183303 0.12285079798004045 0.13483715869743748 0.009461510421632468 0.28883229513053077 0.2745987311766075 0.2497558643351519 0.20382321876704398 0.2677415377479177 0.2512903273057662 0.022938341931542504 0.24233234452708055

bonr,50 0.32268087835509923 0.04063900334810654 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.23970626002601034 0.009461510421632468 0.009461510421632468 0.12285079798004045 0.13483715869743748 0.25866530898218576 0.2436354928734929 0.2538974547911637 0.24046378686215086 0.2052980472049555 0.2677415377479177 0.2512903273057662 0.12016064724801254 0.022153033274302535

PI,25 0.01826880372553447 0.2653923808806653 0.03749125434295929 0.019212448181480088 0.0 0.25706412516483135 0.06455618355853762 0.004885495408456998 0.009211456834819939 0.11920803234423075 0.2436354928734929 0.004717229689582891 0.23872834501597295 0.1271064930872756 0.1271064930872756 0.006302770441314521 0.3114431034010296 0.022153033274302535 0.1316435016802924 0.03312051691775346

focus,40 0.32268087835509923 0.004717229689582891 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.15160494025547264 0.22725055302482725 0.0021204068611183303 0.12285079798004045 0.13483715869743748 0.0 0.2724022359246229 0.235415171795991 0.2497558643351519 0.20382321876704398 0.2677415377479177 0.2512903273057662 0.022938341931542504 0.24233234452708055

UCB_plus,45 0.01826880372553447 0.23970626002601034 0.23756918589154713 0.1463377061410482 0.006302770441314521 0.0596656074628099 0.1463377061410482 0.06291105584199864 0.0 0.019212448181480088 0.006758719400941673 0.0021204068611183303 0.12285079798004045 0.0 0.03771305986217578 0.009461510421632468 0.12249500813598263 0.06291105584199864 0.05143474560046548 0.2178772897999647

focus,35 0.32268087835509923 0.22033087922017447 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.25012107867442757 0.22725055302482725 0.0021204068611183303 0.12285079798004045 0.13483715869743748 0.0 0.2724022359246229 0.235415171795991 0.2497558643351519 0.20382321876704398 0.2677415377479177 0.2512903273057662 0.022938341931542504 0.24233234452708055

focus,25 0.32268087835509923 0.22033087922017447 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.25012107867442757 0.281526898660615 0.009461510421632468 0.12285079798004045 0.13483715869743748 0.25866530898218576 0.28883229513053077 0.25902235685938657 0.26771398341839736 0.20382321876704398 0.2677415377479177 0.2512903273057662 0.022938341931542504 0.24233234452708055

PI,20 0.22897430068520488 0.006758719400941673 0.2719192462430324 0.23139694885394493 0.2594883415724044 0.01826880372553447 0.1271064930872756 0.1357998039149482 0.06455618355853762 0.14032843334027248 0.01676798046755871 0.01826880372553447 0.2113440160617417 0.15160494025547264 0.23756918589154713 0.022153033274302535 0.019212448181480088 0.16075643534083742 0.28584307853750085 0.01826880372553447

bonr,15 0.32268087835509923 0.05347830637952823 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.25012107867442757 0.281526898660615 0.2603068411023637 0.12285079798004045 0.2997167247233428 0.25866530898218576 0.29816280302778736 0.26386649553718694 0.24046378686215086 0.2052980472049555 0.2677415377479177 0.2512903273057662 0.2052980472049555 0.28645014839640337

EI,40 0.01826880372553447 0.0021204068611183303 0.026283935120529827 0.01592322268422131 0.23263362435188448 0.004717229689582891 0.01592322268422131 0.0021204068611183303 0.16318591284193687 0.04063900334810654 0.10409365761343324 0.1357998039149482 0.03749125434295929 0.11795666125385455 0.0 0.006758719400941673 0.022153033274302535 0.022938341931542504 0.24865269594839792 0.004885495408456998

ExpProgressive,15 0.32268087835509923 0.05347830637952823 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.25012107867442757 0.281526898660615 0.009461510421632468 0.12285079798004045 0.2848816350351728 0.25866530898218576 0.28883229513053077 0.25902235685938657 0.24046378686215086 0.21013525270144542 0.2677415377479177 0.2512903273057662 0.2052980472049555 0.28645014839640337

EI,15 0.29349431403040116 0.22033087922017447 0.035719561659757766 0.2172328151133768 0.0471201644708373 0.30509387964657864 0.23297868921369266 0.009461510421632468 0.035719561659757766 0.2603068411023637 0.026283935120529827 0.2765845337917021 0.01592322268422131 0.22897430068520488 0.019212448181480088 0.2271157094483154 0.23355775726216563 0.23508795307632885 0.20382321876704398 0.019212448181480088

rand,20 0.23970626002601034 0.25984184937948546 0.054352023995943535 0.01676798046755871 0.03312051691775346 0.0 0.25012107867442757 0.22725055302482725 0.009461510421632468 0.12285079798004045 0.13483715869743748 0.2113440160617417 0.2052980472049555 0.26386649553718694 0.009461510421632468 0.2052980472049555 0.03312051691775346 0.009461510421632468 0.022153033274302535 0.022153033274302535

b2,30 0.32492014797998775 0.2538974547911637 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.24687558819368569 0.2815434073265331 0.0471201644708373 0.009461510421632468 0.2997167247233428 0.006302770441314521 0.29816280302778736 0.26386649553718694 0.0 0.009461510421632468 0.2677415377479177 0.2512903273057662 0.01676798046755871 0.28645014839640337

progressive,25 0.32268087835509923 0.05347830637952823 0.054352023995943535 0.01676798046755871 0.25676594075233583 0.2152175362872572 0.25012107867442757 0.281526898660615 0.0021204068611183303 0.10409365761343324 0.13483715869743748 0.25866530898218576 0.28883229513053077 0.25902235685938657 0.13483715869743748 0.21013525270144542 0.2677415377479177 0.2512903273057662 0.04735433457075185 0.28645014839640337

