b2,20 0.2562757622693421 0.2707244936243281 0.1423281146565453 0.2843017417223363 0.31841486312037615 0.17773570653237145 0.2041527220800631 0.24635718197097664 0.1548653515826233 0.25196202700433257 0.2333341131834134 0.12077900221083047 0.13255034594287174 0.17698245007283375 0.22004653122118226 0.17614442966028065 0.2234055808665301 0.16647531842486915 0.2467796871917334 0.26361384439051283

bonr,40 0.1423281146565453 0.2498400452002157 0.2129587722978477 0.25196202700433257 0.17773570653237145 0.17773570653237145 0.22617086805554742 0.24635718197097664 0.17147265595171712 0.2499052907872406 0.17773570653237145 0.1423281146565453 0.15980112827646759 0.186173783397182 0.18471223948090643 0.17614442966028065 0.12868582569147216 0.1592776739508575 0.12256488116662709 0.2498400452002157

PI,10 0.23402364855942692 0.3842489675562672 0.1548653515826233 0.2251713481616916 0.2498400452002157 0.2737716652073983 0.2569000776146804 0.26540657608285123 0.23402364855942692 0.319232362716617 0.2562757622693421 0.245693124720326 0.29963138631561864 0.2028742112846161 0.12077900221083047 0.17698245007283375 0.2569000776146804 0.20296034184562653 0.27086233883861904 0.2084166395385498

b2,25 0.23219965248466895 0.2707244936243281 0.1423281146565453 0.2843017417223363 0.31841486312037615 0.17773570653237145 0.2041527220800631 0.24635718197097664 0.12077900221083047 0.25196202700433257 0.2333341131834134 0.12077900221083047 0.13255034594287174 0.1483713614329548 0.22004653122118226 0.1658678969188082 0.2234055808665301 0.16647531842486915 0.2467796871917334 0.25196202700433257

ExpProgressive,15 0.30409714491903944 0.27248850168873234 0.24883420585340252 0.31097942855486693 0.30644648302500627 0.17773570653237145 0.24121589013749575 0.24635718197097664 0.15980112827646759 0.2634886592475203 0.210858777511893 0.15246177175664163 0.2620899806559833 0.15980112827646759 0.2251713481616916 0.1441519120799771 0.15246177175664163 0.23622342421723586 0.12256488116662709 0.3190516584342074

EI,20 0.18515599016421777 0.1886974404947834 0.23402364855942692 0.15980112827646759 0.27248850168873234 0.22004653122118226 0.17147265595171712 0.2281413455974022 0.16280698177596015 0.2223332815134496 0.1548653515826233 0.2243197698619282 0.1441519120799771 0.1911234202813151 0.12868582569147216 0.16280698177596015 0.16892388889559634 0.17614442966028065 0.12256488116662709 0.210858777511893

