b2,20 0.3703439857392732 0.16612550723399885 0.16612550723399885 0.19524504345834048 0.1555915413953374 0.18571422772169952 0.18808185316026887 0.1555915413953374 0.17664125017674556 0.1555915413953374 0.182638120751835 0.1555915413953374 0.17664125017674556 0.15618269816138722 0.16966742938668145 0.3809913325025864 0.17664125017674556 0.15823182130469812 0.15823182130469812 0.16612550723399885

bonr,40 0.15823182130469812 0.15823182130469812 0.16340058421189413 0.17664125017674556 0.1555915413953374 0.1555915413953374 0.1555915413953374 0.1555915413953374 0.15618269816138722 0.1555915413953374 0.17731472267469225 0.15823182130469812 0.15823182130469812 0.1555915413953374 0.15618269816138722 0.15823182130469812 0.17664125017674556 0.1555915413953374 0.15618269816138722 0.1555915413953374

PI,10 0.386808307388284 0.4958061021833572 0.41737947964337635 0.20031467918042897 0.4372151304239277 0.182638120751835 0.707198646591734 0.15823182130469812 0.20873033561940632 0.44507334465491316 0.5117344324061358 0.16612550723399885 0.20815303616989006 0.4096830147141552 0.394956322987376 0.4447902298299222 0.2059828172059267 0.21907529768750203 0.20815303616989006 0.48298509284095215

b2,25 0.17664125017674556 0.15618269816138722 0.15618269816138722 0.16676096178785244 0.1555915413953374 0.17664125017674556 0.15618269816138722 0.17664125017674556 0.15823182130469812 0.1555915413953374 0.1555915413953374 0.1555915413953374 0.17664125017674556 0.15618269816138722 0.16966742938668145 0.18571422772169952 0.17664125017674556 0.15823182130469812 0.15823182130469812 0.15618269816138722

ExpProgressive,15 0.6052371938635289 0.2059828172059267 0.4192411328753319 0.3855417820518662 0.1555915413953374 0.41837848169893993 0.16676096178785244 0.182638120751835 0.17738944131173331 0.15618269816138722 0.18862783266425603 0.21359758548378296 0.21516194288392942 0.1555915413953374 0.20429673481936642 0.19997253396072798 0.1555915413953374 0.40874028074087526 0.17738944131173331 0.4103339930635248

EI,20 0.19524504345834048 0.18808185316026887 0.3867580393373063 0.18571422772169952 0.3585265190766946 0.4033340274412348 0.19239854577336454 0.3965821375369496 0.15618269816138722 0.20031467918042897 0.20411999515492613 0.37924232228071225 0.3507283753297986 0.17955772704361683 0.4033340274412348 0.20429673481936642 0.15618269816138722 0.17738944131173331 0.182638120751835 0.16472221032533998

focus,10 0.6029305212456036 0.21292159249302933 0.4192411328753319 0.38767316662518214 0.2059828172059267 0.6375125824965563 0.20663071043444836 0.44847390669706627 0.4281266495962793 0.20411999515492613 0.38965163749675874 0.3929236610636049 0.38584512044585334 0.42859173234276715 0.20429673481936642 0.20240757392434794 0.1555915413953374 0.41125330713895875 0.17738944131173331 0.4133111893956466

EI,55 0.16340058421189413 0.1555915413953374 0.21584620427631426 0.3965821375369496 0.20240757392434794 0.20240757392434794 0.20247061330465838 0.17664125017674556 0.182638120751835 0.17731472267469225 0.1873813833768255 0.21187714366724056 0.21292159249302933 0.19334834834498238 0.16612550723399885 0.18237439788331292 0.19334834834498238 0.18862783266425603 0.16966742938668145 0.15618269816138722

bonr,50 0.15823182130469812 0.15618269816138722 0.1555915413953374 0.1555915413953374 0.1555915413953374 0.1555915413953374 0.1555915413953374 0.1555915413953374 0.15618269816138722 0.1555915413953374 0.1555915413953374 0.15618269816138722 0.1555915413953374 0.1555915413953374 0.15618269816138722 0.15618269816138722 0.17664125017674556 0.1555915413953374 0.15618269816138722 0.1555915413953374

PI,35 0.16340058421189413 0.1991844616233919 0.42257182606410537 0.21187714366724056 0.17738944131173331 0.16472221032533998 0.17738944131173331 0.18237439788331292 0.3931386853170508 0.17731472267469225 0.20031467918042897 0.18635651682947768 0.20007220270285672 0.16472221032533998 0.17738944131173331 0.17731472267469225 0.182638120751835 0.19524504345834048 0.15618269816138722 0.1991844616233919

EI,30 0.19524504345834048 0.15618269816138722 0.17955772704361683 0.20815303616989006 0.17731472267469225 0.21975001248233073 0.19083279635910952 0.18635651682947768 0.21187714366724056 0.17738944131173331 0.17738944131173331 0.15823182130469812 0.16612550723399885 0.15823182130469812 0.21975001248233073 0.1873813833768255 0.1555915413953374 0.15823182130469812 0.16340058421189413 0.4103339930635248

focus,50 0.1555915413953374 0.1555915413953374 0.16612550723399885 0.17664125017674556 0.16340058421189413 0.1555915413953374 0.17664125017674556 0.1555915413953374 0.182638120751835 0.15823182130469812 0.1555915413953374 0.17664125017674556 0.18571422772169952 0.1555915413953374 0.15823182130469812 0.1555915413953374 0.1555915413953374 0.1555915413953374 0.15618269816138722 0.15618269816138722

UCB_plus,40 0.16340058421189413 0.21187714366724056 0.39278084603410607 0.40525488778509206 0.20247061330465838 0.17731472267469225 0.1919745840358318 0.1919745840358318 0.16676096178785244 0.17738944131173331 0.22305109853674635 0.386808307388284 0.1919745840358318 0.17731472267469225 0.1555915413953374 0.15618269816138722 0.16966742938668145 0.19573486906095314 0.19807040157178402 0.17731472267469225

rand,40 0.16472221032533998 0.19573486906095314 0.21516194288392942 0.15823182130469812 0.2059828172059267 0.17731472267469225 0.18237439788331292 0.182638120751835 0.42859173234276715 0.17955772704361683 0.19524504345834048 0.19334834834498238 0.15618269816138722 0.1555915413953374 0.20429673481936642 0.19573486906095314 0.1555915413953374 0.16340058421189413 0.17738944131173331 0.15823182130469812

focus,40 0.1555915413953374 0.1555915413953374 0.17731472267469225 0.1555915413953374 0.16340058421189413 0.1555915413953374 0.17664125017674556 0.1555915413953374 0.182638120751835 0.15618269816138722 0.16676096178785244 0.17955772704361683 0.19083279635910952 0.1555915413953374 0.16340058421189413 0.1555915413953374 0.1555915413953374 0.1555915413953374 0.15823182130469812 0.15618269816138722

UCB_plus,15 0.19524504345834048 0.3954150369793287 0.18571422772169952 0.20247061330465838 0.19334834834498238 0.2059828172059267 0.3855417820518662 0.19807040157178402 0.4252351147373387 0.4198895519966476 0.2029127201397483 0.4403658585080506 0.20881286818856815 0.3824277646557143 0.3931386853170508 0.20429673481936642 0.18784817446984892 0.15823182130469812 0.2220416144879771 0.42882423717999657

