PI,50 0.0751075807656573 0.19434531167952837 0.06564607450767687 0.06954920828641525 0.22560594691933483 0.19434531167952837 0.20951553185311275 0.15073699770684942 0.06564607450767687 0.06776397284603894 0.23606898892206019 0.20951553185311275 0.22743454742995733 0.06564607450767687 0.17818487054531504 0.1498711901353857 0.1498711901353857 0.23606898892206019 0.18279887092719993 0.2529522182214714

EI,25 0.12169201295936637 0.23912539087539042 0.22328438704862633 0.12169201295936637 0.2529522182214714 0.23606898892206019 0.2504410514570036 0.23606898892206019 0.1498711901353857 0.2602060941537121 0.3267969642289134 0.2963023441693646 0.06776397284603894 0.2019434928195806 0.2672080151622467 0.2403114198684454 0.06564607450767687 0.2672080151622467 0.06776397284603894 0.19201660809342913

UCB_minus,40 0.12169201295936637 0.23912539087539042 0.06776397284603894 0.06776397284603894 0.2189637525901342 0.19434531167952837 0.16030975732373676 0.19434531167952837 0.21463974510335432 0.18190398474087915 0.0751075807656573 0.18279887092719993 0.06564607450767687 0.18190398474087915 0.2019434928195806 0.06954920828641525 0.18190398474087915 0.22366371718935738 0.06564607450767687 0.17818487054531504

PI,10 0.12169201295936637 0.3280520557463317 0.26302095871590137 0.2189637525901342 0.2602060941537121 0.3816600560697595 0.25504515529145017 0.06954920828641525 0.40103735993819495 0.2602060941537121 0.2903806141402435 0.3816600560697595 0.06954920828641525 0.12169201295936637 0.2903806141402435 0.22560594691933483 0.1498711901353857 0.2885468679579387 0.25539093128823975 0.2672080151622467

rand,55 0.0751075807656573 0.0751075807656573 0.20951553185311275 0.06564607450767687 0.17818487054531504 0.06776397284603894 0.22366371718935738 0.06564607450767687 0.06776397284603894 0.0751075807656573 0.19201660809342913 0.17818487054531504 0.06776397284603894 0.0751075807656573 0.0751075807656573 0.06564607450767687 0.06776397284603894 0.15073699770684942 0.17818487054531504 0.21463974510335432

UCB_plus,50 0.0751075807656573 0.19434531167952837 0.06564607450767687 0.06954920828641525 0.22560594691933483 0.19434531167952837 0.20951553185311275 0.15073699770684942 0.06564607450767687 0.06776397284603894 0.23606898892206019 0.20951553185311275 0.22743454742995733 0.06564607450767687 0.17818487054531504 0.1498711901353857 0.1498711901353857 0.23606898892206019 0.18279887092719993 0.2529522182214714

b2,10 0.2589238653330877 0.2504410514570036 0.28670366922423013 0.19201660809342913 0.2535483004652266 0.27558459357466697 0.2437881255904251 0.3227021672007214 0.19201660809342913 0.1498711901353857 0.2366462550125948 0.17818487054531504 0.2437881255904251 0.2403114198684454 0.19434531167952837 0.2019434928195806 0.34278915519416825 0.2189637525901342 0.2535483004652266 0.16030975732373676

progressive,10 0.4347234282684091 0.2504410514570036 0.28670366922423013 0.23787555627634432 0.2403114198684454 0.2403114198684454 0.17818487054531504 0.19771438528282684 0.27118460258609256 0.23606898892206019 0.2366462550125948 0.2963023441693646 0.09882944290666107 0.2403114198684454 0.23787555627634432 0.2019434928195806 0.2885468679579387 0.24866017203793492 0.35686660774657 0.23606898892206019

UCB_plus,20 0.12169201295936637 0.2535483004652266 0.09882944290666107 0.27118460258609256 0.38833588002786573 0.23787555627634432 0.23606898892206019 0.06776397284603894 0.06954920828641525 0.16030975732373676 0.22366371718935738 0.2189637525901342 0.09882944290666107 0.342975604020303 0.2504410514570036 0.15073699770684942 0.2589238653330877 0.09882944290666107 0.25539093128823975 0.17818487054531504

b2,45 0.06564607450767687 0.15073699770684942 0.19434531167952837 0.17818487054531504 0.12169201295936637 0.06776397284603894 0.06954920828641525 0.06776397284603894 0.06954920828641525 0.06954920828641525 0.06564607450767687 0.06954920828641525 0.06564607450767687 0.09882944290666107 0.06954920828641525 0.09882944290666107 0.09882944290666107 0.0751075807656573 0.06564607450767687 0.16030975732373676

PI,45 0.0751075807656573 0.23606898892206019 0.23912539087539042 0.12169201295936637 0.18279887092719993 0.25504515529145017 0.0751075807656573 0.06564607450767687 0.06776397284603894 0.20951553185311275 0.06776397284603894 0.06776397284603894 0.2019434928195806 0.23912539087539042 0.09882944290666107 0.16030975732373676 0.2189637525901342 0.06776397284603894 0.06564607450767687 0.0751075807656573

progressive,20 0.38346782627118486 0.26302095871590137 0.23787555627634432 0.22743454742995733 0.0751075807656573 0.22366371718935738 0.17818487054531504 0.19771438528282684 0.19771438528282684 0.12169201295936637 0.1498711901353857 0.09882944290666107 0.06776397284603894 0.1498711901353857 0.23787555627634432 0.2019434928195806 0.19771438528282684 0.19771438528282684 0.2019434928195806 0.23787555627634432

focus,10 0.4347234282684091 0.2504410514570036 0.28670366922423013 0.22743454742995733 0.0751075807656573 0.2788068400760949 0.06776397284603894 0.2788068400760949 0.0751075807656573 0.2019434928195806 0.2366462550125948 0.30600511302560013 0.23606898892206019 0.2403114198684454 0.22366371718935738 0.2019434928195806 0.3673361005938991 0.2189637525901342 0.23912539087539042 0.20951553185311275

rand,40 0.12169201295936637 0.0751075807656573 0.20951553185311275 0.06564607450767687 0.17818487054531504 0.2672080151622467 0.22366371718935738 0.06564607450767687 0.06776397284603894 0.0751075807656573 0.2366462550125948 0.17818487054531504 0.23912539087539042 0.0751075807656573 0.0751075807656573 0.09882944290666107 0.06776397284603894 0.21463974510335432 0.22366371718935738 0.21463974510335432

bonr,10 0.3227021672007214 0.25504515529145017 0.23787555627634432 0.1498711901353857 0.22743454742995733 0.27558459357466697 0.17818487054531504 0.19771438528282684 0.27118460258609256 0.23787555627634432 0.2366462550125948 0.30600511302560013 0.09882944290666107 0.22366371718935738 0.17818487054531504 0.2019434928195806 0.3673361005938991 0.24866017203793492 0.5126966412174375 0.32050248158166933

rand,20 0.12169201295936637 0.0751075807656573 0.28670366922423013 0.06564607450767687 0.17818487054531504 0.2672080151622467 0.2589238653330877 0.3227021672007214 0.27118460258609256 0.2504410514570036 0.2366462550125948 0.17818487054531504 0.23606898892206019 0.19771438528282684 0.0751075807656573 0.09882944290666107 0.34261480602904754 0.2189637525901342 0.22366371718935738 0.21463974510335432

progressive,50 0.22366371718935738 0.19201660809342913 0.23787555627634432 0.06776397284603894 0.06564607450767687 0.06954920828641525 0.06564607450767687 0.06776397284603894 0.15073699770684942 0.12169201295936637 0.1498711901353857 0.1498711901353857 0.06776397284603894 0.09882944290666107 0.06776397284603894 0.1498711901353857 0.18190398474087915 0.06564607450767687 0.19201660809342913 0.06776397284603894

progressive,45 0.2403114198684454 0.226681991762308 0.23787555627634432 0.06776397284603894 0.06564607450767687 0.06954920828641525 0.06564607450767687 0.06776397284603894 0.15073699770684942 0.12169201295936637 0.1498711901353857 0.19771438528282684 0.06776397284603894 0.09882944290666107 0.06776397284603894 0.1498711901353857 0.19771438528282684 0.06564607450767687 0.19201660809342913 0.06776397284603894

focus,15 0.20951553185311275 0.12169201295936637 0.06954920828641525 0.22743454742995733 0.0751075807656573 0.09882944290666107 0.06776397284603894 0.20951553185311275 0.0751075807656573 0.06776397284603894 0.0751075807656573 0.06954920828641525 0.2019434928195806 0.2403114198684454 0.0751075807656573 0.06954920828641525 0.2788068400760949 0.2189637525901342 0.23912539087539042 0.20951553185311275

focus,20 0.0751075807656573 0.06954920828641525 0.06954920828641525 0.2019434928195806 0.06564607450767687 0.09882944290666107 0.06776397284603894 0.20951553185311275 0.0751075807656573 0.06776397284603894 0.0751075807656573 0.06954920828641525 0.2019434928195806 0.2019434928195806 0.0751075807656573 0.06954920828641525 0.2019434928195806 0.2189637525901342 0.23912539087539042 0.20951553185311275

