PI,50 0.07322560123805544 0.0 0.10895769051838103 0.017006487135382335 0.03107778715511613 0.0 0.07152637584220921 0.0 0.05997416612659937 0.0 0.15274277158686572 0.07152637584220921 0.07152637584220921 0.13268690383404377 0.10085014562171955 0.07152637584220921 0.05997416612659937 0.03924749404846833 0.07322560123805544 0.017006487135382335

EI,25 0.07322560123805544 0.03107778715511613 0.17999880320480682 0.10085014562171955 0.0524040167251877 0.05997416612659937 0.08522922859161461 0.10895769051838103 0.05501463140031157 0.05501463140031157 0.1508376383112835 0.17101218318816935 0.05501463140031157 0.07322560123805544 0.11044566592047371 0.11044566592047371 0.13858553407849603 0.0 0.13268690383404377 0.0524040167251877

UCB_minus,40 0.07322560123805544 0.03107778715511613 0.03107778715511613 0.10250939302213836 0.03107778715511613 0.03924749404846833 0.03924749404846833 0.03107778715511613 0.06001163615672194 0.0 0.03842031570456452 0.0 0.017006487135382335 0.06314461912594047 0.03842031570456452 0.0 0.03107778715511613 0.09506981490772691 0.15210660408831655 0.017006487135382335

PI,10 0.07322560123805544 0.3168851966855914 0.13859237885025064 0.13858553407849603 0.14599519889573034 0.11226561476713548 0.226065496885193 0.17163290236632978 0.05501463140031157 0.21871471811236426 0.2595220785915382 0.08522922859161461 0.226065496885193 0.18538671659118983 0.11859854100831856 0.16165978044237553 0.11957531522477292 0.14599519889573034 0.05501463140031157 0.16599852816004196

rand,55 0.07322560123805544 0.09470917506159451 0.05501463140031157 0.06314461912594047 0.06001163615672194 0.03924749404846833 0.11044566592047371 0.11044566592047371 0.0 0.0 0.05501463140031157 0.06001163615672194 0.03107778715511613 0.03924749404846833 0.03842031570456452 0.11044566592047371 0.0 0.0524040167251877 0.03924749404846833 0.017006487135382335

UCB_plus,50 0.07322560123805544 0.0 0.10895769051838103 0.017006487135382335 0.03107778715511613 0.0 0.07152637584220921 0.0 0.05997416612659937 0.0 0.15274277158686572 0.07152637584220921 0.07152637584220921 0.13268690383404377 0.10085014562171955 0.07152637584220921 0.05997416612659937 0.03924749404846833 0.07322560123805544 0.017006487135382335

b2,10 0.2876165576582179 0.11226561476713548 0.2952628865040748 0.1720441461275447 0.08522922859161461 0.15274277158686572 0.25167326893955505 0.24252880572874805 0.10895769051838103 0.09506981490772691 0.07322560123805544 0.14787975616308005 0.10250939302213836 0.10250939302213836 0.09470917506159451 0.2046468081286932 0.1515198023131921 0.06314461912594047 0.03924749404846833 0.06001163615672194

UCB_plus,20 0.07322560123805544 0.17101218318816935 0.21067097444860305 0.0524040167251877 0.11859854100831856 0.263376032826525 0.017006487135382335 0.05501463140031157 0.06001163615672194 0.13858553407849603 0.08522922859161461 0.13859237885025064 0.33499222589940075 0.2079073483397965 0.09506981490772691 0.11957531522477292 0.1508376383112835 0.10085014562171955 0.14599519889573034 0.03842031570456452

b2,45 0.06001163615672194 0.0524040167251877 0.15493590225395626 0.017006487135382335 0.017006487135382335 0.03842031570456452 0.0524040167251877 0.09506981490772691 0.03842031570456452 0.03924749404846833 0.017006487135382335 0.0524040167251877 0.017006487135382335 0.06001163615672194 0.05997416612659937 0.15493590225395626 0.0524040167251877 0.017006487135382335 0.03107778715511613 0.017006487135382335

PI,45 0.07322560123805544 0.08522922859161461 0.03107778715511613 0.03924749404846833 0.08522922859161461 0.03924749404846833 0.10059425197349248 0.0 0.03842031570456452 0.03924749404846833 0.0524040167251877 0.05501463140031157 0.06001163615672194 0.03107778715511613 0.0 0.10059425197349248 0.06314461912594047 0.07322560123805544 0.14421971269888587 0.0

focus,10 0.1652257966440495 0.2079073483397965 0.2833864470469818 0.1720441461275447 0.017006487135382335 0.05501463140031157 0.05501463140031157 0.05501463140031157 0.10895769051838103 0.09506981490772691 0.07322560123805544 0.1627698832847239 0.10250939302213836 0.10250939302213836 0.05501463140031157 0.05501463140031157 0.05501463140031157 0.05997416612659937 0.08522922859161461 0.06001163615672194

rand,40 0.07322560123805544 0.09470917506159451 0.09506981490772691 0.11859854100831856 0.06001163615672194 0.03924749404846833 0.11044566592047371 0.11044566592047371 0.0524040167251877 0.0 0.07322560123805544 0.17205648223788716 0.03107778715511613 0.11226561476713548 0.03842031570456452 0.11859854100831856 0.0 0.0524040167251877 0.03924749404846833 0.017006487135382335

bonr,10 0.03842031570456452 0.2079073483397965 0.2833864470469818 0.1720441461275447 0.3944923706844385 0.14875343452794662 0.2831671286146791 0.23874450674782327 0.10895769051838103 0.09506981490772691 0.07322560123805544 0.22997374132073398 0.10250939302213836 0.10250939302213836 0.16976967224485587 0.2046468081286932 0.2055824099166362 0.33228975903105457 0.08522922859161461 0.06001163615672194

rand,20 0.07322560123805544 0.11226561476713548 0.10895769051838103 0.1720441461275447 0.15195840870098853 0.03924749404846833 0.11044566592047371 0.17997886766697074 0.09506981490772691 0.0 0.07322560123805544 0.17997886766697074 0.06001163615672194 0.10250939302213836 0.03842031570456452 0.11859854100831856 0.0 0.24242141200779216 0.03924749404846833 0.017006487135382335

