b2,20 0.32190245643340726 0.3250895880572306 0.2780943137245448 0.2311134840602608 0.29754187147126154 0.2311134840602608 0.3595653668167224 0.26182326488520136 0.2747219921269374 0.3723479894735242 0.3707474450729423 0.2780943137245448 0.32190245643340726 0.150317809126222 0.3113884762464689 0.29754187147126154 0.3732640042779741 0.39076606394871094 0.3550592214766184 0.33676312915315815

bonr,40 0.2311134840602608 0.3250895880572306 0.2780473133553251 0.29754187147126154 0.29754187147126154 0.150317809126222 0.29754187147126154 0.26182326488520136 0.2747219921269374 0.2311134840602608 0.3595653668167224 0.2311134840602608 0.39571895270570673 0.26182326488520136 0.35430051730992634 0.2311134840602608 0.2780943137245448 0.29754187147126154 0.2311134840602608 0.29754187147126154

PI,10 0.3250895880572306 0.3319451418358941 0.35575948367242655 0.3568807098049801 0.3113884762464689 0.45537493640759075 0.3660956926774975 0.2747219921269374 0.2908816922944666 0.2747219921269374 0.33905777752531857 0.3250895880572306 0.4093314220818572 0.29754187147126154 0.40089889892610875 0.377555204091512 0.4450458493227917 0.3319451418358941 0.2747219921269374 0.2780943137245448

b2,25 0.2780943137245448 0.29754187147126154 0.2311134840602608 0.2311134840602608 0.29754187147126154 0.2311134840602608 0.3595653668167224 0.26182326488520136 0.2747219921269374 0.2747219921269374 0.2780473133553251 0.2780943137245448 0.32190245643340726 0.150317809126222 0.3113884762464689 0.26182326488520136 0.35919885170595994 0.3250895880572306 0.31055232661681687 0.33676312915315815

EI,20 0.26182326488520136 0.2780943137245448 0.31055232661681687 0.3638005960346451 0.29754187147126154 0.26182326488520136 0.2311134840602608 0.29754187147126154 0.42213037953182414 0.3660956926774975 0.33046615347492786 0.3660956926774975 0.3550592214766184 0.35575948367242655 0.3618326912647502 0.34598949673702933 0.2908816922944666 0.29754187147126154 0.2747219921269374 0.2780473133553251

focus,10 0.29754187147126154 0.4538268167224602 0.38564210509603014 0.40089889892610875 0.2908816922944666 0.32026332055499857 0.40834950651756263 0.35575948367242655 0.3595653668167224 0.4070397971945311 0.3855101276868922 0.35430051730992634 0.559311449991731 0.4858634984635407 0.3855101276868922 0.32190245643340726 0.35575948367242655 0.2908816922944666 0.3602160441245218 0.4644240048381759

EI,55 0.26182326488520136 0.2780943137245448 0.150317809126222 0.2908816922944666 0.32190245643340726 0.2747219921269374 0.3638005960346451 0.150317809126222 0.3250895880572306 0.2780943137245448 0.150317809126222 0.150317809126222 0.2780943137245448 0.2780943137245448 0.32190245643340726 0.33676312915315815 0.2908816922944666 0.2780473133553251 0.3319451418358941 0.32190245643340726

bonr,50 0.2311134840602608 0.3319451418358941 0.2311134840602608 0.29754187147126154 0.150317809126222 0.150317809126222 0.29754187147126154 0.26182326488520136 0.2747219921269374 0.2311134840602608 0.31055232661681687 0.2311134840602608 0.2780473133553251 0.26182326488520136 0.35430051730992634 0.2311134840602608 0.2311134840602608 0.29754187147126154 0.2311134840602608 0.29754187147126154

PI,35 0.26182326488520136 0.377555204091512 0.33676312915315815 0.29754187147126154 0.2311134840602608 0.2311134840602608 0.2311134840602608 0.3250895880572306 0.150317809126222 0.2780943137245448 0.3848749349911943 0.34598949673702933 0.3723479894735242 0.34551074416375965 0.3250895880572306 0.32026332055499857 0.32190245643340726 0.2311134840602608 0.3113884762464689 0.2908816922944666

EI,30 0.26182326488520136 0.3302613838862329 0.3250895880572306 0.40313354120700695 0.2780473133553251 0.26182326488520136 0.3764914725762253 0.29754187147126154 0.33676312915315815 0.150317809126222 0.31880606798178357 0.2780473133553251 0.29754187147126154 0.3618326912647502 0.3113884762464689 0.35919885170595994 0.26182326488520136 0.150317809126222 0.39076606394871094 0.31880606798178357

focus,50 0.2311134840602608 0.150317809126222 0.29754187147126154 0.29754187147126154 0.26182326488520136 0.26182326488520136 0.32190245643340726 0.31055232661681687 0.2780473133553251 0.26182326488520136 0.150317809126222 0.33046615347492786 0.150317809126222 0.26182326488520136 0.2780473133553251 0.2747219921269374 0.150317809126222 0.2780473133553251 0.150317809126222 0.2780473133553251

