UCB_minus,35 0.08876479308404063 0.07326606268784651 0.07197875953288536 0.11668150085134249 0.0930675409111632 0.1274858306819854 0.0927197376544373 0.038250269906258356 0.09099415533055122 0.10834446929859688 0.08770083612279905 0.13974119840126328 0.13974119840126328 0.16235058503615507 0.09966568607642766 0.12324724807406477 0.09099415533055122 0.07111224667085775 0.08300355189496736 0.06711717951142503

b2,40 0.08770083612279905 0.07197875953288536 0.06711717951142503 0.06711717951142503 0.13974119840126328 0.09099415533055122 0.08770083612279905 0.08162107632593221 0.09099415533055122 0.0927197376544373 0.08848484696752547 0.08107598777862207 0.06711717951142503 0.08770083612279905 0.09237936296964175 0.06711717951142503 0.05818351253375911 0.06711717951142503 0.07111224667085775 0.17491844761382283

ExpProgressive,15 0.1716001470474758 0.1158419020432918 0.1892199323434467 0.12324724807406477 0.08107598777862207 0.19294814999983534 0.06711717951142503 0.05818351253375911 0.15451395134662207 0.08876479308404063 0.10712753427064767 0.14826438784741502 0.14373084082123158 0.06711717951142503 0.1416916659241717 0.1892199323434467 0.05818351253375911 0.13692564036735982 0.14826438784741502 0.09099415533055122

UCB_plus,10 0.038250269906258356 0.07197875953288536 0.1892199323434467 0.1416916659241717 0.16171888771859566 0.16276409548748352 0.1274858306819854 0.12005033041474282 0.13656496530992335 0.05818351253375911 0.08770083612279905 0.038250269906258356 0.09966568607642766 0.08162107632593221 0.07326606268784651 0.17743094539924184 0.10834446929859688 0.18337106882071313 0.18271775107115978 0.10116358159613888

progressive,50 0.0927197376544373 0.07197875953288536 0.10986842349950446 0.07326606268784651 0.12324724807406477 0.08848484696752547 0.06711717951142503 0.06711717951142503 0.08770083612279905 0.09099415533055122 0.05818351253375911 0.07326606268784651 0.06711717951142503 0.06711717951142503 0.13376607606715127 0.08848484696752547 0.05818351253375911 0.07197875953288536 0.038250269906258356 0.06711717951142503

bonr,20 0.12459316589566412 0.1158419020432918 0.1892199323434467 0.10834446929859688 0.08107598777862207 0.19294814999983534 0.09237936296964175 0.06711717951142503 0.15451395134662207 0.08876479308404063 0.10712753427064767 0.11094291294364399 0.14373084082123158 0.06711717951142503 0.15451395134662207 0.19294814999983534 0.05818351253375911 0.11001195856492006 0.14826438784741502 0.09099415533055122

UCB_minus,25 0.08876479308404063 0.17491844761382283 0.07326606268784651 0.1450182193653359 0.10834446929859688 0.1158419020432918 0.038250269906258356 0.07197875953288536 0.07326606268784651 0.0930675409111632 0.08770083612279905 0.10116358159613888 0.1416916659241717 0.1944162213652468 0.06711717951142503 0.10986842349950446 0.07164664122463232 0.12324724807406477 0.20208602819676852 0.0930675409111632

rand,20 0.07197875953288536 0.08107598777862207 0.09237936296964175 0.13911292305458628 0.13974119840126328 0.08162107632593221 0.09237936296964175 0.12459316589566412 0.10986842349950446 0.10834446929859688 0.12324724807406477 0.13548930458644226 0.14373084082123158 0.10834446929859688 0.0927197376544373 0.08162107632593221 0.05818351253375911 0.1274858306819854 0.11668150085134249 0.10116358159613888

EI,40 0.08876479308404063 0.07326606268784651 0.08770083612279905 0.038250269906258356 0.09099415533055122 0.07326606268784651 0.08876479308404063 0.08162107632593221 0.06711717951142503 0.08968059818484009 0.08968059818484009 0.08162107632593221 0.1158419020432918 0.08968059818484009 0.09099415533055122 0.08876479308404063 0.07197875953288536 0.10834446929859688 0.09966568607642766 0.08968059818484009

UCB_plus,15 0.038250269906258356 0.08162107632593221 0.15064116733719318 0.09966568607642766 0.11094291294364399 0.07326606268784651 0.13376607606715127 0.07197875953288536 0.24189895748329446 0.08162107632593221 0.15718416135155208 0.13974119840126328 0.2159197807134327 0.10116358159613888 0.08300355189496736 0.10834446929859688 0.09099415533055122 0.038250269906258356 0.10986842349950446 0.09966568607642766

rand,30 0.07197875953288536 0.08107598777862207 0.07197875953288536 0.13911292305458628 0.13974119840126328 0.08162107632593221 0.09237936296964175 0.07993988204778393 0.05818351253375911 0.05818351253375911 0.12324724807406477 0.09966568607642766 0.07326606268784651 0.038250269906258356 0.038250269906258356 0.07197875953288536 0.05818351253375911 0.1274858306819854 0.11668150085134249 0.10116358159613888

rand,40 0.07197875953288536 0.08107598777862207 0.07197875953288536 0.13911292305458628 0.13974119840126328 0.08162107632593221 0.1274858306819854 0.07993988204778393 0.05818351253375911 0.10834446929859688 0.08770083612279905 0.09966568607642766 0.07326606268784651 0.09099415533055122 0.038250269906258356 0.07197875953288536 0.05818351253375911 0.09966568607642766 0.11668150085134249 0.10116358159613888

progressive,20 0.0927197376544373 0.1158419020432918 0.10986842349950446 0.1158419020432918 0.13974119840126328 0.19294814999983534 0.06711717951142503 0.06711717951142503 0.10986842349950446 0.08162107632593221 0.10712753427064767 0.09237936296964175 0.14373084082123158 0.17491844761382283 0.15451395134662207 0.2305844119750353 0.05818351253375911 0.07326606268784651 0.038250269906258356 0.09099415533055122

EI,15 0.038250269906258356 0.08162107632593221 0.15064116733719318 0.09966568607642766 0.11094291294364399 0.07326606268784651 0.13376607606715127 0.07197875953288536 0.24189895748329446 0.08162107632593221 0.15718416135155208 0.13974119840126328 0.2159197807134327 0.10116358159613888 0.08300355189496736 0.10834446929859688 0.09099415533055122 0.038250269906258356 0.10986842349950446 0.09966568607642766

progressive,60 0.0927197376544373 0.07197875953288536 0.08848484696752547 0.07326606268784651 0.09099415533055122 0.08848484696752547 0.06711717951142503 0.06711717951142503 0.08770083612279905 0.09099415533055122 0.05818351253375911 0.06711717951142503 0.06711717951142503 0.06711717951142503 0.13376607606715127 0.08848484696752547 0.05818351253375911 0.07326606268784651 0.038250269906258356 0.06711717951142503

bonr,50 0.12459316589566412 0.08770083612279905 0.13376607606715127 0.07197875953288536 0.07197875953288536 0.08848484696752547 0.06711717951142503 0.06711717951142503 0.0930675409111632 0.06711717951142503 0.07111224667085775 0.07326606268784651 0.10116358159613888 0.06711717951142503 0.07164664122463232 0.09099415533055122 0.038250269906258356 0.07111224667085775 0.038250269906258356 0.06711717951142503

focus,15 0.13827992529376837 0.1158419020432918 0.09966568607642766 0.11642842665008549 0.13974119840126328 0.11642842665008549 0.1716001470474758 0.12324724807406477 0.23304144019519119 0.13827992529376837 0.0930675409111632 0.12459316589566412 0.09966568607642766 0.0927197376544373 0.15451395134662207 0.09966568607642766 0.05818351253375911 0.13692564036735982 0.1086229063451915 0.15397617397945904

