      SimAnnealing,15   2  3  2  3  2  0  2  5  1  2  3  2  1  0  2  3  1  0  1  3  1  1  2  1  1  1  3  1  2  2  0  3  2  2  1  1  1  2  1  1  4  4  3  2
            base,3456   5  4
                 b2,9   3  4  3  4  3  3  3  6  3  2  3  4  3  1  3  2  1  2  1  3  3  2  2  4  2  1  4  1  6  6  3  3  2  3  1  3  1  3  3  2  4  3  3  3
            base,1512   4  3
              bonr,40   2  1  0  4  1  1  3  1  1  1  2  2  1  0  0  0  0  0  0  2  0  0  0  3  0  0  1  0  1  1  1  1  0  0  0  0  0  0  0  1  1  1  0  0
           base,10000   3  4  5  6  5  4
            base,3008   3  3
               UCB,40   2  1  0  0  0  0  0  0  0  1  0  0  0  0  0  2  0  0  0  1  1  1  1  3  0  0  1  0  2  2  0  1  0  0  0  0  0  0  0  0  2  1  2  1
                b2,15   0  2  1  4  3  2  2  5  2  2  3  2  1  1  3  1  0  1  1  3  3  1  1  4  1  0  3  1  5  5  1  1  2  3  1  3  1  2  1  2  2  2  2  1
       progressive,15   3  3  2  4  2  3  3  5  2  2  3  3  3  0  2  3  2  1  2  3  1  1  1  4  1  1  2  1  5  6  2  3  1  3  1  2  1  1  1  2  4  3  4  2
             base,500   8  5  4  3  4
            base,1599   3  3
                PI,40   2  1  0  0  0  0  0  1  0  1  0  0  0  0  0  2  0  0  0  1  1  1  1  3  0  0  1  0  3  3  0  1  0  0  0  0  0  0  0  0  2  2  2  1
            base,3840   5  3  3  4  4
    ExpProgressive,40   0  1  0  3  1  1  3  4  0  1  2  3  2  0  1  0  0  0  0  3  0  0  0  2  0  0  0  0  1  1  0  1  0  0  0  1  1  0  0  1  1  1  1  1
           base,86058   5  4
            base,4608   4  3
            base,4653   4  3
            base,1080   4  3
            base,1000   5  4
              base,93   6  4
                 EI,9   5  4  3  4  2  2  3  6  2  2  2  2  2  1  2  3  2  2  2  3  3  3  3  4  2  2  4  1  5  6  3  3  2  3  3  2  1  2  1  1  4  4  3  3
              bonr,15   4  3  2  4  2  4  3  5  2  2  3  3  3  1  2  2  1  1  1  3  1  1  2  4  1  1  2  1  4  6  3  3  2  3  1  2  1  1  0  1  4  4  3  2
                 PI,9   5  4  3  4  2  2  3  7  2  2  2  2  2  1  2  3  2  2  2  3  3  3  3  4  2  2  4  1  6  6  3  3  2  3  3  2  1  2  2  1  4  4  3  3
               UCB,15   3  3  1  2  2  1  1  3  1  2  1  1  1  1  1  3  1  1  0  3  2  3  2  4  1  1  2  1  5  6  2  3  1  0  1  1  0  1  1  0  3  3  4  3
           base,65536   4  3
             base,972   4  3
                UCB,9   5  4  3  4  2  2  3  6  2  2  2  2  2  1  2  3  2  2  2  3  3  3  3  4  2  2  4  1  6  6  3  3  2  3  3  2  1  2  1  1  4  4  3  3
                PI,15   3  3  1  1  1  1  1  2  1  2  1  1  1  1  1  3  1  1  0  3  1  2  2  4  1  1  2  1  4  5  2  2  1  1  1  1  0  1  1  0  3  3  3  3
    ExpProgressive,15   2  3  1  4  1  4  3  5  2  2  3  3  3  0  3  3  2  2  2  3  1  1  2  4  1  2  2  1  4  4  2  3  2  3  2  2  1  1  0  2  4  4  4  2
       SimAnnealing,9   5  3  2  4  3  4  3  6  2  2  3  3  1  2  3  3  2  1  2  3  2  1  3  4  1  2  3  2  5  6  2  3  2  3  1  2  1  3  2  1  4  5  4  3
              rand,40   2  1  0  0  0  0  1  0  0  1  0  0  0  0  0  1  0  0  0  0  0  1  1  3  0  1  0  0  2  2  1  1  0  0  0  0  0  1  0  0  2  2  1  1
            base,1343   5  4
               bonr,9   5  4  3  4  2  4  3  5  3  2  3  3  3  3  3  3  2  1  1  3  3  2  3  4  2  2  3  2  5  6  4  3  2  3  1  2  1  1  1  2  4  5  4  3
                EI,40   3  1  0  0  0  0  0  1  1  1  0  0  0  0  0  2  0  0  0  1  1  1  1  3  0  0  1  0  3  3  0  1  0  0  0  0  0  0  0  0  2  2  2  1
            base,1023   5  4
             base,864   4  4
            base,6840   4  4
            base,2736   3  3
            base,1152   3  3
     ExpProgressive,9   6  4  3  4  2  4  3  7  3  2  3  3  3  3  3  4  2  2  2  3  3  3  3  4  2  2  3  2  5  6  4  3  2  3  2  3  1  3  2  2  4  4  4  3
            base,2866   3  2
              rand,15   3  3  2  2  1  1  3  4  1  1  1  2  2  1  1  2  1  1  1  2  1  1  2  4  1  1  3  1  5  5  3  3  2  3  1  1  1  1  1  1  4  4  3  2
      SimAnnealing,40   1  0  0  3  2  0  0  4  1  1  1  1  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  1  0
             base,259   4  4
                EI,15   3  3  1  2  2  1  1  3  1  2  1  1  1  1  1  3  1  1  0  3  2  2  2  4  1  1  2  1  5  6  2  2  1  2  1  1  0  1  1  0  3  3  3  3
             base,756   4  4
        progressive,9   6  4  3  4  2  4  3  6  2  3  3  3  3  3  3  4  2  2  2  3  3  2  3  4  1  2  2  2  5  6  4  3  2  3  2  3  1  2  1  2  4  4  4  3
            base,5184   4  4
            base,2880   4  4  3
                b2,40   0  0  0  4  3  0  0  3  1  1  2  1  0  0  1  0  0  0  1  2  3  1  0  3  0  0  1  1  1  2  0  0  0  0  0  2  0  1  1  0  1  0  0  0
             base,192   7  4
       progressive,40   0  0  0  3  1  1  3  3  0  0  2  3  2  0  1  0  0  0  0  1  0  0  0  3  0  0  0  0  1  2  0  1  0  0  0  0  1  0  0  1  1  0  1  1
               rand,9   3  3  3  4  2  3  3  5  3  2  2  2  2  2  3  3  2  2  1  3  3  1  3  4  1  2  3  2  6  7  3  3  2  3  2  2  1  2  1  1  4  5  3  3
             base,196   5  8  4  4  4  4
