b2,20 0.01409021338665717 0.015548344130497308 0.04798460548121568 0.015586265459575692 0.014305072384369906 0.04710890526344624 0.018887475518058427 0.018522386424335395 0.015141139249174804 0.017230321997452506 0.018316001944859134 0.05238707490446907 0.029986098366044402 0.016563060687822716 0.007519123306808376 0.0 0.017088566419678687 0.01372084423321874 0.04481564926793858 0.04237772725405065

bonr,40 0.02017500308164299 0.013794889266295043 0.009589302589949734 0.007519123306808376 0.014305072384369906 0.03860870666867544 0.008969293139577882 0.007519123306808376 0.01372084423321874 0.0 0.013764072836344211 0.04490296248613261 0.017353416514867215 0.016563060687822716 0.007519123306808376 0.017342545163190115 0.05068703518551491 0.027315341103639076 0.01883200594414693 0.009589302589949734

PI,10 0.02017500308164299 0.018075205785271116 0.01825847794228425 0.017302569405448345 0.014389560763151767 0.017884657526741815 0.01884818456987112 0.015969930012463534 0.017775687206387905 0.012501112815526001 0.02013596893703861 0.01596445153602783 0.015141139249174804 0.018075205785271116 0.015424136797556599 0.018301877747798335 0.013671880350074642 0.017832783202991247 0.018864277594400996 0.015220063550326653

b2,25 0.01409021338665717 0.015548344130497308 0.04143953816443647 0.014389560763151767 0.014305072384369906 0.04710890526344624 0.018887475518058427 0.018440808486159997 0.015141139249174804 0.016794183912453946 0.018316001944859134 0.05238707490446907 0.029986098366044402 0.016563060687822716 0.007519123306808376 0.0 0.017088566419678687 0.01372084423321874 0.03835875118129648 0.04237772725405065

ExpProgressive,15 0.02017500308164299 0.015548344130497308 0.289920972977415 0.044726624025858405 0.014305072384369906 0.04658930601399751 0.017331074603152863 0.018522386424335395 0.015141139249174804 0.08005594894059961 0.018316001944859134 0.04490296248613261 0.01776104940216126 0.016563060687822716 0.007519123306808376 0.017342545163190115 0.12452234533576212 0.05186148357141879 0.01883200594414693 0.03823890950926548

EI,20 0.015945790475668714 0.017873358169093176 0.018522386424335395 0.018061081588210317 0.015553223398572857 0.014620683987782997 0.014519931382082643 0.016618701464122827 0.01579170832591456 0.01716338186350376 0.0158095133743306 0.018364794625614616 0.016646778655855808 0.008969293139577882 0.017262508046512262 0.01720010477586183 0.015712698423568403 0.017275005820881213 0.018252742662265627 0.01593406311204854

focus,10 0.02017500308164299 0.015548344130497308 0.43120574418254287 0.03693434730801364 0.014305072384369906 0.033919473244490704 0.018702662539547752 0.018522386424335395 0.015141139249174804 0.08005594894059961 0.012501112815526001 0.04490296248613261 0.029586340788626684 0.016563060687822716 0.007519123306808376 0.017342545163190115 0.1273471847479216 0.2513661950611535 0.011282922219330803 0.018273458151288124

EI,55 0.015945790475668714 0.014389560763151767 0.016416083437196114 0.01409021338665717 0.015495870598386589 0.01562281716954515 0.01593406311204854 0.014349071398244147 0.015141139249174804 0.015424136797556599 0.01786514045443962 0.015424136797556599 0.015781692986180543 0.014593890813964635 0.013932535986742085 0.015945790475668714 0.014967112021146919 0.015363017544820785 0.013984581512881268 0.017827133524166927

