b2,20 0.004038446411506479 0.0019564624347497123 0.0023413951635712993 0.0699021099334401 0.001904580197386812 0.01021912713993308 0.01021912713993308 0.04904545051355047 0.0032401294043416973 0.004127148301191441 0.012276006808288439 0.0019296845057882198 0.012711148153912841 0.0032401294043416973 0.0035079086939567147 0.0008150532127657052 0.001904580197386812 0.037256467288249336 0.0023413951635712993 0.0012736252462314235

bonr,40 0.0 0.001904580197386812 0.0019564624347497123 0.0012736252462314235 0.0 0.0 0.0 0.0008150532127657052 0.0008150532127657052 0.001904580197386812 0.0035079086939567147 0.0019296845057882198 0.0 0.0032401294043416973 0.0 0.0 0.001904580197386812 0.001904580197386812 0.048416169182955174 0.0008150532127657052

PI,10 0.0008150532127657052 0.0 0.0038376119442952166 0.048416169182955174 0.0012736252462314235 0.0 0.0008150532127657052 0.0008150532127657052 0.004127148301191441 0.009792353897109146 0.0012736252462314235 0.001904580197386812 0.012763030391275743 0.004127148301191441 0.0023531105074919532 0.012763030391275743 0.010963888289174847 0.0038376119442952166 0.003854348149896155 0.0008150532127657052

b2,25 0.004038446411506479 0.0019564624347497123 0.0023413951635712993 0.012711148153912841 0.001904580197386812 0.01021912713993308 0.001904580197386812 0.04904545051355047 0.0032401294043416973 0.003854348149896155 0.012276006808288439 0.0019296845057882198 0.012711148153912841 0.0023413951635712993 0.0035079086939567147 0.0008150532127657052 0.001904580197386812 0.037256467288249336 0.0019296845057882198 0.0012736252462314235

EI,20 0.0008150532127657052 0.0012736252462314235 0.0032401294043416973 0.0035079086939567147 0.06096330252197882 0.05794743827268969 0.004038446411506479 0.004127148301191441 0.001904580197386812 0.0023531105074919532 0.0008150532127657052 0.003854348149896155 0.0008150532127657052 0.001904580197386812 0.0019564624347497123 0.0019564624347497123 0.0008150532127657052 0.0008150532127657052 0.0023413951635712993 0.0

focus,10 0.014498574912093084 0.01203333182707483 0.003854348149896155 0.014498574912093084 0.011732080126257935 0.01021912713993308 0.0035079086939567147 0.003854348149896155 0.0019564624347497123 0.001904580197386812 0.05794743827268969 0.05794743827268969 0.010147161455849056 0.0032401294043416973 0.01203333182707483 0.0008150532127657052 0.037256467288249336 0.06096330252197882 0.048416169182955174 0.048416169182955174

EI,55 0.0 0.0 0.0008150532127657052 0.0 0.0023413951635712993 0.0012736252462314235 0.0008150532127657052 0.0023413951635712993 0.0019296845057882198 0.0019296845057882198 0.0 0.0012736252462314235 0.0 0.004038446411506479 0.0 0.0 0.0032401294043416973 0.0019564624347497123 0.0038376119442952166 0.001904580197386812

bonr,50 0.0 0.001904580197386812 0.0019296845057882198 0.0 0.0 0.0 0.0 0.0 0.0008150532127657052 0.0 0.0035079086939567147 0.0019296845057882198 0.0 0.0032401294043416973 0.0 0.0 0.001904580197386812 0.0 0.0008150532127657052 0.0008150532127657052

PI,35 0.0 0.001904580197386812 0.0 0.0019564624347497123 0.0008150532127657052 0.010147161455849056 0.0012736252462314235 0.001904580197386812 0.0008150532127657052 0.0019296845057882198 0.001904580197386812 0.0 0.0 0.0 0.0019564624347497123 0.012763030391275743 0.0038376119442952166 0.0019564624347497123 0.0 0.0008150532127657052

EI,30 0.0 0.0023413951635712993 0.0008150532127657052 0.0 0.0 0.0035079086939567147 0.0032401294043416973 0.0035079086939567147 0.0019296845057882198 0.0012736252462314235 0.0023531105074919532 0.0012736252462314235 0.01021912713993308 0.004038446411506479 0.0019296845057882198 0.0 0.0019296845057882198 0.011732080126257935 0.0023413951635712993 0.012711148153912841

