rand,35 0.1397251492260337 0.08274563084156049 0.0784130664134108 0.14143549555344337 0.09147274518758192 0.07336248167695492 0.12699598225148 0.12110771160951746 0.09408909831812859 0.048612075966008896 0.06470060068584567 0.09758487369917958 0.07630190257332507 0.08942850257316202 0.15347004868889438 0.1412732236688599 0.10522889557040864 0.15923387670794514 0.16266992248089354 0.13714525497392652

UCB_minus,50 0.11449365939542264 0.10596309881817631 0.035621113933008715 0.0707996581261603 0.044670783516687865 0.06195778768224085 0.048612075966008896 0.09961645062400633 0.10846409206819113 0.048612075966008896 0.03400646363299539 0.07733778438546383 0.09837621838821109 0.08662230899330958 0.140730237633485 0.11255758394454934 0.07050266658349387 0.06974522825924916 0.12110970213687154 0.03424677295335758

EI,20 0.15686727443669055 0.10974281014600164 0.18463512916729113 0.0905363851110223 0.04166838355960611 0.22462719878173926 0.06180320718009315 0.09137982999232364 0.12308169202691391 0.023748652425152266 0.11668964620138102 0.13403467142174155 0.13880605865591755 0.18711392880782768 0.13395734479678434 0.13817411313783057 0.09314443031643463 0.03958023255639066 0.045637186136502916 0.042031164749126694

focus,60 0.03521039797427072 0.05266354245620819 0.09391329539327072 0.08662230899330958 0.04416605558565004 0.03400646363299539 0.040632277544719084 0.09608378791361029 0.06024340426606604 0.12735000203974295 0.03521039797427072 0.03359012172751909 0.03947142562465711 0.04158844025072587 0.0468635054095224 0.018844032536201476 0.07896852213331305 0.05266354245620819 0.048612075966008896 0.06318004038457595

bonr,60 0.03521039797427072 0.05266354245620819 0.06635369408200474 0.08662230899330958 0.040632277544719084 0.04416605558565004 0.06301473282485756 0.06842261100388797 0.06292910842429883 0.12735000203974295 0.049121549190310865 0.03958023255639066 0.042031164749126694 0.04158844025072587 0.03400646363299539 0.018844032536201476 0.03947142562465711 0.05491699273390389 0.09837729861841944 0.018844032536201476

