b2,20 0.03784258715511072 0.03883446908081001 0.047687690382420087 0.12862375581808264 0.023728172922549248 0.08814726248924738 0.047504142038810114 0.09979839961156634 0.042867576842729516 0.048839462333121024 0.08300877623773222 0.0966831732545901 0.1069883591871341 0.025133905073307053 0.16372828193820177 0.09710879745100688 0.09975428132593805 0.1011237102010547 0.04133570239024738 0.052011095619375336

bonr,40 0.07933436976302036 0.027440235552455877 0.07552000721061047 0.08532270126976386 0.029501691708919645 0.01611157128150917 0.03806346027982409 0.07290934987924132 0.03645014349265849 0.023881224225782764 0.04264045559547246 0.06673451426394249 0.016269438534525664 0.04796564340877546 0.03883446908081001 0.04405002636551328 0.06808077627088321 0.08320382975570936 0.04133570239024738 0.038547093388318986

PI,10 0.2246062203590057 0.09110416045452395 0.07449162302707017 0.1101558762437481 0.1329288839461988 0.15182403656032967 0.0805919078230438 0.08853189769644436 0.049206556130995345 0.10475057662889992 0.12088699080963682 0.1352292586320114 0.16448019029166763 0.08532270126976386 0.11047100632910921 0.047859417733905354 0.1735678704431875 0.14585242705005452 0.11361866844017954 0.0686690527671433

b2,25 0.03784258715511072 0.03883446908081001 0.047687690382420087 0.03986140340779838 0.023728172922549248 0.08375547849028114 0.047504142038810114 0.09979839961156634 0.042867576842729516 0.051153117834827566 0.08324083531071816 0.0966831732545901 0.1069883591871341 0.025133905073307053 0.1712603495715244 0.09710879745100688 0.07215582596934222 0.05688942284042065 0.04133570239024738 0.052011095619375336

ExpProgressive,15 0.2246062203590057 0.12882107828918868 0.15333270218551068 0.17645762731079148 0.08887224625081172 0.055085223575221914 0.09698455293227067 0.14058738950095764 0.12626016759275452 0.08064083168784127 0.07591002647793062 0.08077986474339259 0.15996667765910808 0.11611635208411414 0.11365575584108673 0.1287600674408617 0.09126358183290788 0.20368183852565452 0.04133570239024738 0.08347474430013409

EI,20 0.07789070378359111 0.0778649682365649 0.08101788001545634 0.060172181620588905 0.09516615040341558 0.049206556130995345 0.12095564519981433 0.11739070767811317 0.0918294897908754 0.024601232076664308 0.128291832698991 0.08735253152943717 0.035240261304768664 0.03914170964546307 0.12655859498141694 0.10372840131020153 0.07777258849092343 0.10292098159235961 0.10616442393113408 0.06703085411718918

focus,10 0.14130001381140694 0.10048653063669037 0.1485567069913914 0.08064083168784127 0.12706730530654076 0.055085223575221914 0.10497050871452826 0.15561221958509355 0.11460509712247398 0.08064083168784127 0.08300877623773222 0.15576833735311732 0.15996667765910808 0.11809285588271314 0.15859106662561276 0.238049413117178 0.11460509712247398 0.09183530033058153 0.04133570239024738 0.062132872821871486

EI,55 0.07789070378359111 0.012843464058907916 0.0826657511955975 0.0826657511955975 0.06415733299477237 0.09110416045452395 0.03364890727645325 0.03645014349265849 0.09370954238691931 0.03610369718182023 0.06106649819382891 0.08819060404646224 0.03934765372861229 0.08550522595967971 0.06582236487099 0.05790464142317623 0.048839462333121024 0.059984513353866446 0.02528711260228995 0.048839462333121024

bonr,50 0.07933436976302036 0.012843464058907916 0.0663314453209378 0.048712401775501665 0.029501691708919645 0.01611157128150917 0.03806346027982409 0.07290934987924132 0.03645014349265849 0.023881224225782764 0.04264045559547246 0.044367581253702576 0.016269438534525664 0.04796564340877546 0.03883446908081001 0.023728172922549248 0.0443382406397671 0.03784258715511072 0.04133570239024738 0.038547093388318986

PI,35 0.07789070378359111 0.06965620915076993 0.07036760232664978 0.04796564340877546 0.0686690527671433 0.09949647191417103 0.04531026319089063 0.047504142038810114 0.025860075169094335 0.0663314453209378 0.10464471969532645 0.10114733026405652 0.08735253152943717 0.09382736384497599 0.017389646635834772 0.06404349809854797 0.07069571633760292 0.10406578185337217 0.09913569574854367 0.062004349059256274

EI,30 0.07789070378359111 0.10865664881702577 0.10183826381335098 0.025133905073307053 0.044367581253702576 0.07432647140654133 0.05731437280822755 0.055520374204771315 0.0663314453209378 0.0758188630117506 0.0534755392108205 0.10438598810805595 0.06013249107275447 0.08732049181581748 0.08856753689226327 0.06623118726610656 0.050988820272599045 0.08520722491891242 0.0777281982391325 0.10738162715154943

