ExpProgressive,40 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0

SimAnnealing,15 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.05 0.016666666666666666 0.0 0.016666666666666666 0.03333333333333333 0.016666666666666666 0.03333333333333333 0.03333333333333333 0.016666666666666666 0.06666666666666667 0.03333333333333333 0.016666666666666666 0.0 0.05 0.016666666666666666 0.03333333333333333 0.016666666666666666

PI,15 0.0 0.016666666666666666 0.0 0.05 0.15 0.05 0.03333333333333333 0.016666666666666666 0.0 0.0 0.03333333333333333 0.03333333333333333 0.03333333333333333 0.06666666666666667 0.03333333333333333 0.03333333333333333 0.016666666666666666 0.03333333333333333 0.016666666666666666 0.016666666666666666

rand,9 0.016666666666666666 0.03333333333333333 0.0 0.0 0.06666666666666667 0.08333333333333333 0.03333333333333333 0.1 0.05 0.11666666666666667 0.15 0.03333333333333333 0.016666666666666666 0.03333333333333333 0.03333333333333333 0.03333333333333333 0.05 0.05 0.03333333333333333 0.06666666666666667

ExpProgressive,15 0.016666666666666666 0.0 0.016666666666666666 0.016666666666666666 0.0 0.06666666666666667 0.03333333333333333 0.06666666666666667 0.03333333333333333 0.016666666666666666 0.0 0.016666666666666666 0.016666666666666666 0.03333333333333333 0.03333333333333333 0.03333333333333333 0.0 0.0 0.06666666666666667 0.05

bonr,9 0.016666666666666666 0.05 0.016666666666666666 0.05 0.06666666666666667 0.08333333333333333 0.03333333333333333 0.1 0.05 0.11666666666666667 0.16666666666666666 0.03333333333333333 0.06666666666666667 0.03333333333333333 0.03333333333333333 0.1 0.016666666666666666 0.06666666666666667 0.08333333333333333 0.05

rand,40 0.0 0.03333333333333333 0.0 0.0 0.016666666666666666 0.03333333333333333 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.03333333333333333 0.0 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.03333333333333333 0.0 0.016666666666666666 0.016666666666666666 0.03333333333333333 0.016666666666666666

b2,15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.0 0.0 0.0 0.0 0.05 0.016666666666666666 0.016666666666666666 0.016666666666666666

EI,9 0.0 0.08333333333333333 0.08333333333333333 0.06666666666666667 0.06666666666666667 0.03333333333333333 0.05 0.05 0.05 0.15 0.05 0.05 0.016666666666666666 0.0 0.05 0.016666666666666666 0.016666666666666666 0.05 0.08333333333333333 0.05

progressive,9 0.016666666666666666 0.03333333333333333 0.016666666666666666 0.05 0.06666666666666667 0.08333333333333333 0.03333333333333333 0.08333333333333333 0.016666666666666666 0.05 0.16666666666666666 0.2 0.06666666666666667 0.03333333333333333 0.03333333333333333 0.1 0.016666666666666666 0.06666666666666667 0.06666666666666667 0.06666666666666667

base,192 0.0 0.0 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.03333333333333333 0.03333333333333333 0.03333333333333333 0.03333333333333333 0.03333333333333333 0.03333333333333333 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.06666666666666667 0.06666666666666667 0.06666666666666667 0.06666666666666667 0.06666666666666667 0.06666666666666667 0.06666666666666667 0.06666666666666667 0.08333333333333333 0.08333333333333333 0.08333333333333333 0.08333333333333333 0.08333333333333333 0.08333333333333333 0.08333333333333333 0.08333333333333333 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.11666666666666667 0.11666666666666667 0.11666666666666667 0.11666666666666667 0.11666666666666667 0.11666666666666667 0.11666666666666667 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.15 0.15 0.15 0.15 0.15 0.15 0.15 0.15 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.18333333333333332 0.18333333333333332 0.18333333333333332 0.18333333333333332 0.18333333333333332 0.18333333333333332 0.18333333333333332 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.21666666666666667 0.21666666666666667 0.21666666666666667 0.21666666666666667 0.21666666666666667 0.21666666666666667 0.21666666666666667 0.21666666666666667 0.23333333333333334 0.23333333333333334 0.23333333333333334 0.23333333333333334 0.23333333333333334 0.25 0.25 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.2833333333333333 0.2833333333333333 0.2833333333333333 0.3 0.3 0.3 0.31666666666666665 0.31666666666666665 0.31666666666666665 0.35 0.35 0.36666666666666664 0.43333333333333335 0.4666666666666667 0.4666666666666667 0.48333333333333334 0.5 0.5166666666666667 0.5166666666666667 0.5166666666666667 0.5333333333333333 0.55 0.55 0.55 0.5666666666666667 0.5666666666666667 0.5666666666666667 0.5833333333333334 0.5833333333333334 0.5833333333333334 0.5833333333333334 0.6 0.6 0.6 0.6166666666666667 0.6166666666666667 0.6166666666666667 0.6333333333333333 0.6333333333333333 0.6333333333333333 0.6333333333333333 0.65 0.6666666666666666 0.6666666666666666 0.6833333333333333 0.6833333333333333 0.6833333333333333 0.7 0.7 0.7 0.7 0.7166666666666667 0.7166666666666667 0.7166666666666667 0.7333333333333333 0.7333333333333333 0.7333333333333333 0.75 0.75 0.75 0.75 0.75 0.7666666666666667 0.7666666666666667 0.7833333333333333 0.8 0.8 0.8166666666666667 0.8333333333333334 0.85 0.8666666666666667 0.8833333333333333 0.8833333333333333 0.9 0.9166666666666666 1.0

