ExpProgressive,40 0.002308294379394223 0.002308294379394223 0.0020821764380327757 0.0020821764380327757 0.09651100543466655 0.002308294379394223 0.002308294379394223 0.002308294379394223 0.0021098639239163016 0.003747648617275334 0.004126652186468451 0.002308294379394223 0.0020821764380327757 0.0020821764380327757 0.0021098639239163016 0.004126652186468451 0.002308294379394223 0.004433246035824659 0.0021098639239163016 0.0020821764380327757

SimAnnealing,15 0.006096289377403553 0.005011021874177734 0.005948447793534195 0.0063366966385946955 0.006474602616404103 0.003747648617275334 0.002308294379394223 0.004939700730779406 0.007564194145557595 0.005262993844696112 0.005948447793534195 0.0063366966385946955 0.005296182752218889 0.0039205158803956265 0.006474602616404103 0.004416320146809378 0.005296182752218889 0.0063366966385946955 0.0055653047404287115 0.004245585950858698

PI,15 0.007056700165776908 0.004126652186468451 0.005409071563193523 0.004584267680805944 0.011103386563263996 0.0039205158803956265 0.006626964118076651 0.0021098639239163016 0.0993370230104251 0.04603431200695647 0.1051440761409921 0.00513945343173662 0.006488879912358533 0.011103386563263996 0.004416320146809378 0.002308294379394223 0.004873933261121177 0.015614371787248262 0.0057594514312109 0.043827648071837456

rand,9 0.007056700165776908 0.005011021874177734 0.00660316835521253 0.10487809636944663 0.006852580907855468 0.007423535367716299 0.01005571682375077 0.011103386563263996 0.10063435162389944 0.006096289377403553 0.005296182752218889 0.10106590486303552 0.04505933978144934 0.0039205158803956265 0.009896575881619492 0.008801854853926594 0.005057683511399742 0.005409071563193523 0.051529461967268556 0.10741673383816261

ExpProgressive,15 0.004126652186468451 0.005011021874177734 0.0057594514312109 0.007564194145557595 0.09791337014701908 0.006626964118076651 0.01005571682375077 0.003747648617275334 0.009018709905131019 0.09908243371106708 0.005296182752218889 0.0055653047404287115 0.004977065297809901 0.002308294379394223 0.005007208566309144 0.005057683511399742 0.004584267680805944 0.004145974598756611 0.0020821764380327757 0.0057594514312109

bonr,9 0.007056700165776908 0.005011021874177734 0.10331029816519059 0.0021098639239163016 0.09791337014701908 0.007423535367716299 0.01005571682375077 0.02050701394745723 0.1050264145854047 0.10567347699686844 0.01742487535952087 0.10376015305961744 0.04505933978144934 0.0039205158803956265 0.006626964118076651 0.014659291789937265 0.009018709905131019 0.004145974598756611 0.11031860311316401 0.10741673383816261

rand,40 0.006014546761979294 0.005011021874177734 0.004982980709952123 0.0063366966385946955 0.005011021874177734 0.007233764372075332 0.002308294379394223 0.00513945343173662 0.004145974598756611 0.003747648617275334 0.005296182752218889 0.004245585950858698 0.0038649214846196824 0.0039205158803956265 0.004088594357773611 0.004873933261121177 0.005057683511399742 0.004939700730779406 0.004878606849864997 0.004873933261121177

b2,15 0.006110024527350505 0.0020821764380327757 0.0972374114786541 0.11009939261777686 0.09673415138802376 0.004939700730779406 0.006118331152663227 0.003747648617275334 0.004145974598756611 0.004433246035824659 0.004873933261121177 0.10325651711452259 0.004873933261121177 0.0020821764380327757 0.0039205158803956265 0.09745844088647246 0.0959324661294966 0.09746495796467679 0.002308294379394223 0.0959324661294966

EI,9 0.007056700165776908 0.004939700730779406 0.005948447793534195 0.1036383281689724 0.008093405660627146 0.0032583812886928278 0.00701885539335607 0.00697388466252044 0.01560338492356675 0.013716081077666809 0.02345896902203687 0.10271359926929936 0.019035336566687055 0.007233764372075332 0.013376315588872536 0.007564194145557595 0.006626964118076651 0.004145974598756611 0.0055653047404287115 0.008093405660627146

progressive,9 0.005007208566309144 0.005011021874177734 0.10069976920807615 0.016730917456703787 0.09791337014701908 0.006626964118076651 0.00701885539335607 0.02050701394745723 0.1050264145854047 0.10567347699686844 0.01742487535952087 0.10376015305961744 0.04505933978144934 0.0039205158803956265 0.01755654417585268 0.014659291789937265 0.015411443173888355 0.004145974598756611 0.11031860311316401 0.10741673383816261

