ExpProgressive,40 0.4302589872758954 0.4302589872758954 0.4302589872758954 0.4115732086653533 0.4115732086653533 0.40611878211597047 0.4302589872758954 0.4302589872758954 0.37511155020819487 0.37511155020819487 0.4115732086653533 0.4115732086653533 0.42905354489495934 0.4302589872758954 0.42905354489495934 0.4302589872758954 0.42905354489495934 0.37511155020819487 0.37511155020819487 0.40611878211597047

SimAnnealing,15 0.42626276777855554 0.47332931504626063 0.4754315537445004 0.4588070803356617 0.47332931504626063 0.4115732086653533 0.4872731003805024 0.4302589872758954 0.42905354489495934 0.4588070803356617 0.47332931504626063 0.47332931504626063 0.47332931504626063 0.4115732086653533 0.37511155020819487 0.40611878211597047 0.42626276777855554 0.37511155020819487 0.4254306588038052 0.4254306588038052

PI,15 0.4302589872758954 0.46419361674322396 0.48929555199922464 0.4754315537445004 0.46419361674322396 0.37511155020819487 0.4302589872758954 0.42626276777855554 0.48929555199922464 0.4862174910137333 0.47332931504626063 0.37511155020819487 0.4722508574011244 0.48929555199922464 0.4302589872758954 0.46843500860745396 0.4872731003805024 0.4302589872758954 0.46843500860745396 0.4302589872758954

rand,9 0.49110746504571806 0.4894202090066278 0.4754315537445004 0.4906412353975366 0.49625232001921565 0.4754315537445004 0.4754315537445004 0.4906412353975366 0.47332931504626063 0.4894202090066278 0.4863077677681905 0.495179942826741 0.49303054701489707 0.4588070803356617 0.49658965726121396 0.46419361674322396 0.45280276198179825 0.37511155020819487 0.49303054701489707 0.4254306588038052

ExpProgressive,15 0.47332931504626063 0.4872731003805024 0.4754315537445004 0.4254306588038052 0.4302589872758954 0.45177848569303397 0.4863077677681905 0.47332931504626063 0.4302589872758954 0.45280276198179825 0.42626276777855554 0.47003781158233227 0.4894202090066278 0.4588070803356617 0.4254306588038052 0.45280276198179825 0.4894202090066278 0.37511155020819487 0.47332931504626063 0.42905354489495934

bonr,9 0.49110746504571806 0.49303054701489707 0.49658965726121396 0.4588070803356617 0.4754315537445004 0.4754315537445004 0.4717248831285169 0.47332931504626063 0.45280276198179825 0.48929555199922464 0.4863077677681905 0.49303054701489707 0.4894202090066278 0.4588070803356617 0.4254306588038052 0.49110746504571806 0.49290284009436247 0.37511155020819487 0.47332931504626063 0.4254306588038052

rand,40 0.4302589872758954 0.4302589872758954 0.4302589872758954 0.46843500860745396 0.46419361674322396 0.46843500860745396 0.46419361674322396 0.4115732086653533 0.37511155020819487 0.40611878211597047 0.4302589872758954 0.47556275864611525 0.46843500860745396 0.37511155020819487 0.46843500860745396 0.46419361674322396 0.4302589872758954 0.37511155020819487 0.37511155020819487 0.37511155020819487

b2,15 0.4872731003805024 0.44388399858890126 0.49290284009436247 0.4656575169123952 0.47332931504626063 0.46843500860745396 0.46843500860745396 0.4302589872758954 0.4849291701803777 0.46843500860745396 0.46843500860745396 0.4656575169123952 0.46843500860745396 0.44388399858890126 0.4872731003805024 0.46843500860745396 0.46843500860745396 0.37511155020819487 0.4302589872758954 0.4254306588038052

EI,9 0.4872731003805024 0.4833703518692291 0.49303054701489707 0.4754315537445004 0.4766957023289077 0.4872731003805024 0.4872731003805024 0.4872731003805024 0.4302589872758954 0.45280276198179825 0.41920771379108485 0.4717248831285169 0.45905526601957114 0.4981821986282871 0.4115732086653533 0.46843500860745396 0.4891320332772634 0.4656575169123952 0.48929555199922464 0.4900013691478626

progressive,9 0.49110746504571806 0.49303054701489707 0.49663433957261416 0.42626276777855554 0.4754315537445004 0.4754315537445004 0.46843500860745396 0.47332931504626063 0.45177848569303397 0.48929555199922464 0.46843500860745396 0.4894202090066278 0.4894202090066278 0.4588070803356617 0.4254306588038052 0.49303054701489707 0.49290284009436247 0.37511155020819487 0.47556275864611525 0.4254306588038052

