ExpProgressive,40 0.0 0.0 0.0 0.0 0.0 0.0 0.0021653410375433433 0.0060379984321462885 0.0021653410375433433 0.0 0.0021653410375433433 0.0034219728532295193 0.0 0.0 0.0021653410375433433 0.0 0.0034219728532295193 0.0 0.0 0.0018937558904616359

SimAnnealing,15 0.015315934267586241 0.010017821857759856 0.0069261552644945745 0.015315934267586241 0.012736609384221054 0.01299204622526006 0.00539940632954876 0.0018937558904616359 0.0015707897696077134 0.0034219728532295193 0.06447724997284149 0.2133132507127275 0.010017821857759856 0.0033617837125249194 0.010017821857759856 0.0 0.0034219728532295193 0.0060379984321462885 0.06193168972938376 0.06193168972938376

PI,15 0.0 0.07777170992944658 0.06193168972938376 0.0069261552644945745 0.012412175235545064 0.07417650979321361 0.007009832850352179 0.010017821857759856 0.010632925515204367 0.0015707897696077134 0.0018937558904616359 0.010632925515204367 0.00539940632954876 0.014429245463060023 0.0034219728532295193 0.0018937558904616359 0.0 0.0034219728532295193 0.0682192528912808 0.00762200045215258

rand,9 0.0060379984321462885 0.0015707897696077134 0.0767954714277745 0.22549788163585274 0.010632925515204367 0.01299204622526006 0.01299204622526006 0.0069261552644945745 0.0033617837125249194 0.0034219728532295193 0.013611553966170776 0.0034219728532295193 0.0682192528912808 0.0033617837125249194 0.08499293878617588 0.0 0.054349326028426896 0.15745479208321955 0.0015707897696077134 0.004807791117257254

ExpProgressive,15 0.0021653410375433433 0.007009832850352179 0.0034219728532295193 0.0033617837125249194 0.0 0.0033617837125249194 0.00539940632954876 0.0069261552644945745 0.013611553966170776 0.0 0.010017821857759856 0.007009832850352179 0.0033617837125249194 0.0033617837125249194 0.0021653410375433433 0.0 0.0069261552644945745 0.0015707897696077134 0.0034219728532295193 0.007009832850352179

bonr,9 0.0021653410375433433 0.18540604181530448 0.0069261552644945745 0.0033617837125249194 0.012412175235545064 0.01299204622526006 0.00539940632954876 0.0069261552644945745 0.013611553966170776 0.0034219728532295193 0.06447724997284149 0.2133132507127275 0.0033617837125249194 0.0033617837125249194 0.0021653410375433433 0.0 0.054349326028426896 0.0015707897696077134 0.0034219728532295193 0.06193168972938376

