ExpProgressive,40 0.0 0.005236118385743023 0.0 0.0 0.004397110839524853 0.0 0.0 0.003716528610318993 0.0008018260942663026 0.005236118385743023 0.003716528610318993 0.0 0.0020255808389428856 0.0 0.0 0.0 0.0031668897553783866 0.0 0.04917651166850957 0.003115159039619259

SimAnnealing,15 0.015195897754240302 0.006553635052733007 0.00613332298719019 0.011702457855632514 0.01298764282527305 0.014272827794913585 0.011018642456691697 0.00613332298719019 0.0 0.005342812986996191 0.05755042128201646 0.009127238161749021 0.011702457855632514 0.0020255808389428856 0.011702457855632514 0.0008018260942663026 0.005342812986996191 0.05673727909367785 0.04917651166850957 0.04917651166850957

PI,15 0.0 0.07276086830006402 0.04917651166850957 0.00613332298719019 0.014659191578239477 0.12316436788298511 0.006553635052733007 0.011702457855632514 0.011018642456691697 0.0 0.003115159039619259 0.011018642456691697 0.005286232516634658 0.013299643704695205 0.0031668897553783866 0.0020255808389428856 0.0008018260942663026 0.0031668897553783866 0.056051847109869574 0.007426590881168088

rand,9 0.005236118385743023 0.0 0.07730185519279391 0.23039244214242757 0.011018642456691697 0.015921744359735406 0.015921744359735406 0.00613332298719019 0.0020255808389428856 0.005342812986996191 0.014272827794913585 0.0031668897553783866 0.056051847109869574 0.0020255808389428856 0.09715190078048716 0.0008018260942663026 0.05259397207834617 0.18444910020886274 0.0 0.004705878549212082

ExpProgressive,15 0.003716528610318993 0.006553635052733007 0.0031668897553783866 0.0020255808389428856 0.005236118385743023 0.0020255808389428856 0.014659191578239477 0.00613332298719019 0.014272827794913585 0.005342812986996191 0.05755042128201646 0.0 0.0020255808389428856 0.0020255808389428856 0.011018642456691697 0.0008018260942663026 0.05259397207834617 0.004397110839524853 0.04917651166850957 0.006553635052733007

bonr,9 0.003716528610318993 0.006553635052733007 0.00613332298719019 0.0020255808389428856 0.01298764282527305 0.014272827794913585 0.015921744359735406 0.00613332298719019 0.014272827794913585 0.005342812986996191 0.05755042128201646 0.004397110839524853 0.0020255808389428856 0.0020255808389428856 0.09715190078048716 0.0008018260942663026 0.05259397207834617 0.006553635052733007 0.04917651166850957 0.04917651166850957

rand,40 0.0 0.0 0.0031668897553783866 0.005236118385743023 0.011018642456691697 0.004397110839524853 0.0008018260942663026 0.00613332298719019 0.0020255808389428856 0.005342812986996191 0.014272827794913585 0.0031668897553783866 0.0020255808389428856 0.0008018260942663026 0.004705878549212082 0.0 0.0 0.0031668897553783866 0.0 0.0008018260942663026

b2,15 0.005236118385743023 0.0 0.00613332298719019 0.009127238161749021 0.005342812986996191 0.015921744359735406 0.011018642456691697 0.19841639346382403 0.0020255808389428856 0.004397110839524853 0.014272827794913585 0.16496925255582065 0.017691904789617654 0.0020255808389428856 0.07350611392396879 0.0008018260942663026 0.04917651166850957 0.05259397207834617 0.00613332298719019 0.004705878549212082

EI,9 0.0 0.24961363621667407 0.013299643704695205 0.014659191578239477 0.011702457855632514 0.014659191578239477 0.0 0.01298764282527305 0.0687889192806844 0.0 0.00613332298719019 0.004397110839524853 0.014997057815541196 0.0 0.0008018260942663026 0.007426590881168088 0.05755042128201646 0.003115159039619259 0.01298764282527305 0.005236118385743023

progressive,9 0.003716528610318993 0.006553635052733007 0.00613332298719019 0.0020255808389428856 0.01298764282527305 0.01410470296869645 0.015921744359735406 0.00613332298719019 0.014272827794913585 0.005342812986996191 0.05755042128201646 0.0008018260942663026 0.0020255808389428856 0.0020255808389428856 0.09715190078048716 0.0008018260942663026 0.05259397207834617 0.007426590881168088 0.04917651166850957 0.04917651166850957

