ExpProgressive,40 0.0056306286814151426 0.0 0.0 0.0 0.0 0.0 0.0 0.0056306286814151426 0.0 0.0 8.654516878906238e-05 0.0 0.0034098796502882805 0.0 0.0 0.0 0.0 0.0 0.0034098796502882805 0.0

SimAnnealing,15 0.034791157853195157 0.031161453474182737 0.0056894793961916774 0.006058161815232989 0.0037560603254444807 8.135245866169501e-05 0.0002769445401249307 0.04133397261364683 0.012635594643200253 0.0034098796502882805 0.015318494875660596 0.0091166680802378 0.0002129011152210777 0.006035660071347878 0.003906648919137396 0.015318494875660596 0.004067622933085046 0.00012635594643201534 0.009519968566794696 0.0002769445401249307

PI,15 0.022882542627822886 0.005724097463707312 0.0056306286814151426 0.027019401695939103 0.005672170362433885 0.005724097463707312 0.013080436810775942 0.0056894793961916774 0.029385546610631565 0.0091166680802378 0.0151973316393559 0.005724097463707312 0.00035137338528351845 0.031260114966602276 0.0037733693592022733 0.06040852781475181 0.0447144269065468 0.01710132535271488 0.00888472702788314 0.005724097463707312

rand,9 0.01833026674951925 0.041437826816193686 0.0056894793961916774 0.014799223862926321 0.012820801304408803 0.08858763477246416 0.021792073501080957 0.060351408003351016 0.033117374288815095 0.012820801304408803 0.015318494875660596 0.03313468332257289 0.015115979180694204 0.006035660071347878 0.012820801304408803 0.03187112385825283 0.027232302811160233 0.07306143149170986 0.0037560603254444807 0.03312429790231825

ExpProgressive,15 0.034791157853195157 0.02403013156596561 0.034024367657724264 0.00035137338528351845 0.012820801304408803 0.0034739230751921826 0.013206792757207956 0.023021014897885328 0.033117374288815095 0.009519968566794696 0.015318494875660596 0.005949114902558815 0.03408148746912506 0.0 0.012820801304408803 0.020961239880706115 0.027232302811160233 0.027232302811160233 0.012820801304408803 0.03312429790231825

bonr,9 0.034791157853195157 0.05819816420387969 0.06080144288105412 0.0091166680802378 0.012820801304408803 0.11439021139522933 0.021792073501080957 0.0741172825509362 0.033117374288815095 0.012820801304408803 0.015318494875660596 0.03313468332257289 0.031640913709274014 0.006035660071347878 0.012820801304408803 0.03187112385825283 0.027232302811160233 0.07306143149170986 0.013080436810775942 0.03312429790231825

rand,40 0.01833026674951925 0.0056306286814151426 0.0037560603254444807 0.012635594643200253 0.005994118390329136 8.135245866169501e-05 0.021792073501080957 0.00017828304770544292 0.014799223862926321 0.005672170362433885 0.006058161815232989 0.005949114902558815 0.00035137338528351845 0.0002129011152210777 0.00888472702788314 0.0056306286814151426 0.00888472702788314 0.03851779282125137 0.0037560603254444807 0.0002769445401249307

b2,15 0.0056306286814151426 0.018134674668056013 0.02362163836928135 8.135245866169501e-05 8.654516878906238e-05 0.29777250044570763 0.0056306286814151426 0.20911043682808503 0.0034098796502882805 8.654516878906238e-05 0.005672170362433885 0.005672170362433885 0.20911043682808503 0.006035660071347878 0.0034739230751921826 0.0056894793961916774 0.0 0.0 0.009018006587818263 0.0

EI,9 0.022882542627822886 0.3504213884268339 0.03395513152269299 0.042187307977906784 0.05400937803448999 0.008966079486544836 0.03173265158819039 0.0418307418824959 0.014880576321588016 0.06040852781475181 0.01322410179096575 0.03173265158819039 0.0819703911668539 0.05493887314728437 0.015318494875660596 0.03313468332257289 0.006058161815232989 0.060633545253603316 0.04815892462435071 0.009307067451573668

progressive,9 0.023787805093356318 0.05819816420387969 0.048292204184285835 0.0091166680802378 0.012820801304408803 0.4176791008995505 0.021792073501080957 0.08888188834634685 0.033117374288815095 0.012820801304408803 0.015318494875660596 0.03313468332257289 0.3187337403264138 0.006035660071347878 0.012820801304408803 0.03187112385825283 0.027232302811160233 0.01693342772526412 0.013080436810775942 0.03312429790231825

