ExpProgressive,40 0.08434726988669412 0.01839587038529512 0.07103569635678951 0.1205166015747023 0.04207956918400314 0.07297250836883368 0.15708717910478018 0.07067685764742856 0.03432081062593021 0.06722651257668219 0.02383320091014843 0.01061763397689243 0.06324475605755704 0.030009794354737218 0.09482136506164147 0.06343650642121204 0.07405183604104325 0.06249714761377463 0.02383320091014843 0.05055238984484754

SimAnnealing,15 0.0934601507745563 0.04945130474108635 0.15044115378207645 0.0888564488698255 0.05329854797567812 0.10993290279421392 0.15027869759940074 0.13815822253054888 0.034657518111345 0.13157747088015037 0.11643246331438668 0.09903400033202912 0.11806921632898829 0.031882923354304676 0.19646599898467798 0.046300498486029254 0.12332194806339258 0.13862743397521995 0.10879409509238734 0.03500376733601102

PI,15 0.09170381664320067 0.11320662943055883 0.07659904410239218 0.03982528295683513 0.03344379446742981 0.07727346888751688 0.09590393409854185 0.11977460820537174 0.01748638300147737 0.11047382051769754 0.07030461896071304 0.10906441139137059 0.07167715034331726 0.02979025073048 0.13356660718406255 0.08795448551579488 0.10831135607864766 0.06978121886692881 0.119401348840971 0.09555215640915951

rand,9 0.09526401926445877 0.11127857557636718 0.14791891830094378 0.17009690730377844 0.09590393409854185 0.08038307362453502 0.15612677178188508 0.1631137469506 0.13815822253054888 0.14706509472235466 0.16467364408004598 0.1184770906057552 0.08018266309712486 0.1128819630769788 0.03794343384284073 0.10226128588577568 0.1256177328918786 0.15006981139753917 0.10879409509238734 0.13853156477435027

ExpProgressive,15 0.09526401926445877 0.078165107033672 0.10552132296058533 0.1317159787643431 0.12046121650924906 0.07297250836883368 0.1860946129830804 0.13278604032144434 0.054798869717076516 0.08540039114481608 0.16467364408004598 0.10369205489745836 0.11929023434304088 0.04207956918400314 0.09526401926445877 0.15762929476399956 0.17206069848678318 0.13130718157024793 0.09367416526694468 0.21424489897577154

bonr,9 0.09526401926445877 0.08114386377896707 0.04945130474108635 0.17009690730377844 0.17279155897093465 0.10638307146014402 0.23550678054956523 0.11367068185858493 0.12252539778015488 0.1290045298989847 0.16467364408004598 0.19446218138629762 0.13853156477435027 0.1311594406999681 0.19646599898467798 0.1243524524543594 0.21502391545717836 0.15397348988419995 0.08992698064087158 0.12784979535633897

rand,40 0.08114386377896707 0.0877403392316055 0.12917248191043676 0.07140431598466612 0.0507142364407365 0.054798869717076516 0.09097454908954594 0.12127831766149313 0.03453756229686329 0.06432152760945194 0.051220120421127786 0.05741804095263126 0.0686616575666306 0.08393602497668816 0.03794343384284073 0.05881371226323443 0.039331579903576934 0.03409297247303769 0.08675817295172313 0.08509480294988248

