progressive,9 0.2529548491771016 0.3759763585231678 0.5045468059935295 0.24188575533795414 0.3153662364012355 0.28064260465598984 0.19199060033478188 0.2953304354657555 0.13646979561984274 0.2826370604953453 0.1711783553324551 0.3091198465754867 0.3253661640115888 0.24324610341910918 0.2529548491771016 0.2420642850013554 0.3144515312734576 0.2923709776072295 0.4268958662410962 0.3374664971991472

b2,9 0.2861670629070037 0.33710529230963726 0.5045468059935295 0.24188575533795414 0.2864531194843023 0.3144515312734576 0.14512965696185742 0.2953304354657555 0.3166048854178439 0.31660304517403337 0.12284324324612456 0.19189882577402545 0.3253661640115888 0.24324610341910918 0.2529548491771016 0.2420642850013554 0.21699195389798218 0.28064260465598984 0.3832530157204588 0.25039188318558764

b2,15 0.19199060033478188 0.33710529230963726 0.5045468059935295 0.24188575533795414 0.171470071447792 0.3144515312734576 0.14512965696185742 0.2849287725356881 0.27320635495790613 0.2826370604953453 0.12284324324612456 0.19189882577402545 0.3253661640115888 0.21699195389798218 0.216261529425078 0.2420642850013554 0.21699195389798218 0.13646979561984274 0.3832530157204588 0.216261529425078

b2,28 0.18114052732309163 0.31694854739384376 0.5045468059935295 0.17533366435627948 0.171470071447792 0.27100783026302744 0.14512965696185742 0.17533366435627948 0.27320635495790613 0.24109562036587603 0.12284324324612456 0.18114052732309163 0.3253661640115888 0.13646979561984274 0.14855608246731045 0.2420642850013554 0.21699195389798218 0.13646979561984274 0.3253661640115888 0.19199060033478188

EI,15 0.18561058666702818 0.22211466456764611 0.22211466456764611 0.15332396214456628 0.171470071447792 0.23526390578266426 0.17533366435627948 0.2673802716242708 0.2161204168624859 0.2504028967410488 0.29927456908913785 0.15717968355457917 0.25101531504200564 0.13361873109709846 0.22262177907868713 0.12284324324612456 0.13380251720146813 0.28888746941669996 0.29330210903372017 0.24324610341910918

PI,15 0.18561058666702818 0.22211466456764611 0.22211466456764611 0.15332396214456628 0.171470071447792 0.23526390578266426 0.17533366435627948 0.2673802716242708 0.2161204168624859 0.2504028967410488 0.29927456908913785 0.15717968355457917 0.25101531504200564 0.13361873109709846 0.22262177907868713 0.12284324324612456 0.13380251720146813 0.28888746941669996 0.29330210903372017 0.24324610341910918

SimAnnealing,15 0.24188575533795414 0.14855608246731045 0.5045468059935295 0.24188575533795414 0.21699195389798218 0.28064260465598984 0.19199060033478188 0.24324610341910918 0.13646979561984274 0.2826370604953453 0.1711783553324551 0.3091198465754867 0.3253661640115888 0.24324610341910918 0.171470071447792 0.16476005941792843 0.2826370604953453 0.13646979561984274 0.3224843858572797 0.17533366435627948

ExpProgressive,28 0.3018829129797359 0.33356392582635647 0.3415261144593673 0.24188575533795414 0.3153662364012355 0.28064260465598984 0.19199060033478188 0.15332396214456628 0.12284324324612456 0.31660304517403337 0.1711783553324551 0.3091198465754867 0.3253661640115888 0.24324610341910918 0.2529548491771016 0.2420642850013554 0.19199060033478188 0.14512965696185742 0.4268958662410962 0.3374664971991472

bonr,9 0.3224843858572797 0.3759763585231678 0.5045468059935295 0.24188575533795414 0.3153662364012355 0.28064260465598984 0.19199060033478188 0.2953304354657555 0.13646979561984274 0.2826370604953453 0.1711783553324551 0.3091198465754867 0.3253661640115888 0.24324610341910918 0.2529548491771016 0.2420642850013554 0.3253661640115888 0.14512965696185742 0.4268958662410962 0.3374664971991472

PI,9 0.3224843858572797 0.21484928662395247 0.19902882585866657 0.33654963722799947 0.2875969433360273 0.3118618414296406 0.3478314774449016 0.2970461308257634 0.3004382847580851 0.3327394383800975 0.20413732624457143 0.19189882577402545 0.23191897063246683 0.27100783026302744 0.227209103204168 0.2313329568581827 0.22211466456764611 0.3858835218678344 0.26314569171909324 0.22262177907868713

ExpProgressive,15 0.3224843858572797 0.33356392582635647 0.5045468059935295 0.24188575533795414 0.3153662364012355 0.28064260465598984 0.19199060033478188 0.171470071447792 0.13646979561984274 0.31660304517403337 0.1711783553324551 0.3091198465754867 0.3253661640115888 0.24324610341910918 0.2529548491771016 0.2420642850013554 0.19199060033478188 0.14512965696185742 0.4268958662410962 0.33441982200543585

SimAnnealing,28 0.229389141190979 0.14855608246731045 0.3415261144593673 0.24188575533795414 0.1786348668501236 0.28064260465598984 0.19199060033478188 0.13380251720146813 0.13646979561984274 0.15717968355457917 0.14512965696185742 0.3091198465754867 0.3253661640115888 0.24324610341910918 0.171470071447792 0.16476005941792843 0.22211466456764611 0.13646979561984274 0.24324610341910918 0.17533366435627948

ExpProgressive,9 0.2529548491771016 0.3759763585231678 0.5045468059935295 0.24188575533795414 0.3153662364012355 0.28064260465598984 0.19199060033478188 0.2953304354657555 0.13646979561984274 0.2826370604953453 0.1711783553324551 0.3091198465754867 0.3253661640115888 0.24324610341910918 0.2529548491771016 0.2420642850013554 0.2933316605133142 0.2923709776072295 0.4268958662410962 0.3374664971991472

rand,9 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239 0.702362447215239

progressive,28 0.2529548491771016 0.33356392582635647 0.3415261144593673 0.24188575533795414 0.3153662364012355 0.28064260465598984 0.19199060033478188 0.18561058666702818 0.12284324324612456 0.31660304517403337 0.1711783553324551 0.3091198465754867 0.3253661640115888 0.24324610341910918 0.2529548491771016 0.2420642850013554 0.32108669259350214 0.171470071447792 0.4268958662410962 0.33710529230963726

UCB,15 0.18561058666702818 0.22211466456764611 0.22211466456764611 0.15332396214456628 0.171470071447792 0.23526390578266426 0.17533366435627948 0.2673802716242708 0.2161204168624859 0.2504028967410488 0.29927456908913785 0.15717968355457917 0.25101531504200564 0.13361873109709846 0.22262177907868713 0.12284324324612456 0.13380251720146813 0.28888746941669996 0.29330210903372017 0.24324610341910918

progressive,15 0.3224843858572797 0.33356392582635647 0.5045468059935295 0.24188575533795414 0.3153662364012355 0.28064260465598984 0.19199060033478188 0.18561058666702818 0.13646979561984274 0.31660304517403337 0.1711783553324551 0.3091198465754867 0.3253661640115888 0.24324610341910918 0.2529548491771016 0.2420642850013554 0.3144515312734576 0.14512965696185742 0.4268958662410962 0.33441982200543585

EI,28 0.18561058666702818 0.2161204168624859 0.25101531504200564 0.15332396214456628 0.27320635495790613 0.14855608246731045 0.17533366435627948 0.216261529425078 0.2420642850013554 0.23654305206377332 0.2649455695882316 0.25101531504200564 0.13646979561984274 0.21484928662395247 0.2504028967410488 0.24193039619683 0.24193039619683 0.2885301858576103 0.2504028967410488 0.24324610341910918

PI,28 0.18561058666702818 0.2161204168624859 0.25101531504200564 0.15332396214456628 0.27320635495790613 0.14855608246731045 0.17533366435627948 0.216261529425078 0.2420642850013554 0.23654305206377332 0.2649455695882316 0.25101531504200564 0.13646979561984274 0.21484928662395247 0.2504028967410488 0.24193039619683 0.24193039619683 0.2885301858576103 0.2504028967410488 0.24324610341910918

UCB,28 0.18561058666702818 0.2161204168624859 0.25101531504200564 0.15332396214456628 0.27320635495790613 0.14855608246731045 0.17533366435627948 0.216261529425078 0.2420642850013554 0.23654305206377332 0.2649455695882316 0.25101531504200564 0.13646979561984274 0.21484928662395247 0.2504028967410488 0.24193039619683 0.24193039619683 0.2885301858576103 0.2504028967410488 0.24324610341910918

EI,9 0.3224843858572797 0.21484928662395247 0.19902882585866657 0.33654963722799947 0.2875969433360273 0.3118618414296406 0.3478314774449016 0.2970461308257634 0.3004382847580851 0.3327394383800975 0.20413732624457143 0.19189882577402545 0.23191897063246683 0.27100783026302744 0.227209103204168 0.2313329568581827 0.22211466456764611 0.3858835218678344 0.26314569171909324 0.22262177907868713

UCB,9 0.3224843858572797 0.21484928662395247 0.19902882585866657 0.33654963722799947 0.2875969433360273 0.3118618414296406 0.3478314774449016 0.2970461308257634 0.3004382847580851 0.3327394383800975 0.20413732624457143 0.19189882577402545 0.23191897063246683 0.27100783026302744 0.227209103204168 0.2313329568581827 0.22211466456764611 0.3858835218678344 0.26314569171909324 0.22262177907868713

SimAnnealing,9 0.3224843858572797 0.2907086941804491 0.5045468059935295 0.24188575533795414 0.21699195389798218 0.28064260465598984 0.19199060033478188 0.24324610341910918 0.13646979561984274 0.2826370604953453 0.1711783553324551 0.3091198465754867 0.3253661640115888 0.24324610341910918 0.2529548491771016 0.1786348668501236 0.3253661640115888 0.13646979561984274 0.3224843858572797 0.17533366435627948

rand,28 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292 0.7011469177500292

